区コード,ＮＯ,都道府県名,市町村名,名称,名称＿カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,法人の名称,診療科目,病床数,備考
1101,101100302,北海道,札幌市,特定医療法人平成会平成会病院,トクテイイリョウホウジンヘイセイカイヘイセイカイビョウイン,病院,北海道札幌市中央区北1条西18丁目1番1,,43.058786,141.329342,011-631-0333,特定医療法人平成会,外;リハ;放;形;麻;消内;呼内,82,
1101,101010421,北海道,札幌市,時計台記念病院,トケイダイキネンビョウイン,病院,北海道札幌市中央区北1条東1丁目2番地3,,43.063315,141.357407,011-251-1221,社会医療法人社団カレスサッポロ,内;循内;消内;糖尿病内科;整;リハ;形;婦;脳外;眼;精;麻;放;リウ;外;緩和ケア内科;血管外科;腎臓内科;泌,250,
1101,101010014,北海道,札幌市,JR札幌病院,ジェイアールサッポロビョウイン,病院,北海道札幌市中央区北3条東1丁目1番地,,43.065945,141.356401,011-208-7150,北海道旅客鉄道株式会社,内;精;小;外;整;皮;泌;肛門外科;産婦;眼;耳;放;歯外;麻;リウ;呼内;呼吸器外科;循内;血管外科;消内;腎臓内科;乳腺外科;病理診断科;糖尿病内科,312,
1101,101010506,北海道,札幌市,JA北海道厚生連札幌厚生病院,ジェイエイホッカイドウコウセイレンサッポロコウセイビョウイン,病院,北海道札幌市中央区北3条東8丁目5番地,,43.067581,141.369183,011-261-5331,北海道厚生農業協同組合連合会,内;呼内;消内;循内;小;外;整;皮;泌;産婦;眼;耳;リハ;放;麻;脳神経内科;心外;精;緩和ケア;「糖尿病・内分泌内科」;血液内科;化学療法内科;消化器外科;病理診断科,519,
1101,101100432,北海道,札幌市,国家公務員共済組合連合会斗南病院,コッカコウムインキョウサイクミアイレンゴウカイトナンビョウイン,病院,北海道札幌市中央区北4条西7丁目3-8,,43.065142,141.345235,011-231-2121,国家公務員共済組合連合会,消内;腫瘍内科;呼内;リウ;「糖尿病・内分泌内科」;循内;血液内科;内;消外;呼外;内視鏡外科;乳外;心;整;形;皮;泌;婦;婦（生殖医療）;眼;耳;頭頸部外科;麻;放射線診断科;放射線治療科;リハ;病理診断科,283,
1101,101010157,北海道,札幌市,医療法人社団正心会岡本病院,イリョウホウジンシャダンセイシンカイオカモトビョウイン,病院,北海道札幌市中央区北7条西26丁目3番1号,,43.065857,141.316015,011-611-2351,医療法人社団正心会,内;精;神;呼;消;循,217,
1101,101010492,北海道,札幌市,医療法人札幌円山整形外科病院,イリョウホウジンサッポロマルヤマセイケイゲカビョウイン,病院,北海道札幌市中央区北7条西27丁目1番3号,,43.065188,141.314765,011-612-1133,医療法人札幌円山整形外科病院,リウ;整;リハ;麻,110,
1101,101100012,北海道,札幌市,医療法人桑園中央病院,イリョウホウジンソウエンチュウオウビョウイン,病院,北海道札幌市中央区北8条西16丁目28番35号,,43.068432,141.330322,011-621-1023,医療法人桑園中央病院,内;外;泌;リハ;放;麻;皮;循内;血管外科;形;糖尿病内科,68,
1101,101100458,北海道,札幌市,札幌渓仁会リハビリテーション病院,サッポロケイジンカイリハビリテーションビョウイン,病院,北海道札幌市中央区北10条西17丁目36-13,,43.070474,141.327597,011-640-7012,医療法人渓仁会,内;リハ,143,
1101,101010519,北海道,札幌市,市立札幌病院,シリツサッポロビョウイン,病院,北海道札幌市中央区北11条西13丁目1番1号,,43.070796,141.334344,011-726-2211,札幌市,内;精;神内;リウ;小;外;整;形;脳外;呼外;小外;皮;泌;産婦;眼;耳;リハ;麻;呼内;消内;消化器外科;循内;腎臓内科;血液内科;腫瘍内科;乳腺外科;病理診断科;救急科;歯外;心外;糖尿病内分泌内科;新生児内科;緩和ケア内科;感染症内科;腎臓移植外科;放射線診断科;放射線治療科,747,
