施設名称,所在地,所管課,設置目的,設置根拠,公用施設or公共用施設orインフラ・企業会計,施設の地域交流拠点,交通手段,所要時間,距離,まちづくりセンター地区,小学校区,中学校区,運営形態,複合施設,ⅰ複合施設名,ⅰ複合施設担当所管,ⅱ複合施設名,ⅱ複合施設担当所管,ⅲ複合施設名,ⅲ複合施設担当所管,ⅳ複合施設施設名,ⅳ複合施設担当所管,ⅴ複合施設名,ⅴ複合施設担当所管,敷地面積計(㎡）,延べ床面積計(㎡）,建物構造,地上階数,地下階数,"建築時期
（西暦）",法定耐用年数,経過年数,指定緊急避難場所の位置づけ,駐車場数（台）,屋外（台）,屋内（台）,URL,営業時間,開館日数,開館時間,閉館時間,H29利用者計（人）,宿泊施設延床(㎡）,宿泊施設利用可能延べ宿泊者数（人）,宿泊施設延べ宿泊者数（人）,宿泊施設目的外利用者数（人）,図書館延床面積(㎡）,図書館延べ貸出者数（人）,図書館延べ貸出冊数（冊）,図書館目的外利用者数（人）,体育室延床面積(㎡）,体育室一般利用者数（人）,体育室専用利用者数（人）,体育室一般利用割合（％）,体育室専用利用割合（％）,体育室稼働率（％）,体育室目的外利用者数（人）,プール延床面積(㎡）,プール一般利用者数（人）,プール専用利用者数（人）,プール一般利用割合（％）,プール専用利用割合（％）,プール稼働率（％）,プール目的外利用者（人）,ホール延床面積(㎡）,ホール専用利用者数,ホール稼働率（％）,ホール目的外利用者数（人）,福祉施設延床面積(㎡）,福祉施設入所・通所定員（人）,福祉施設入所・通所利用人員（人）,福祉施設目的外利用者数（人）,その他市民利用施設延床面積(㎡）,その他市民利用施設一般利用者数（人）,その他市民利用施設専用利用者数,その他市民利用施設一般利用割合（％）,その他市民利用施設専用利用割合（％）,その他市民利用施設稼働率（％）,その他市民利用施設目的外利用者数（人）,事務スペース延床面積(㎡）,事務スペース目的外利用者（人）,共用スペース延床面積（㎡）,共用スペース目的外利用者（人）,H29歳入決算（千円）,H29歳出決算（千円）,歳入歳出差引額（千円）,利用者1人あたり歳出（円）,利用者1人あたり税投入額（円）,税投入額/歳出,建物㎡あたり歳出（円）,取得価額（円）
中島公園庭球場,北海道札幌市中央区南15条西4丁目,スポーツ局スポーツ部施設課,市民の心身の健全なる発達及び体育の普及振興を図るため,札幌市都市公園条例,公共用施設,平岸,地下鉄,15分以内,1ｋｍ未満,－,－,－,直営（委託を含む。）,無,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,6144,263,Ｗ（木造）,2,0,1954,24,64,×,20,20,0,http://www.city.sapporo.jp/sports/sisetsu/institution/tennis/nakajima.html,15:00,184,6:00,21:00,79757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,79757,0,0,0,0,0,0,0,0,0,0,0,0,－,－,－,0,12190200
美香保公園野球場,北海道札幌市東区北21条東4丁目,スポ－ツ局スポ－ツ部施設課,市民の心身の健全なる発達及び体育の普及振興を図るため,札幌市都市公園条例,公共用施設,光星,徒歩,15分以内,1～5ｋｍ未満,－,－,－,指定管理者,無,－,－,－,－,－,－,－,－,－,－,28544,207,Ｗ（木造）,1,0,1951,24,67,×,30,30,0,http://www.city.sapporo.jp/sports/sisetsu/institution/stadium/mikaho.html,14:00,170,6:00,20:00,47277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,47277,0,100,50,0,68,0,0,0,5060,7577,-2517,160,53,0.33,36604,10197900
スポーツ交流施設,北海道札幌市東区栄町885番地1,スポ－ツ局スポ－ツ部施設課,市民の健康増進及び市民文化の向上に資するため,札幌市スポ－ツ交流施設条例,公共用施設,栄町,徒歩,15分以内,1～5ｋｍ未満,－,－,－,指定管理者,有,コミュニティド－ム,スポ－ツ局スポ－ツ部施設課,球技場,スポ－ツ局スポ－ツ部施設課,庭球場,スポ－ツ局スポ－ツ部施設課,パ－クゴルフ場,スポ－ツ局スポ－ツ部施設課,イベント広場等,スポ－ツ局スポ－ツ部施設課,133329,19157,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,2,0,1995,38,23,×,306,306,0,http://www.city.sapporo.jp/sports/sisetsu/institution/other/c-dome.html,15:30,355,5:30,21:00,1088941,0,0,0,0,0,0,0,0,11724,81707,955686,8,92,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,18534,33014,36,64,0,0,100,0,7110,0,153929,197551,-43622,181,40,0.22,10312,4673789251
東雁来公園サッカー場,北海道札幌市東区東雁来12条4丁目,スポ－ツ局スポ－ツ部施設課,市民の心身の健全なる発達及び体育の普及振興を図るため,札幌市都市公園条例,公共用施設,光星,バス,16～30分,5ｋｍ以上,－,－,－,直営（委託を含む。）,無,－,－,－,－,－,－,－,－,－,－,34135,0,－,－,－,2010,－,8,×,30,30,0,http://www.city.sapporo.jp/sports/sisetsu/institution/stadium/higashikariki.html,16:00,235,5:00,21:00,47503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47503,0,100,0,0,0,0,0,0,0,0,0,0,0,－,－,－
札幌ドーム,北海道札幌市豊平区羊ヶ丘1番地,スポ－ツ局スポ－ツ部施設課,内外の優れたスポ－ツ、展示会その他の催物の開催の場を提供すること等により、スポ－ツの普及振興及び市民文化の向上並びに地域経済の活性化に寄与するため,札幌ド－ム条例,公共用施設,福住,徒歩,15分以内,1ｋｍ未満,－,－,－,指定管理者,無,－,－,－,－,－,－,－,－,－,－,305230,98232,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,4,2,1998,38,20,×,1344,1344,0,http://www.city.sapporo.jp/sports/sisetsu/institution/stadium/sapporo-dome.html,17:00,365,7:00,0:00,2800770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14460,2779192,76,0,0,0,0,0,330,21578,0,100,0,0,0,200,0,83242,0,1950688,2306004,-355316,823,127,0.15,23475,28407342530
平岸庭球場,北海道札幌市豊平区平岸5条19丁目,スポ－ツ局スポ－ツ部施設課,市民の心身の健全なる発達及び体育の普及振興を図るため,札幌市体育施設条例,公共用施設,平岸,地下鉄,15分以内,1ｋｍ未満,－,－,－,指定管理者,有,平岸庭球場,スポ－ツ局スポ－ツ部施設課,平岸配水池,水道局給水部,－,－,－,－,－,－,40401,367,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,3,0,1976,－,42,×,100,100,0,http://www.city.sapporo.jp/sports/sisetsu/institution/tennis/hiragishi.html,15:00,186,6:00,19:00,－,0,－,－,－,0,－,－,－,0,－,－,－,－,－,－,0,－,－,－,－,－,－,0,－,－,－,0,－,－,－,346,－,－,－,－,－,－,21,－,0,－,0,0,0,－,－,－,0,－
麻生球場,北海道札幌市北区麻生町7丁目,スポ－ツ局スポ－ツ部施設課,市民の心身の健全なる発達及び体育の普及振興を図るため,札幌市体育施設条例,公共用施設,麻生・新琴似,徒歩,15分以内,1ｋｍ未満,－,－,－,指定管理者,無,－,－,－,－,－,－,－,－,－,－,35662,2983,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,2,0,1978,50,40,×,250,250,0,http://www.city.sapporo.jp/sports/sisetsu/institution/stadium/asabu.html,9:00,193,8:00,17:00,73416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,0,73416,0,100,80,0,36,0,0,0,5304,62089,-56785,846,773,0.91,20814,582332000
藻岩山スキー場南斜面休憩舎,北海道札幌市南区北の沢1819番51,南区土木部維持管理課,藻岩山スキ－場利用者の利便増進のため,なし,公共用施設,真駒内,自家用車,16～30分,1～5ｋｍ未満,－,－,－,直営（委託を含む。）,無,－,－,－,－,－,－,－,－,－,－,171630,194,その他,1,0,1996,－,22,×,270,270,0,－,12:30,109,9:00,21:30,24557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,24557,0,3688,-3688,150,150,1,18971,31155000
藻岩山スキー場（ロッジ）,北海道札幌市南区藻岩下1991番,南区土木部維持管理課,藻岩山スキ－場利用者の利便増進のため,なし,公共用施設,真駒内,自家用車,16～30分,1～5ｋｍ未満,－,－,－,民営（貸付等）,無,－,－,－,－,－,－,－,－,－,－,171630,1806,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,2,1,1975,50,43,×,450,450,0,－,12:30,109,9:00,21:30,131901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,131901,0,1584,-1584,12,12,1,877,166500000
厚別公園,北海道札幌市厚別区上野幌3条1丁目2番1号,スポ－ツ局スポ－ツ部施設課,都市公園の健全な発達を図り、もつて公共の福祉の増進に資するため,札幌市都市公園条例,公共用施設,大谷地,徒歩,16～30分,1～5ｋｍ未満,－,－,－,指定管理者,無,－,－,－,－,－,－,－,－,－,－,132000,6069,ＲＣ（鉄筋コンクリート造）、ＳＲＣ（鉄骨鉄筋コンクリート造）,3,0,1986,50,32,×,299,299,0,http://www.city.sapporo.jp/sports/sisetsu/institution/stadium/atsubetsu.html,12:30,336,8:30,21:00,178967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,55102,123865,31,69,53,0,56,0,1960,0,22229,149754,-127525,837,713,0.85,24675,2667411381
