中央区公園便所等一覧,,,
No.,"公園等施設名
※１施設に複数",所在地,多目的 ブース
1,※ 大通公園（管理事務所）,大通西７,○
2,※ 大通公園（西９丁目）,大通西９,○
3,※ 大通公園（西１１丁目）,大通西１１,○
4,※ 円山公園（公園入口）,大通西２８,○
5,※ 円山公園（坂下ｸﾞﾗﾝﾄﾞ）,宮ケ丘,○
6,欠番（撤去済み）,,
7,橋台広場第一公園,南５東４,　
8,七条公園,南７西１１,○
9,欠番（撤去済み）,,
10,なかよし公園,南７西１８,○
11,桑園公園,北７西１８,○
12,※ 中島公園（みどり食堂横）,中島公園,○
13,※ 中島公園（豊平館入り口）,中島公園,○
14,※ 中島公園（護国神社向い）,南１４西５,○
15,山鼻公園,南１４西１０,　
16,あかしや公園,南１２西２１,　
17,東橋公園,大通東１２,　
18,東７丁目緑地,北１東７,　
19,※ 円山公園（動物園裏バス回転場内）,宮ケ丘,　
20,※ 中島公園（自由広場）,中島公園,○
21,北４条歩行者専用道（道路）,北４西１６,○
22,山麓公園,南７西２４,○
23,※ 円山公園（テニスコート横）,宮の森,　
24,宮の森グリーン公園,宮の森２－３,○
25,旭ケ丘公園,旭ケ丘１,○
26,伏見公園,南１３西２３,○
27,宮の森ジャンボ公園,宮の森２－５,○
28,宮の森杉の子公園,宮の森３－９,○
29,※ 中島公園（南９条通公園入口）,中島公園,○
30,南１１条おおたに公園,南１１西１６,　
31,やちだも公園,北７西２３,○
32,※ 中島公園（幌平橋駅）,南１５西４,　
33,幌西自転車公園,南１４西１８,　
34,どんぐり公園,北１０西２２,○
35,宮の森こだま公園,宮の森４－１０,○
36,荒井山緑地,宮の森９０２,　
37,緑ケ丘公園,南１０西２３,　
38,日新公園,北８西２５,○
39,桑の実公園,北１０西１８,○
40,旭山記念公園※（第一駐車場奥）,界川４,○
41,※ 中島公園（豊水通側）,中島公園,○
42,※ 旭山記念公園（駐車場）,界川４,○
43,※ 旭山記念公園（遊歩道入口）,界川１,　
44,宮の森公園,宮の森３－５,　
45,永山記念公園,北２東５,　
46,欠番（撤去済み）,,
47,※ 大通公園（西５丁目）,大通西５,○
48,※ 大通公園（西３丁目）,大通西３,○
49,※ 円山公園（補助競技場横）,宮の森１－１３,　
50,南円山さくら公園,南５西２６,　
51,南２５条すみれ公園,南２５西８,　
52,桑園ふれあい公園,北１１西１４,○
53,山元公園,南１９西１６,　
54,伏見東緑地,伏見５,○
55,自然歩道藻岩山ﾙｰﾄ入口,旭ケ丘５,　
56,※ 旭山記念公園（ﾋﾟｸﾆｯｸﾃﾗｽ）,界川４,○
57,南９条緑地,南９西１０,○
58,創成川公園,南２東１,○
