種別,施設名,所在地
基幹避難所,小野幌小学校,厚別東2条4丁目5-1
基幹避難所,厚別中学校,厚別東3条5丁目1-1
基幹避難所,厚別東小学校,厚別東4条8丁目1-1
基幹避難所,厚別北中学校,厚別町小野幌774番地5
基幹避難所,もみじの丘小学校,もみじ台東4丁目5-1
基幹避難所,もみじ台南中学校,もみじ台南7丁目3-1
基幹避難所,もみじ台中学校,もみじ台西1丁目1-1
基幹避難所,もみじの森小学校,もみじ台西3丁目4-1
基幹避難所,青葉小学校,青葉町6丁目2-24
基幹避難所,青葉中学校,青葉町10丁目1-1
基幹避難所,共栄小学校,厚別南2丁目21-22
基幹避難所,上野幌小学校,厚別南7丁目9-1
基幹避難所,上野幌西小学校,上野幌1条2丁目6-1
基幹避難所,上野幌中学校,上野幌2条3丁目10-1
基幹避難所,上野幌東小学校,上野幌2条4丁目5-1
基幹避難所,大谷地東小学校,大谷地東5丁目8-1
基幹避難所,厚別南中学校,大谷地東7丁目1-1
基幹避難所,ひばりが丘小学校,厚別中央2条4丁目3-1
基幹避難所,厚別区体育館,厚別中央2条5丁目1-20
基幹避難所,信濃中学校,厚別中央3条2丁目3-1
基幹避難所,信濃小学校,厚別中央4条3丁目6-1
基幹避難所,厚別西小学校,厚別西3条1丁目3-1
基幹避難所,厚別通小学校,厚別西4条3丁目10-30
基幹避難所,厚別北小学校,厚別北2条3丁目3-1
地域避難所,もみじ台東第1集会所,もみじ台東1丁目1番
地域避難所,光生舎ゆいま～る・もみじ台,もみじ台南3丁目4番地
地域避難所,もみじ台北第2集会所,もみじ台北4丁目7番
地域避難所,星槎札幌もみじキャンパス・星槎国際高等学校・星槎もみじ中学校,もみじ台北5丁目12-1
地域避難所,厚別西地区センター,厚別西4条4丁目
地域避難所,厚別区民センター,厚別中央1条5丁目
地域避難所,札幌市厚別老人福祉センター,厚別中央1条7丁目17-25
地域避難所,智徳寺,厚別中央3条4丁目8-20
地域避難所,大行寺,厚別中央3条5丁目
地域避難所,札幌東商業高校,厚別中央3条5丁目
地域避難所,厚別信濃会館（厚別中央まちづくりセンター）,厚別中央4条3丁目
地域避難所,北星学園大学附属高校,厚別町下野幌38番地
地域避難所,地域交流ホーム　「ひまわり」（札幌報恩学園内）,厚別町上野幌822番地
地域避難所,小野幌会館（厚別東まちづくりセンター）,厚別東4条4丁目
地域避難所,札幌啓成高校,厚別東4条8丁目
地域避難所,厚別南会館（厚別南まちづくりセンター・児童会館）,厚別南1丁目
地域避難所,北星学園大学,大谷地西2丁目
地域避難所,大谷地団地町内会館,大谷地西3丁目
