施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
小野幌小学校,厚別東2条4丁目5-1,○,○,○,○
厚別中学校,厚別東3条5丁目1-1,○,○,○,○
厚別東小学校,厚別東4条8丁目1-1,○,○,○,○
厚別北中学校,厚別町小野幌774番地5,○,－,○,○
もみじの丘小学校,もみじ台東4丁目5-1,○,○,○,○
もみじ台南中学校,もみじ台南7丁目3-1,－,－,○,○
もみじ台中学校,もみじ台西1丁目1-1,○,○,○,○
もみじの森小学校,もみじ台西3丁目4-1,○,○,○,○
青葉小学校,青葉町6丁目2-24,○,○,○,○
青葉中学校,青葉町10丁目1-1,○,○,○,○
共栄小学校,厚別南2丁目21-22,○,○,○,○
上野幌小学校,厚別南7丁目9-1,○,○,○,○
上野幌西小学校,上野幌1条2丁目6-1,○,○,○,○
上野幌中学校,上野幌2条3丁目10-1,○,○,○,○
上野幌東小学校,上野幌2条4丁目5-1,○,○,○,○
大谷地東小学校,大谷地東5丁目8-1,○,○,○,○
厚別南中学校,大谷地東7丁目1-1,○,○,○,○
ひばりが丘小学校,厚別中央2条4丁目3-1,○,○,○,○
厚別区体育館,厚別中央2条5丁目1-20,○,○,○,×
信濃中学校,厚別中央3条2丁目3-1,○,○,○,○
信濃小学校,厚別中央4条3丁目6-1,○,○,○,○
厚別西小学校,厚別西3条1丁目3-1,○,－,○,○
厚別通小学校,厚別西4条3丁目10-30,○,－,○,○
厚別北小学校,厚別北2条3丁目3-1,○,○,○,○
