種別,施設名,所在地
基幹避難所,桑園小学校,北8条西17丁目
基幹避難所,日新小学校,北8条西25丁目2-1
基幹避難所,中央中学校,北4条東3丁目
基幹避難所,中央体育館,大通東5丁目12-13
基幹避難所,中央小学校,大通東6丁目12
基幹避難所,二条小学校,南2条西15丁目
基幹避難所,資生館小学校,南3条西7丁目1-1
基幹避難所,啓明中学校,南9条西22丁目2-1
基幹避難所,幌西小学校,南10条西17丁目1-1
基幹避難所,緑丘小学校,南10条西22丁目3-1
基幹避難所,円山小学校,北1条西25丁目1-8
基幹避難所,向陵中学校,北4条西28丁目1-30
基幹避難所,中島中学校,南12条西7丁目2-1
基幹避難所,山鼻小学校,南14条西10丁目1-1
基幹避難所,伏見中学校,南16条西17丁目1-35
基幹避難所,伏見小学校,南18条西15丁目1-1
基幹避難所,幌南小学校,南21条西5丁目1-1
基幹避難所,柏中学校,南21条西5丁目1-2
基幹避難所,山鼻中学校,南23条西13丁目1-1
基幹避難所,山鼻南小学校,南29条西12丁目1-1
基幹避難所,盤渓小学校,盤渓226番地
基幹避難所,宮の森中学校,宮の森1条16丁目5-1
基幹避難所,大倉山小学校,宮の森3条13丁目6-20
基幹避難所,宮の森小学校,宮の森4条6丁目1-1
基幹避難所,三角山小学校,宮の森4条11丁目4-1
地域避難所,札幌旭丘高校,旭ヶ丘6丁目
地域避難所,札幌市教育文化会館,北1条西13丁目
地域避難所,円山会館（円山まちづくりセンター・児童会館）,北1条西23丁目
地域避難所,苗穂会館（苗穂まちづくりセンター・苗穂はるにれ児童会館）,北1条東10丁目
地域避難所,札幌大通高校,北2条西11丁目
地域避難所,札幌龍谷学園高校,北4条西19丁目
地域避難所,桑園ふれあいセンター（桑園まちづくりセンター・児童会館）,北7条西15丁目
地域避難所,中央区民センター,南2条西10丁目
地域避難所,大通・西会館（大通・西まちづくりセンター）,南2条西15丁目
地域避難所,北海道神宮頓宮,南2条東3丁目
地域避難所,興正寺別院,南2条東5丁目
地域避難所,北海寺,南3条東4丁目
地域避難所,西創成会館（西創成まちづくりセンター）,南5条西7丁目
地域避難所,豊水会館（豊水まちづくりセンター）,南8条西2丁目
地域避難所,旭山公園通地区センター,南9条西18丁目
地域避難所,南円山会館（南円山まちづくりセンター）,南9条西21丁目
地域避難所,曙会館（曙まちづくりセンター）,南11条西10丁目
地域避難所,幌西会館（幌西まちづくりセンター）,南11条西14丁目
地域避難所,妙心寺,南11条西9丁目
地域避難所,あけぼのアート＆コミュニティセンター,南11条西9丁目
地域避難所,大光寺,南12条西17丁目
地域避難所,誓願寺,南13条西9丁目
地域避難所,伏見会館,南14条西18丁目
地域避難所,瑞正寺,南14条西8丁目
地域避難所,静修高校,南16条西6丁目
地域避難所,札幌南高校,南18条西6丁目
地域避難所,山鼻会館（山鼻まちづくりセンター）,南23条西10丁目
地域避難所,山鼻福祉センター（山鼻児童会館）,南24条西13丁目
地域避難所,中島児童会館,中島公園1番1号
地域避難所,円山西町町内会館,円山西町3丁目
地域避難所,円山西町児童会館,円山西町8丁目
地域避難所,曹洞宗大乗院薬王寺本堂,宮の森1263番地
地域避難所,宮の森明和地区会館（宮の森まちづくりセンター）,宮の森2条11丁目
地域避難所,宮の森会館（宮の森児童会館）,宮の森2条5丁目
地域避難所,札幌西高校,宮の森4条8丁目
地域避難所,伏見稲荷神社,伏見2丁目
地域避難所,ローズガーデンクライスト教会,伏見3丁目
