施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
桑園小学校,北8条西17丁目,－,－,○,○
日新小学校,北8条西25丁目2-1,－,－,○,○
中央中学校,北4条東3丁目,○,－,○,○
中央体育館,大通東5丁目12-13,○,－,×,×
中央小学校,大通東6丁目12,○,－,○,○
二条小学校,南2条西15丁目,－,－,○,○
資生館小学校,南3条西7丁目1-1,○,－,○,○
啓明中学校,南9条西22丁目2-1,－,○,○,○
幌西小学校,南10条西17丁目1-1,－,○,○,○
緑丘小学校,南10条西22丁目3-1,－,○,○,○
円山小学校,北1条西25丁目1-8,－,○,○,×
向陵中学校,北4条西28丁目1-30,－,○,○,○
中島中学校,南12条西7丁目2-1,○,－,○,×
山鼻小学校,南14条西10丁目1-1,○,○,○,○
伏見中学校,南16条西17丁目1-35,－,○,○,○
伏見小学校,南18条西15丁目1-1,○,○,○,○
幌南小学校,南21条西5丁目1-1,○,○,○,○
柏中学校,南21条西5丁目1-2,○,○,○,×
山鼻中学校,南23条西13丁目1-1,○,○,○,○
山鼻南小学校,南29条西12丁目1-1,○,×,○,○
盤渓小学校,盤渓226番地,－,×,○,○
宮の森中学校,宮の森1条16丁目5-1,－,○,○,○
大倉山小学校,宮の森3条13丁目6-20,－,○,○,○
宮の森小学校,宮の森4条6丁目1-1,－,○,○,○
三角山小学校,宮の森4条11丁目4-1,－,○,○,○
