種別,施設名,所在地
基幹避難所,東苗穂小学校,東苗穂5条2丁目3-1
基幹避難所,札苗中学校,東苗穂7条1丁目1-1
基幹避難所,札苗小学校,東苗穂7条2丁目3-1
基幹避難所,札苗北小学校,東苗穂9条3丁目2-3
基幹避難所,札苗北中学校,東苗穂10条3丁目16-20
基幹避難所,札苗緑小学校,東苗穂13条4丁目9-30
基幹避難所,栄町小学校,北36条東13丁目3-1
基幹避難所,栄町中学校,北36条東14丁目1-1
基幹避難所,栄南中学校,北36条東16丁目1-1
基幹避難所,栄南小学校,北37条東20丁目3-1
基幹避難所,栄西小学校,北39条東4丁目1-1
基幹避難所,栄小学校,北42条東10丁目2-1
基幹避難所,栄東小学校,北46条東13丁目1-1
基幹避難所,栄中学校,北46条東6丁目1-1
基幹避難所,栄北小学校,北47条東6丁目1-1
基幹避難所,栄緑小学校,北51条東10丁目1-1
基幹避難所,札幌小学校,伏古1条2丁目1-31
基幹避難所,札幌中学校,伏古8条1丁目1-28
基幹避難所,伏古小学校,伏古8条5丁目2-1
基幹避難所,伏古北小学校,伏古11条1丁目2-10
基幹避難所,丘珠小学校,丘珠町593番地
基幹避難所,丘珠中学校,丘珠町674番地
基幹避難所,福移小中学校,中沼町240番地
基幹避難所,中沼小学校,中沼町73-10
基幹避難所,苗穂小学校,北9条東13丁目1-1
基幹避難所,北光小学校,北12条東6丁目1-1
基幹避難所,美香保中学校,北17条東6丁目1-1
基幹避難所,美香保小学校,北18条東6丁目1-10
基幹避難所,明園小学校,北19条東14丁目1-1
基幹避難所,開成小学校,北21条東21丁目3-1
基幹避難所,開成中等教育学校,北22条東21丁目1-1
基幹避難所,明園中学校,北22条東12丁目1-1
基幹避難所,元町小学校,北25条東17丁目1-1
基幹避難所,北園小学校,北25条東4丁目3-1
基幹避難所,東区体育館,北27条東14丁目3-1
基幹避難所,元町中学校,北28条東20丁目1-1
基幹避難所,元町北小学校,北31条東14丁目1-1
基幹避難所,北栄中学校,北33条東2丁目1-1
基幹避難所,北小学校,北33条東4丁目1-1
基幹避難所,東栄中学校,本町1条7丁目2-7
基幹避難所,東光小学校,本町2条1丁目2-32
基幹避難所,本町小学校,本町2条7丁目1-30
地域避難所,丘珠ふれあいセンター（丘珠まちづくりセンター）,丘珠町183番地2
地域避難所,中沼モエレ会館（モエレ会館）,中沼町104番地
地域避難所,福移公民館,中沼町237番地
地域避難所,社会福祉法人北翔会「生活介護ひかり」,東雁来8条1丁目
地域避難所,豊畑町内会館,東雁来町361番地
地域避難所,札幌保健医療大学３号館,東区中沼西4条2丁目
地域避難所,札幌東陵高校,東苗穂10条1丁目
地域避難所,瑞穂会館,苗穂町13丁目
地域避難所,大導寺,苗穂町2丁目
地域避難所,苗穂東交流センター（苗穂東まちづくりセンター）,苗穂町3丁目
地域避難所,伏古児童会館,伏古10条3丁目
地域避難所,ふしこ地区センター,伏古11条3丁目
地域避難所,ふしこ団地集会所,伏古3条4丁目
地域避難所,伏古記念会館,伏古7条2丁目
地域避難所,信行寺,北8条東3丁目
地域避難所,新生児童会館,北8条東7丁目
地域避難所,瑞玄寺,北9条東3丁目
地域避難所,鉄東会館（鉄東まちづくりセンター）,北9条東5丁目
地域避難所,大覚寺,北10条東11丁目
地域避難所,東区民センター,北11条東7丁目
地域避難所,諏訪神社,北12条東1丁目
地域避難所,札幌光星高校,北13条東9丁目
地域避難所,北東会館,北14条東8丁目
地域避難所,札幌北斗高校,北15条東2丁目
地域避難所,興隆寺,北16条東3丁目
地域避難所,札幌大谷高校,北16条東9丁目
地域避難所,札幌大谷大学・札幌大谷大学短期大学部,北16条東9丁目
地域避難所,北光会館（北光まちづくりセンター・児童会館）,北18条東5丁目
地域避難所,天理教城明分教会,北19条東22丁目
地域避難所,大願寺,北19条東3丁目
地域避難所,元町会館（元町まちづくりセンター）,北20条東20丁目
地域避難所,元町児童会館,北21条東18丁目
地域避難所,アカシヤ若者活動センター,北22条東1丁目
地域避難所,北光白樺福祉会館,北23条東2丁目
地域避難所,大谷派法照寺,北24条東5丁目
地域避難所,北栄会館（北栄まちづくりセンター）,北25条東7丁目
地域避難所,栄地区センター,北36条東8丁目
地域避難所,ひのまる児童会館,北38条東9丁目
地域避難所,日の丸会館（栄東まちづくりセンター）,北41条東14丁目
地域避難所,栄町会館,北41条東1丁目
地域避難所,烈々布神社,北42条東10丁目
地域避難所,北栄寺,北45条東1丁目
地域避難所,札幌丘珠高校,北丘珠1条2丁目
地域避難所,丘珠みづほ団地町内会館,北丘珠2条2丁目
地域避難所,丘珠新栄会館,北丘珠4条2丁目
地域避難所,法国寺会館,本町1条1丁目
地域避難所,苗穂神社,本町2条3丁目
地域避難所,苗穂・本町地区センター,本町2条7丁目
