施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
東苗穂小学校,東苗穂5条2丁目3-1,○,－,○,○
札苗中学校,東苗穂7条1丁目1-1,○,－,○,○
札苗小学校,東苗穂7条2丁目3-1,○,－,○,○
札苗北小学校,東苗穂9条3丁目2-3,○,－,○,○
札苗北中学校,東苗穂10条3丁目16-20,○,－,○,○
札苗緑小学校,東苗穂13条4丁目9-30,○,－,○,○
栄町小学校,北36条東13丁目3-1,－,－,○,○
栄町中学校,北36条東14丁目1-1,－,－,○,○
栄南中学校,北36条東16丁目1-1,－,－,○,×
栄南小学校,北37条東20丁目3-1,－,－,○,○
栄西小学校,北39条東4丁目1-1,－,－,×,○
栄小学校,北42条東10丁目2-1,－,－,○,○
栄東小学校,北46条東13丁目1-1,○,－,○,○
栄中学校,北46条東6丁目1-1,○,－,○,○
栄北小学校,北47条東6丁目1-1,○,－,○,○
栄緑小学校,北51条東10丁目1-1,○,－,○,○
札幌小学校,伏古1条2丁目1-31,○,－,○,○
札幌中学校,伏古8条1丁目1-28,○,－,○,○
伏古小学校,伏古8条5丁目2-1,○,－,○,○
伏古北小学校,伏古11条1丁目2-10,○,－,○,○
丘珠小学校,丘珠町593番地,○,－,○,○
丘珠中学校,丘珠町674番地,○,－,○,○
福移小中学校,中沼町240番地,×,－,○,○
中沼小学校,中沼町73-10,○,－,○,○
苗穂小学校,北9条東13丁目1-1,－,－,○,○
北光小学校,北12条東6丁目1-1,－,－,○,○
美香保中学校,北17条東6丁目1-1,－,－,○,○
美香保小学校,北18条東6丁目1-10,－,－,○,○
明園小学校,北19条東14丁目1-1,－,－,○,○
開成小学校,北21条東21丁目3-1,－,－,○,○
開成中等教育学校,北22条東21丁目1-1,－,－,○,○
明園中学校,北22条東12丁目1-1,－,－,○,○
元町小学校,北25条東17丁目1-1,－,－,○,○
北園小学校,北25条東4丁目3-1,－,－,○,○
東区体育館,北27条東14丁目3-1,－,－,○,×
元町中学校,北28条東20丁目1-1,－,－,○,○
元町北小学校,北31条東14丁目1-1,－,－,○,○
北栄中学校,北33条東2丁目1-1,－,－,○,○
北小学校,北33条東4丁目1-1,－,－,○,○
東栄中学校,本町1条7丁目2-7,○,－,○,○
東光小学校,本町2条1丁目2-32,－,－,○,○
本町小学校,本町2条7丁目1-30,○,－,×,○
