種別,施設名,所在地
基幹避難所,北辰中学校,北18条西2丁目2-1
基幹避難所,幌北小学校,北19条西2丁目1-1
基幹避難所,白楊小学校,北24条西7丁目1-1
基幹避難所,新陽小学校,北27条西14丁目1-1
基幹避難所,北陽小学校,北31条西9丁目2-1
基幹避難所,北陽中学校,北34条西7丁目3-1
基幹避難所,和光小学校,北34条西7丁目3-2
基幹避難所,新光小学校,新琴似1条12丁目1-1
基幹避難所,新琴似南小学校,新琴似1条3丁目1-1
基幹避難所,光陽中学校,新琴似4条11丁目7-1
基幹避難所,光陽小学校,新琴似5条11丁目4-1
基幹避難所,新琴似小学校,新琴似7条3丁目2-1
基幹避難所,新琴似中学校,新琴似7条4丁目1-1
基幹避難所,北区体育館,新琴似8条2丁目1-25
基幹避難所,新琴似北中学校,新琴似10条10丁目2-46
基幹避難所,新琴似緑小学校,新琴似10条11丁目5-1
基幹避難所,新琴似北小学校,新琴似11条6丁目1-1
基幹避難所,新琴似西小学校,新琴似11条15丁目1-5
基幹避難所,新川中央小学校,新川3条3丁目2-1
基幹避難所,新川中学校,新川4条3丁目1-1
基幹避難所,新川西中学校,新川4条15丁目1-1
基幹避難所,新川小学校,新川5条15丁目1-1
基幹避難所,屯田南小学校,屯田5条4丁目6-1
基幹避難所,屯田西小学校,屯田6条10丁目3-1
基幹避難所,屯田中央中学校,屯田6条8丁目1-1
基幹避難所,屯田小学校,屯田7条6丁目2-2
基幹避難所,屯田北小学校,屯田9条3丁目4-1
基幹避難所,屯田北中学校,屯田9条4丁目2-1
基幹避難所,太平南小学校,太平1条1丁目2-1
基幹避難所,太平中学校,太平8条2丁目1-1
基幹避難所,太平小学校,篠路1条2丁目6-20
基幹避難所,篠路小学校,篠路4条9丁目3-1
基幹避難所,篠路西小学校,篠路5条2丁目2-1
基幹避難所,篠路西中学校,篠路6条2丁目1-50
基幹避難所,茨戸小学校,東茨戸1条2丁目314-15
基幹避難所,上篠路中学校,篠路町上篠路116番地14
基幹避難所,篠路中学校,篠路町篠路368番地
基幹避難所,拓北小学校,あいの里2条1丁目24-1
基幹避難所,あいの里西小学校,あいの里2条3丁目9-1
基幹避難所,あいの里東中学校,あいの里2条7丁目14-1
基幹避難所,鴻城小学校,あいの里3条6丁目2-1
基幹避難所,あいの里東小学校,あいの里3条7丁目11-1
基幹避難所,百合が原小学校,百合が原6丁目5-1
基幹避難所,北九条小学校,北9条西1丁目1
地域避難所,拓北・あいの里地区センター（拓北・あいの里まちづくりセンター）,あいの里1条6丁目
地域避難所,篠路コミュニティセンター,篠路3条8丁目
地域避難所,篠路会館（篠路まちづくりセンター）,篠路4条7丁目
地域避難所,篠路児童会館,篠路4条9丁目
地域避難所,篠路団地福祉会館,篠路5条4丁目
地域避難所,札幌英藍高校,篠路町篠路372
地域避難所,新琴似児童会館,新琴似11条7丁目
地域避難所,新琴似・新川地区センター,新琴似2条8丁目
地域避難所,三和福祉会館（新琴似西まちづくりセンター）,新琴似7条14丁目
地域避難所,新琴似地区会館（新琴似まちづくりセンター）,新琴似7条4丁目
地域避難所,双葉福祉会館,新琴似9条14丁目
地域避難所,新川地区会館（新川まちづくりセンター）,新川1条4丁目
地域避難所,札幌新川高校,新川5条14丁目
地域避難所,札幌国際情報高校,新川717番地1
地域避難所,新川公園会館,新川西3条6丁目
地域避難所,豊明高等養護学校,西茨戸4条1丁目
地域避難所,太平百合が原地区センター,太平12条2丁目
地域避難所,太平会館（太平百合が原まちづくりセンター・児童会館）,太平8条7丁目
地域避難所,屯田地区センター（屯田まちづくりセンター）,屯田5条6丁目
地域避難所,札幌北陵高校,屯田7条8丁目
地域避難所,有朋高校,屯田9条7丁目
地域避難所,鉄西会館（鉄西まちづくりセンター）,北10条西4丁目
地域避難所,藤女子大学北16条校舎・大学新館1期校舎,北16条西2丁目
地域避難所,幌北会館（幌北まちづくりセンター）,北17条西5丁目
地域避難所,幌北児童会館,北17条西6丁目
地域避難所,札幌工業高校,北20条西13丁目
地域避難所,北24条会館,北24条西3丁目
地域避難所,白楊幼稚園,北24条西7丁目
地域避難所,札幌北高校,北25条西11丁目
地域避難所,南新川会館,北25条西13丁目
地域避難所,北区民センター,北25条西6丁目
地域避難所,新陽会館,北26条西15丁目
地域避難所,北会館（北まちづくりセンター）,北29条西7丁目
地域避難所,麻生総合センター,北39条西5丁目
