施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
北辰中学校,北18条西2丁目2-1,－,－,○,○
幌北小学校,北19条西2丁目1-1,－,－,○,○
白楊小学校,北24条西7丁目1-1,－,－,○,○
新陽小学校,北27条西14丁目1-1,－,－,×,○
北陽小学校,北31条西9丁目2-1,－,－,○,○
北陽中学校,北34条西7丁目3-1,－,－,○,○
和光小学校,北34条西7丁目3-2,－,－,○,○
新光小学校,新琴似1条12丁目1-1,○,－,○,○
新琴似南小学校,新琴似1条3丁目1-1,○,－,○,○
光陽中学校,新琴似4条11丁目7-1,－,－,○,○
光陽小学校,新琴似5条11丁目4-1,－,－,○,○
新琴似小学校,新琴似7条3丁目2-1,－,－,○,○
新琴似中学校,新琴似7条4丁目1-1,－,－,○,○
北区体育館,新琴似8条2丁目1-25,－,－,○,×
新琴似北中学校,新琴似10条10丁目2-46,○,－,○,○
新琴似緑小学校,新琴似10条11丁目5-1,○,－,○,○
新琴似北小学校,新琴似11条6丁目1-1,○,－,○,○
新琴似西小学校,新琴似11条15丁目1-5,○,－,○,○
新川中央小学校,新川3条3丁目2-1,○,－,○,○
新川中学校,新川4条3丁目1-1,○,－,○,○
新川西中学校,新川4条15丁目1-1,○,－,○,○
新川小学校,新川5条15丁目1-1,○,－,○,○
屯田南小学校,屯田5条4丁目6-1,○,－,○,○
屯田西小学校,屯田6条10丁目3-1,○,－,○,○
屯田中央中学校,屯田6条8丁目1-1,○,－,○,○
屯田小学校,屯田7条6丁目2-2,○,－,○,○
屯田北小学校,屯田9条3丁目4-1,○,－,○,○
屯田北中学校,屯田9条4丁目2-1,○,－,○,○
太平南小学校,太平1条1丁目2-1,○,－,○,○
太平中学校,太平8条2丁目1-1,○,－,○,○
太平小学校,篠路1条2丁目6-20,○,－,○,○
篠路小学校,篠路4条9丁目3-1,○,－,○,○
篠路西小学校,篠路5条2丁目2-1,○,－,○,○
篠路西中学校,篠路6条2丁目1-50,○,－,○,○
茨戸小学校,東茨戸1条2丁目314-15,○,－,○,○
上篠路中学校,篠路町上篠路116番地14,○,－,○,○
篠路中学校,篠路町篠路368番地,○,－,○,○
拓北小学校,あいの里2条1丁目24-1,○,－,○,○
あいの里西小学校,あいの里2条3丁目9-1,○,－,○,○
あいの里東中学校,あいの里2条7丁目14-1,○,－,○,○
鴻城小学校,あいの里3条6丁目2-1,○,－,○,○
あいの里東小学校,あいの里3条7丁目11-1,○,－,○,○
百合が原小学校,百合が原6丁目5-1,○,－,○,○
北九条小学校,北9条西1丁目1,－,－,○,○
