種別,施設名,所在地
基幹避難所,三里塚小学校,里塚2条6丁目7-1
基幹避難所,真栄小学校,美しが丘1条1丁目1-10
基幹避難所,真栄中学校,美しが丘1条1丁目2-10
基幹避難所,美しが丘小学校,美しが丘2条5丁目1-1
基幹避難所,美しが丘緑小学校,美しが丘4条5丁目8-1
基幹避難所,有明小学校,有明141-2
基幹避難所,清田小学校,清田1条4丁目3-30
基幹避難所,清田中学校,清田3条3丁目7-1
基幹避難所,清田南小学校,清田5条2丁目18-1
基幹避難所,清田緑小学校,清田7条3丁目12-30
基幹避難所,北野平小学校,北野2条3丁目7-1
基幹避難所,北野中学校,北野2条3丁目7-30
基幹避難所,北野小学校,北野3条2丁目10-1
基幹避難所,北野台中学校,北野4条4丁目13-1
基幹避難所,北野台小学校,北野4条5丁目4-80
基幹避難所,清田区体育館,平岡1条5丁目4-1
基幹避難所,平岡中学校,平岡2条5丁目4-10
基幹避難所,平岡南小学校,平岡2条6丁目2-1
基幹避難所,平岡中央小学校,平岡5条3丁目9-1
基幹避難所,平岡中央中学校,平岡5条4丁目7-1
基幹避難所,平岡小学校,平岡9条2丁目5-1
基幹避難所,平岡公園小学校,平岡公園東5丁目9-1
基幹避難所,平岡緑中学校,平岡公園東9丁目11-1
地域避難所,札幌真栄高等学校,真栄236番地
地域避難所,真栄地区会館,真栄2条2丁目
地域避難所,清田区民センター（清田まちづくりセンター）,清田1条2丁目
地域避難所,清田児童会館,清田1条4丁目
地域避難所,清田有楽町内会館,清田2条2丁目
地域避難所,札幌国際大学,清田4条1丁目
地域避難所,清田中央総合会館（清田中央まちづくりセンター・児童会館）,清田6条2丁目
地域避難所,清武館,清田7条2丁目
地域避難所,里塚町内会会館,美しが丘1条8丁目
地域避難所,厚別神社,平岡2条1丁目
地域避難所,平岡児童会館,平岡8条1丁目
地域避難所,光円寺,北野1条2丁目
地域避難所,札幌清田高校,北野3条4丁目
地域避難所,北野連合会館（北野まちづくりセンター）,北野4条2丁目
地域避難所,有明会館,有明106番地
地域避難所,里塚・美しが丘地区センター,里塚2条5丁目
