施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
三里塚小学校,里塚2条6丁目7-1,－,○,○,○
真栄小学校,美しが丘1条1丁目1-10,○,○,○,○
真栄中学校,美しが丘1条1丁目2-10,○,○,○,○
美しが丘小学校,美しが丘2条5丁目1-1,○,○,○,○
美しが丘緑小学校,美しが丘4条5丁目8-1,○,○,○,○
有明小学校,有明141-2,○,○,○,○
清田小学校,清田1条4丁目3-30,○,○,○,○
清田中学校,清田3条3丁目7-1,○,×,○,○
清田南小学校,清田5条2丁目18-1,○,○,○,○
清田緑小学校,清田7条3丁目12-30,○,○,○,○
北野平小学校,北野2条3丁目7-1,○,○,○,○
北野中学校,北野2条3丁目7-30,○,○,○,○
北野小学校,北野3条2丁目10-1,○,○,○,○
北野台中学校,北野4条4丁目13-1,○,○,○,○
北野台小学校,北野4条5丁目4-80,○,○,○,○
清田区体育館,平岡1条5丁目4-1,○,○,○,×
平岡中学校,平岡2条5丁目4-10,○,○,○,○
平岡南小学校,平岡2条6丁目2-1,○,○,○,○
平岡中央小学校,平岡5条3丁目9-1,○,○,○,○
平岡中央中学校,平岡5条4丁目7-1,○,○,○,○
平岡小学校,平岡9条2丁目5-1,－,○,○,○
平岡公園小学校,平岡公園東5丁目9-1,－,○,○,○
平岡緑中学校,平岡公園東9丁目11-1,－,－,○,○
