種別,施設名,所在地
基幹避難所,日章中学校,東札幌4条5丁目1-1
基幹避難所,東札幌小学校,東札幌4条5丁目4-20
基幹避難所,札幌コンベンションセンター,東札幌6条1丁目1-1
基幹避難所,西白石小学校,中央3条5丁目2-22
基幹避難所,南白石小学校,南郷通2丁目南6-35
基幹避難所,白石区体育館,南郷通6丁目北1-1
基幹避難所,本郷小学校,南郷通10丁目南3-1
基幹避難所,東白石中学校,南郷通15丁目北4-1
基幹避難所,南郷小学校,本郷通4丁目南3-1
基幹避難所,白石中学校,本郷通6丁目南1-1
基幹避難所,白石小学校,本通1丁目北4-1
基幹避難所,東白石小学校,本通14丁目南6-1
基幹避難所,平和通小学校,本通15丁目北3-1
基幹避難所,大谷地小学校,本通18丁目南1-1
基幹避難所,柏丘中学校,平和通8丁目北3-1
基幹避難所,本通小学校,平和通9丁目南1-1
基幹避難所,幌東中学校,菊水6条3丁目2-51
基幹避難所,幌東小学校,菊水6条3丁目2-65
基幹避難所,東橋小学校,菊水8条1丁目3-25
基幹避難所,上白石小学校,菊水上町1条3丁目52
基幹避難所,菊水小学校,菊水元町2条3丁目2-14
基幹避難所,北都小学校,北郷3条11丁目7-1
基幹避難所,北郷小学校,北郷4条5丁目1-1
基幹避難所,北白石中学校,北郷6条3丁目5-1
基幹避難所,北白石小学校,北郷6条3丁目5-2
基幹避難所,川北小学校,川北4条2丁目2-1
基幹避難所,東川下小学校,川下4条3丁目1-1
基幹避難所,北都中学校,川下749番地56
基幹避難所,米里小学校,米里1条3丁目8-1
基幹避難所,米里中学校,米里1条4丁目5-1
地域避難所,栄通児童会館,栄通6丁目
地域避難所,菊水やよい児童会館,菊水1条4丁目
地域避難所,菊水地区会館（菊水まちづくりセンター）,菊水7条2丁目
地域避難所,札幌東高校,菊水9条3丁目
地域避難所,菊水元町地区センター,菊水元町5条2丁目
地域避難所,菊水元町南町内会館,菊水元町7条2丁目
地域避難所,白菊会館,菊水元町8条1丁目
地域避難所,菊水上町会館,菊水上町4条1丁目
地域避難所,東川下町内会東川下記念会館,川下3条5丁目
地域避難所,札幌白石高校,川北2261番地
地域避難所,川北会館,川北2条2丁目
地域避難所,白石中央福祉会館,中央1条5丁目
地域避難所,東札幌会館（東札幌まちづくりセンター）,東札幌2条4丁目
地域避難所,札幌市産業振興センター,東札幌5条1丁目
地域避難所,東米里福祉会館,東米里2157番地
地域避難所,南栄会館,南郷通6丁目南
地域避難所,南郷福祉会館,南郷通7丁目南
地域避難所,白石区民センター,南郷通1丁目南8-1
地域避難所,白石駅前会館,平和通2丁目北
地域避難所,白石共栄福祉会館,平和通7丁目南
地域避難所,旭町内会館,平和通10丁目北
地域避難所,こころのリカバリー総合支援センター,平和通17丁目北
地域避難所,大昌寺,北郷2362
地域避難所,札幌聖書キリスト教会,北郷1条3丁目
地域避難所,北都地区会館（北東白石まちづくりセンター）,北郷3条12丁目
地域避難所,北郷会館,北郷3条3丁目
地域避難所,北郷東会館,北郷3条6丁目
地域避難所,北白石地区センター,北郷3条7丁目
地域避難所,北郷児童会館,北郷4条5丁目
地域避難所,本郷会館,本郷通8丁目北
地域避難所,白石会館（白石まちづくりセンター）,本通1丁目南
地域避難所,乗善寺,本通2丁目南
地域避難所,教照寺,本通5丁目南
地域避難所,東白石会館（東白石まちづくりセンター・児童会館）,本通13丁目南
地域避難所,白石東地区センター,本通16丁目南
地域避難所,白石東会館（白石東まちづくりセンター）,本通18丁目南
地域避難所,札幌白陵高校,東米里2062番地10
