施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
日章中学校,東札幌4条5丁目1-1,○,－,○,○
東札幌小学校,東札幌4条5丁目4-20,○,－,○,○
札幌コンベンションセンター,東札幌6条1丁目1-1,○,－,○,×
西白石小学校,中央3条5丁目2-22,○,－,○,○
南白石小学校,南郷通2丁目南6-35,○,○,○,○
白石区体育館,南郷通6丁目北1-1,○,－,○,×
本郷小学校,南郷通10丁目南3-1,○,－,○,○
東白石中学校,南郷通15丁目北4-1,○,－,○,○
南郷小学校,本郷通4丁目南3-1,○,－,○,○
白石中学校,本郷通6丁目南1-1,○,－,○,○
白石小学校,本通1丁目北4-1,○,－,○,○
東白石小学校,本通14丁目南6-1,○,－,○,○
平和通小学校,本通15丁目北3-1,○,－,○,○
大谷地小学校,本通18丁目南1-1,○,○,○,○
柏丘中学校,平和通8丁目北3-1,○,－,○,○
本通小学校,平和通9丁目南1-1,○,－,○,○
幌東中学校,菊水6条3丁目2-51,○,－,○,○
幌東小学校,菊水6条3丁目2-65,○,－,○,○
東橋小学校,菊水8条1丁目3-25,○,－,○,○
上白石小学校,菊水上町1条3丁目52,○,－,○,○
菊水小学校,菊水元町2条3丁目2-14,○,－,○,○
北都小学校,北郷3条11丁目7-1,○,－,○,○
北郷小学校,北郷4条5丁目1-1,○,－,○,○
北白石中学校,北郷6条3丁目5-1,○,－,○,○
北白石小学校,北郷6条3丁目5-2,○,－,○,○
川北小学校,川北4条2丁目2-1,○,－,○,○
東川下小学校,川下4条3丁目1-1,○,－,○,○
北都中学校,川下749番地56,○,－,○,○
米里小学校,米里1条3丁目8-1,○,－,○,○
米里中学校,米里1条4丁目5-1,○,－,○,○
札幌白陵高校※,東米里2062番地10,○,－,○,○
