施設名,所在地,指定緊急避難場所の指定の有無(洪水災害),指定緊急避難場所の指定の有無(土砂災害),指定緊急避難場所の指定の有無(地震災害),指定緊急避難場所の指定の有無(大規模な火事)
豊園小学校,美園1条4丁目1-1,○,○,○,○
みどり小学校,美園5条2丁目2-1,○,○,○,○
月寒小学校,月寒西2条5丁目1-1,○,○,○,×
南月寒小学校,月寒西4条8丁目2-1,○,○,○,○
西岡小学校,西岡2条9丁目1-1,○,○,○,○
西岡中学校,西岡3条12丁目1-1,○,○,○,○
西岡北小学校,西岡3条6丁目7-20,○,○,○,○
西岡北中学校,西岡3条8丁目1-1,○,○,○,○
西岡南小学校,西岡4条12丁目7-1,○,○,○,○
羊丘中学校,福住1条3丁目16-1,○,○,○,○
福住小学校,福住3条5丁目1-1,○,○,○,○
あやめ野小学校,月寒東1条11丁目7-32,○,－,○,○
羊丘小学校,月寒東1条16丁目3-1,○,○,○,○
月寒中学校,月寒東2条2丁目4-54,○,○,○,○
豊平区体育館,月寒東2条20丁目4-15,○,○,○,×
月寒東小学校,月寒東3条10丁目1-1,○,－,○,○
あやめ野中学校,月寒東3条11丁目15-1,○,－,○,○
東月寒中学校,月寒東3条18丁目1-72,○,○,○,○
しらかば台小学校,月寒東4条18丁目10-43,○,○,○,○
東園小学校,豊平1条12丁目1-1,○,－,○,○
豊平小学校,豊平5条7丁目1-2,○,－,○,○
八条中学校,豊平8条13丁目2-1,○,○,○,○
旭小学校,水車町3丁目1-22,×,○,○,○
中の島小学校,中の島2条1丁目1-22,○,○,○,○
中の島中学校,中の島2条3丁目9-1,○,○,○,○
平岸西小学校,平岸1条15丁目2-1,○,○,○,○
平岸中学校,平岸1条21丁目3-1,○,○,○,○
平岸小学校,平岸2条14丁目1-28,○,○,○,○
東山小学校,平岸4条11丁目6-1,○,○,○,○
美園小学校,平岸5条7丁目2-21,○,○,○,○
平岸高台小学校,平岸5条18丁目1-1,○,○,○,○
陵陽中学校,平岸6条11丁目1-25,○,○,○,○
