番号,施設名称,所有者,管理主体,施設概要,管理内容,実施期間
A1,さっぽろ地下街オーロラタウン,（株）札幌都市開発公社,（株）札幌都市開発公社,公共地下歩道、広場,清掃、照明・空調等の設備の管理,2014～
A2,さっぽろ地下街ポールタウン,（株）札幌都市開発公社,（株）札幌都市開発公社,公共地下歩道、広場,清掃、照明・空調等の設備の管理,2014～
A3,アピア,札幌駅総合開発（株）,札幌駅総合開発（株）,ウエストアベニュー（B1F）イーストアベニュー(B1F)各ウォーク・各広場・フローラルガレリア（アピア・B1F）,清掃、照明・空調等の設備の管理,2014～
A4,パセオ,札幌駅総合開発（株）,札幌駅総合開発（株）,ウエストアベニュー（B1F）イーストアベニュー(B1F)各ウォーク・各広場・フローラルガレリア（アピア・B2F）,清掃、照明・空調等の設備の管理,2014～
A5,札幌ステラプレイス,札幌駅総合開発（株）,札幌駅総合開発（株）,ウエストアベニュー（B1F）イーストアベニュー(B1F)各ウォーク・各広場・フローラルガレリア（アピア・B3F）,清掃、照明・空調等の設備の管理,2014～
A6,エスタ,札幌駅総合開発（株）,札幌駅総合開発（株）,2階広場,清掃、照明・空調等の設備の管理,2014～
A7,札幌駅前通地下歩行空間,北海道開発局札幌市,北海道開発局札幌市札幌駅前通まちづくり（株）,歩行者専用道、広場,清掃、照明・空調等の設備の管理,2014～
A8,北一条地下駐車場連絡通路,北海道開発局,北海道開発局,地下連絡通路,清掃、照明・空調等の設備の管理,2014～
A9,札幌駅北口地下歩道,札幌市,札幌市,歩行者専用道,清掃、照明・空調等の設備の管理,2014～
A10,地下鉄大通駅コンコース,札幌市,札幌市,コンコース（改札以外）,清掃、照明・空調等の設備の管理,2014～
A11,地下鉄さっぽろ駅コンコース,札幌市,札幌市,コンコース（改札以外）,清掃、照明・空調等の設備の管理,2014～
A12,市民ホール,札幌市教育委員会,大和リース（株）,大ホール、第1～6会議室、ホワイエ、楽屋,清掃、照明・空調等の設備の管理,2014～
A13,札幌エルプラザ公共4施設,札幌市,札幌エルプラザ管理組合,ホール、大・中研修室情報センター,清掃、照明・空調等の設備の管理,2014～
