最寄の交通機関,最寄の駅又はバス停,駐輪場名,住所,原動機付自転車の駐車可否
地下鉄南北線,麻生駅,麻生6丁目駐輪場,北海道札幌市北区麻生町6丁目,不可
地下鉄南北線,麻生駅,麻生4丁目路上駐輪場,北海道札幌市北区麻生町4丁目,50cc以下は可
地下鉄南北線,麻生駅,北39条西3丁目路上駐輪場,北海道札幌市北区麻生町5丁目,50cc以下は可
地下鉄南北線,麻生駅,北40条西5丁目駐輪場,北海道札幌市北区北40条西5丁目,50cc以下は可
地下鉄南北線,麻生駅,北39条西4丁目路上駐輪場,北海道札幌市北区北39条西4丁目,50cc以下は可
地下鉄南北線,麻生駅,麻生駅交通局駐輪場,北海道札幌市北区麻生町5丁目,50cc以下は可
地下鉄南北線,麻生駅,麻生バスターミナル駐輪場,北海道札幌市北区北39条西4丁目,50cc以下は可
地下鉄南北線,北34条駅,北34条駅駐輪場,北海道札幌市北区北33条西4丁目,50cc以下は可
地下鉄南北線,北34条駅,北34条駅交通局駐輪場,北海道札幌市北区北32条西3丁目,50cc以下は可
地下鉄南北線,北34条駅,北34条駅第2駐輪場,北海道札幌市北区北33条西4丁目,50cc以下は可
地下鉄南北線,北34条駅,北34条駅札樽道下駐輪場,北海道札幌市北区北34条西4丁目,50cc以下は可
地下鉄南北線,北24条駅,北24条駅駐輪場,北海道札幌市北区北23条西4丁目,50cc以下は可
地下鉄南北線,北24条駅,北24条駅幌北団地駐輪場,北海道札幌市北区北24条西3丁目,125cc以下は可
地下鉄南北線,北18条駅,北18条駅交通局駐輪場,北海道札幌市北区北17条西4丁目,50cc以下は可
地下鉄南北線,北18条駅,北18条駅路上駐輪場,北海道札幌市北区北18条西3丁目,50cc以下は可
地下鉄南北線,北12条駅,北12条駅駐輪場,北海道札幌市北区北12条西4丁目,50cc以下は可
地下鉄南北線,大通駅,大通西1丁目駐輪場,北海道札幌市中央区大通西1丁目,不可
地下鉄南北線,大通駅,大通西5丁目駐輪場,北海道札幌市中央区大通西5丁目,不可
地下鉄南北線,大通駅,大通西6丁目駐輪場,北海道札幌市中央区大通西6丁目,不可
地下鉄南北線,大通駅,大通西2路上駐輪場,北海道札幌市中央区南1条西2丁目,50cc以下は可
地下鉄南北線,大通駅,南1西1第1路上駐輪場,北海道札幌市中央区南1条西1丁目,50cc以下は可
地下鉄南北線,大通駅,南1西1第2路上駐輪場,北海道札幌市中央区南1条西1丁目,50cc以下は可
