No,業種区分,施設名称,施設所在地,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,確認番号,確認年月日,前月新確認施設(確認年月日)
1,取次所,ホワイト急便　宮の森１条１０丁目店,北海道札幌市中央区宮の森１条１０丁目６－２１,札幌市中央区宮の森１条１０丁目６－２１,,011-631-7225,有限会社まるや山本商店,代表取締役,山本醇,札保中確認（ク）第13号,2000-12-19,
2,取次所,アット宮の森店,北海道札幌市中央区宮の森２条５丁目,札幌市中央区宮の森２条５丁目,宮の森ハイム　１Ｆ,011-640-4555,株式会社エースランドリー,代表取締役,菊地紀雄,札保中確認（ク）第6号,2000-05-25,
3,取次所,スパー宮の森ショッピング店　クリーニングピュア,北海道札幌市中央区宮の森３条１１丁目１－１,札幌市中央区宮の森３条１１丁目１－１,,011-643-4783,株式会社森嶋商店,代表取締役,森嶋春己,札保中確認（ク）第5号,2001-08-23,
4,取次所,クリーンライン大室昭和ビル店,北海道札幌市中央区大通西５丁目,札幌市中央区大通西５丁目,昭和ビル　Ｂ１,011-222-3885,株式会社大室洗染所,代表取締役,大室昭洋,札中保衛確認（ク）第17号,1994-03-14,
5,クリーニング工場,クリーンライン大室,北海道札幌市中央区大通西６丁目,札幌市中央区大通西６丁目,クリーンビル,011-281-6886,株式会社大室洗染所,代表取締役,大室昭洋,札中保衛確認（ク）第31号,1986-12-23,
6,取次所,プライムメゾン大通公園,北海道札幌市中央区大通西６丁目５番２,札幌市中央区大通西６丁目５番２,プライムメゾン大通公園　１Ｆ,,株式会社エクシング,代表取締役,三國成能,札保環確認（ク）第42号,2013-01-10,
7,取次所,ザ・ライオンズ大通公園タワー,北海道札幌市中央区大通西１０丁目４－７,札幌市中央区大通西１０丁目４－７,ザ･ライオンズ大通公園タワー１Ｆ,011-221-7800,株式会社アスク,代表取締役,泉澤豊,札保環確認（ク）第25号,2012-03-13,
8,取次所,セイコーマート第３合同庁舎,北海道札幌市中央区大通西１２丁目,札幌市中央区大通西１２丁目,札幌第三合同庁舎　地下一階,011-261-3070,株式会社セイコーマート,代表取締役,丸谷智保,札保環確認（ク）第12号,2004-06-25,
9,取次所,ゼロプラスクリーニング　大通店,北海道札幌市中央区大通西１５丁目１－１３,札幌市中央区大通西１５丁目１－１３,ニューライフ大通公園１Ｆ,011-622-4711,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第30号,2008-11-20,
10,取次所,クリーンパートナーチャオ西１７丁目店,北海道札幌市中央区大通西１７丁目１－２,札幌市中央区大通西１７丁目１－２,,011-616-2292,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第51号,2008-01-10,
11,取次所,清洗舎大通店,北海道札幌市中央区大通西１８丁目,札幌市中央区大通西１８丁目,,011-641-9850,株式会社清洗舎,,,札中保衛確認（ク）第15号,1994-09-16,
12,取次所,クリーンライン大室　大通西１８丁目店,北海道札幌市中央区大通西１８丁目２－１４,札幌市中央区大通西１８丁目２－１４,ウィークリーホテルさんでん１階,011-613-7550,佐藤智恵子,,,札保環確認（ク）第44号,2006-11-10,
13,取次所,エンパイアー　円山店,北海道札幌市中央区大通西２４丁目１－１,札幌市中央区大通西２４丁目１－１,,011-611-9337,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第55号,2002-09-25,
14,取次所,ゼロプラスクリーニング　円山公園店,北海道札幌市中央区大通西２４丁目１－１２,札幌市中央区大通西２４丁目１－１２,ライオンズマンション円山公園第３　１Ｆ,011-622-4702,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第31号,2008-11-20,
15,取次所,シティタワー札幌大通,北海道札幌市中央区大通東２丁目６番,札幌市中央区大通東２丁目６番,,011-219-0706,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第29号,2007-09-11,
16,取次所,浜田商店,北海道札幌市中央区大通東５丁目,札幌市中央区大通東５丁目,,011-251-0569,浜田鉄哉,,,札中保衛確認（ク）第22号,1990-12-17,
17,取次所,東急ステイ札幌,北海道札幌市中央区南１条西１丁目１３－４,札幌市中央区南１条西１丁目１３－４,,011-222-0109,東急ステイサービス株式会社,代表取締役,小先文三,札保環確認（ク）第1号,2018-04-04,
18,取次所,丸井今井札幌本店　呉服売場,北海道札幌市中央区南１条西２丁目,札幌市中央区南１条西２丁目,丸井今井札幌本店　１条館８Ｆ,011-205-1151,株式会社札幌丸井三越,代表取締役,栗原憲二,札保環確認（ク）第14号,2018-09-04,
19,取次所,札幌白洋舎株式会社　株式会社札幌丸井店,北海道札幌市中央区南１条西２丁目,札幌市中央区南１条西２丁目,丸井今井本店一条館９Ｆ,011-205-1138,札幌白洋舎株式会社,代表取締役,黒澤浩信,札保環確認（ク）第51号,2006-12-05,
20,取次所,札幌白洋舎株式会社　三越サービス店,北海道札幌市中央区南１条西３丁目,札幌市中央区南１条西３丁目,三越ＤＰ　Ｂ２,011-222-2970,札幌白洋舎株式会社,代表取締役,黒澤浩信,札中保衛確認（ク）第14号,1980-09-02,
21,取次所,札幌三越　呉服売場,北海道札幌市中央区南１条西３丁目８,札幌市中央区南１条西３丁目８,札幌三越　本館１０Ｆ,011-271-3311,株式会社札幌丸井三越,代表取締役,栗原憲二,札保環確認（ク）第19号,2018-10-03,2018-10-03
22,取次所,札幌三越　紳士オーダーサロン,北海道札幌市中央区南１条西３丁目８,札幌市中央区南１条西３丁目８,札幌三越本館　７Ｆ,011-271-3311,株式会社札幌丸井三越,代表取締役,栗原憲二,札保環確認（ク）第26号,2015-02-02,
23,取次所,ファインシティ札幌ザ・タワー大通公園,北海道札幌市中央区南１条西７丁目６－６,札幌市中央区南１条西７丁目６－６,,011-251-0883,株式会社アスク,代表取締役,泉澤豊,札保環確認（ク）第23号,2017-03-10,
24,取次所,ＮＴＴ札幌病院売店,北海道札幌市中央区南１条西１５丁目,札幌市中央区南１条西１５丁目,,011-633-3200,テルウェル北海道株式会社,代表取締役,黒瀬祥夫,札保環確認（ク）第46号,2003-12-24,
25,取次所,白洗舎クリーニング南１条店,北海道札幌市中央区南１条西１６丁目,札幌市中央区南１条西１６丁目,,011-621-7535,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札中保衛確認（ク）第20号,1994-03-17,
26,取次所,クリーンパートナーチャオ　裏参道店,北海道札幌市中央区南１条西２１丁目２‐１,札幌市中央区南１条西２１丁目２‐１,,011-622-3996,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第57号,2008-03-04,
27,クリーニング工場,ベストドライ,北海道札幌市中央区南１条西２２丁目２－９,札幌市中央区南１条西２２丁目２－９,,011-621-3865,沢口晃二,,,札保環確認（ク）第25号,2012-07-31,
28,取次所,クリーニングピュア　裏参道店,北海道札幌市中央区南１条西２４丁目１－１０,札幌市中央区南１条西２４丁目１－１０,ザ・ヴィンテージ２４西館　１Ｆ,011-643-1136,株式会社光生舎,代表取締役,髙江智和理,札保環確認（ク）第38号,2013-12-11,
29,取次所,エンパイアー　マルヤマクラス店,北海道札幌市中央区南１条西２７丁目１８３－１,札幌市中央区南１条西２７丁目１８３－１,マルヤマクラス　Ｂ１Ｆ,011-622-8729,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第45号,2009-03-12,
30,取次所,クリーンスター　バスセンター店,北海道札幌市中央区南１条東２丁目８－１,札幌市中央区南１条東２丁目８－１,,011-207-4874,株式会社クリーンスター,代表取締役,小島隆義,札保環確認（ク）第5号,2014-06-19,
31,クリーニング工場,元木クリーニング商会,北海道札幌市中央区南１条東５丁目１,札幌市中央区南１条東５丁目１,,011-231-6657,元木公昭,,,札中保衛確認（ク）第21号,1994-12-19,
32,取次所,クルーザーバレータワーＳ２,北海道札幌市中央区南２条西８丁目１１－１,札幌市中央区南２条西８丁目１１－１,,011-300-6073,エムエムエスマンションマネージメントサービス株式会社,代表取締役,堂守貴志,札保環確認（ク）第4号,2015-05-20,
33,クリーニング工場,花岡クリーニング店,北海道札幌市中央区南２条西１０丁目,札幌市中央区南２条西１０丁目,,011-221-1801,花岡靖明,,,札中保衛確認（ク）第10号,1997-01-09,
34,取次所,クリーニングピュア　南２条店,北海道札幌市中央区南２条西１３丁目３１８－３３,札幌市中央区南２条西１３丁目３１８－３３,Ｔａｓｋビル　１Ｆ,011-211-6444,株式会社光生舎,代表取締役,髙江智和理,札保環確認（ク）第53号,2013-03-26,
35,取次所,株式会社　エンパイアー裏参道店,北海道札幌市中央区南２条西２５丁目１－２２,札幌市中央区南２条西２５丁目１－２２,,011-641-8751,株式会社エンパイアー,代表取締役,山下譲,札保中確認（ク）第8号,1999-03-04,
36,取次所,ホワイト急便サッポロ　南２条東３丁目店,北海道札幌市中央区南２条東３丁目１－１,札幌市中央区南２条東３丁目１－１,,011-221-7722,森幸三,,,札保中確認（ク）第4号,1997-07-18,
37,取次所,クリーンパートナー　チャオ　バスセンター前店,北海道札幌市中央区南２条東４丁目６－３,札幌市中央区南２条東４丁目６－３,アサヒビル１Ｆ,011-221-3996,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第52号,2013-03-15,
38,取次所,花いち都屋　総本店,北海道札幌市中央区南３条西１丁目３－１,札幌市中央区南３条西１丁目３－１,プレミアタワー３Ｆ,011-231-0535,株式会社都屋,代表取締役,那須健次,札保環確認（ク）第11号,2016-09-27,
39,クリーニング工場,ニコークリーニング,北海道札幌市中央区南３条西２丁目１４番地,札幌市中央区南３条西２丁目１４番地,ニコービルＢ３Ｆ,011-261-0137,株式会社ニコー,取締役,晴山徳貴,札保環確認（ク）第11号,2007-05-11,
40,取次所,クリーンパートナーチャオ　南３条店,北海道札幌市中央区南３条西８丁目１－１２,札幌市中央区南３条西８丁目１－１２,ローズガーデン南３条,011-272-2239,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第10号,2014-07-23,
41,取次所,㈲伊藤クリーニング商会　南３条店,北海道札幌市中央区南３条西１０丁目１００２番地,札幌市中央区南３条西１０丁目１００２番地,杉山ビル１Ｆ,,有限会社伊藤クリーニング商会,代表取締役,伊藤仁人,札保環確認（ク）第76号,2007-03-30,
42,取次所,岡商店,北海道札幌市中央区南３条西１３丁目,札幌市中央区南３条西１３丁目,,011-251-2728,岡庄市,,,札中保衛確認（ク）第17号,1990-09-19,
43,取次所,ラフィネタワー札幌南３条,北海道札幌市中央区南３条東３丁目７番地,札幌市中央区南３条東３丁目７番地,,011-218-5351,太平ビルサービス株式会社,代表取締役,狩野伸彌,札保環確認（ク）第5号,2009-04-30,
44,取次所,エンパイアーススキノ店,北海道札幌市中央区南４条西４丁目,札幌市中央区南４条西４丁目,,011-511-4774,株式会社エンパイアー,代表取締役,山下譲,札中保衛確認（ク）第21号,1974-06-13,
45,取次所,サンシャイン・シティー２１,北海道札幌市中央区南４条西１０丁目１０１０番地３,札幌市中央区南４条西１０丁目１０１０番地３,,011-530-3330,キタコー株式会社,代表取締役,草野馨,札保環確認（ク）第38号,2012-11-02,
46,取次所,クリーンパートナーチャオ　南４条店,北海道札幌市中央区南４条西１３丁目１－１０,札幌市中央区南４条西１３丁目１－１０,,011-551-7404,丸賞木下洗業株式会社,代表取締役,菅原信明,札保中確認（ク）第4号,2001-08-22,
47,取次所,ぴよちゃんクリーニング加藤店,北海道札幌市中央区南４条西２０丁目,札幌市中央区南４条西２０丁目,,011-561-6865,加藤よしみ,,,札中保衛確認（ク）第12号,1990-07-26,
48,クリーニング工場,洗巧舎ドライクリーニング,北海道札幌市中央区南４条西２２丁目,札幌市中央区南４条西２２丁目,,011-563-5101,大泉正雄,,,札中保衛確認（ク）第18号,1978-08-03,
49,クリーニング工場,株式会社エンパイアーなぎさ本舗京都屋　豊ビル工場,北海道札幌市中央区南４条東５丁目,札幌市中央区南４条東５丁目,豊ビル,011-251-2682,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第20号,2010-10-20,
50,取次所,コンフォートホテル札幌すすきの,北海道札幌市中央区南５条西１丁目２－１０,札幌市中央区南５条西１丁目２－１０,,011-513-4111,株式会社グリーンズ,代表取締役,村木雄哉,札保環確認（ク）第8号,2018-06-22,
51,クリーニング工場,有限会社　よしのクリーニング,北海道札幌市中央区南５条西９丁目１０１６番地２５,札幌市中央区南５条西９丁目１０１６番地２５,,011-531-4538,有限会社よしのクリーニング,代表取締役,佐藤晴樹,札保環確認（ク）第28号,2013-10-22,
52,クリーニング工場,山田クリーニング,北海道札幌市中央区南５条西１０丁目,札幌市中央区南５条西１０丁目,八光ビル,011-511-2760,山田敏行,,,札中保衛確認（ク）第9号,1985-11-26,
53,取次所,アルファコンフォート札幌,北海道札幌市中央区南５条西１３丁目,札幌市中央区南５条西１３丁目,,011-562-9500,エムエムエスマンションマネージメントサービス株式会社,代表取締役,堂守貴志,札保環確認（ク）第3号,2015-05-20,
54,取次所,クリンアイデアル　０番地店,北海道札幌市中央区南６条西４丁目１１番地１,札幌市中央区南６条西４丁目１１番地１,,011-533-0461,有限会社クリンアイデアル,代表取締役,高橋潤,札保環確認（ク）第8号,2005-06-28,
55,クリーニング工場,有限会社　和倉クリーニング商会,北海道札幌市中央区南６条西１２丁目,札幌市中央区南６条西１２丁目,,011-561-1406,有限会社和倉クリーニング商会,代表取締役,建部富尾,札中保衛確認（ク）第18号,1994-10-17,
56,取次所,ぴよちゃんクリーニング　どんぐりや店,北海道札幌市中央区南６条西１２丁目７６０,札幌市中央区南６条西１２丁目７６０,,011-561-5529,松原勝利,,,札保環確認（ク）第52号,2006-12-11,
57,取次所,天使のぱんつ　南６条店,北海道札幌市中央区南６条西１４丁目２,札幌市中央区南６条西１４丁目２,,011-563-0240,株式会社今野クリーニング商会,代表取締役,今野博之,札保中確認（ク）第7号,1997-10-15,
58,取次所,白洗舎クリーニング南６条店,北海道札幌市中央区南６条西１４丁目２－２５,札幌市中央区南６条西１４丁目２－２５,,011-561-2051,株式会社丸セ瀬尾商店,代表取締役,瀬尾晶彌,札中保衛確認（ク）第5号,1996-08-01,
59,取次所,クリーニングアット　東光ストア西線６条店,北海道札幌市中央区南６条西１５丁目２－２０,札幌市中央区南６条西１５丁目２－２０,東光ストア駐車場内,011-211-0027,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第22号,2012-06-28,
60,取次所,クリーンパートナーチャオ西線６条店,北海道札幌市中央区南６条西１５丁目２－７,札幌市中央区南６条西１５丁目２－７,窪田ビル１Ｆ,011-562-2292,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第43号,2006-11-09,
61,取次所,大木商店,北海道札幌市中央区南６条西１７丁目1-12,札幌市中央区南６条西１７丁目1-12,,011-561-4305,株式会社丸ヨ大木商店,代表取締役,大木武,札保環確認（ク）第10号,2007-05-08,
62,取次所,クリーニング　プラス２,北海道札幌市中央区南６条西１７丁目１番１２号,札幌市中央区南６条西１７丁目１番１２号,,011-512-9640,片岡稔,,,札保環確認（ク）第7号,2004-06-03,
63,取次所,ベアークリーニング,北海道札幌市中央区南６条西１８丁目２－１７,札幌市中央区南６条西１８丁目２－１７,,,高橋義金,,,札保中確認（ク）第19号,2000-02-17,
64,クリーニング工場,ドライショップすずた,北海道札幌市中央区南６条西２３丁目５－７,札幌市中央区南６条西２３丁目５－７,,011-563-4380,鈴田修,,,札保環確認（ク）第40号,2002-08-26,
65,取次所,クリーンスター電車通店,北海道札幌市中央区南７条西６丁目７－６,札幌市中央区南７条西６丁目７－６,,011-511-4855,株式会社クリーンスター,代表取締役,小島隆義,札保環確認（ク）第3号,2011-05-27,
66,取次所,Tidy　Chap,北海道札幌市中央区南７条西９丁目1024-28,札幌市中央区南７条西９丁目1024-28,,011-511-2073,有限会社伊藤クリーニング商会,代表取締役,伊藤仁人,札保環確認（ク）第32号,2007-10-02,
67,クリーニング工場,有限会社　松田クリーニング,北海道札幌市中央区南７条西１１丁目１－１６,札幌市中央区南７条西１１丁目１－１６,,011-551-5690,有限会社松田クリーニング,代表取締役,松田和一,札中保衛確認（ク）第3号,1989-06-13,
68,クリーニング工場,コスモドライ,北海道札幌市中央区南７条西１３丁目４－１７,札幌市中央区南７条西１３丁目４－１７,,011-551-3139,宮崎武俊,,,札中保衛確認（ク）第44号,1970-12-24,
69,取次所,ドライソフターＳ＆Ｓ,北海道札幌市中央区南８条西２丁目,札幌市中央区南８条西２丁目,矢入茶園内,011-511-2384,矢入フサヲ,,,札中保衛確認（ク）第7号,1982-07-01,
70,取次所,クリーンパートナーチャオ　南８条店,北海道札幌市中央区南８条西２丁目１２,札幌市中央区南８条西２丁目１２,久米ビル　１Ｆ,011-512-2262,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第5号,2013-05-14,
71,取次所,コンビニエンスストアーおかだ,北海道札幌市中央区南８条西５丁目４２３,札幌市中央区南８条西５丁目４２３,,011-511-0433,有限会社ワコー・クリーニング,代表取締役,伊藤壽章,札中保衛確認（ク）第2号,1992-04-10,
72,取次所,アン・セリジェ壱番館,北海道札幌市中央区南８条西６丁目７番２４,札幌市中央区南８条西６丁目７番２４,アン・セリジェ壱番館,011-522-3337,北日本興業株式会社,代表取締役,前義視,札保中確認（ク）第17号,2001-02-28,
73,取次所,（石）石黒ドライクリーニング商会,北海道札幌市中央区南８条西７丁目,札幌市中央区南８条西７丁目,,,石黒政雄,,,札中保衛確認（ク）第14号,1981-09-01,
74,クリーニング工場,林洗布所,北海道札幌市中央区南８条西９丁目759-29,札幌市中央区南８条西９丁目759-29,,011-511-5061,林幹久,,,札中保衛確認（ク）第23号,1977-11-04,
75,クリーニング工場,（有）ワコークリーニング,北海道札幌市中央区南８条西１３丁目３－１４,札幌市中央区南８条西１３丁目３－１４,,011-561-5925,伊藤寿一,,,札保環確認（ク）第36号,2012-10-24,
76,クリーニング工場,マキヤドライ,北海道札幌市中央区南８条西１４丁目,札幌市中央区南８条西１４丁目,,011-563-5488,足立勇二郎,,,札中保衛確認（ク）第10号,1980-06-25,
