No,業種区分,施設名称,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,許可番号,許可年月日,前月新許可施設(許可年月日)
1,簡易宿所,miyanomori,北海道札幌市中央区宮の森１条１５丁目４－１,,011-766-6969,株式会社Ｍａｔｔｃｏｍｐａｎｙ,代表取締役,谷口哲也,札保環許可（旅）第13号,2018-07-09,
2,旅館・ホテル,ホテルリソルトリニティ札幌,北海道札幌市中央区大通西５丁目３,,011-242-7700,リソルホテル株式会社,代表取締役,今泉芳親,札保環許可（旅）第24号,2008-03-27,
3,簡易宿所,ＧＬＯＷＬ　大通西６,北海道札幌市中央区大通西６丁目５－１,（旧）中山ビル,,株式会社アウル,代表取締役,谷隆志,札保環許可（旅）第9号,2017-05-31,
4,旅館・ホテル,札幌ビューホテル大通公園,北海道札幌市中央区大通西８丁目１番,,,日本ビューホテル株式会社,代表取締役,遠藤由明,札保環許可（旅）第4号,2017-05-02,
5,旅館・ホテル,ベストウェスタン札幌大通公園,北海道札幌市中央区大通西８丁目２番,,011-208-1311,株式会社フィーノホテルズ,代表取締役,高倉茂,札保環許可（旅）第31号,2018-01-31,
6,簡易宿所,ゲストハウス道中　ＧＵＥＳＴ　ＨＯＵＳＥ　ＯＮ　ＭＹ　ＷＡＹ,北海道札幌市中央区大通西１４丁目３－４５,,,道中プランニング株式会社,代表取締役,巌俊,札保環許可（旅）第26号,2017-02-01,
7,旅館・ホテル,あさ野ホテルビジネス＆ウィークリー　,北海道札幌市中央区大通西１５丁目３番地１９,,011-621-7621,参宮有限会社,代表取締役,今野博文,札中保衛許可（旅）第3号,1992-04-30,
8,旅館・ホテル,ウィークリーホテル　さんでん,北海道札幌市中央区大通西１８丁目２番地１４,,011-613-7550,アイピー北海道エステム株式会社,代表取締役,佐藤博征,札保環許可（旅）第7号,2009-07-09,
9,簡易宿所,Ｗｉｎｓｔｏｎ　ＳＡＰＰＯＲＯ,北海道札幌市中央区大通東９丁目１－３６,２Ｆ,011-312-5882,株式会社アフタースクール,代表取締役,工藤舞人,札保環許可（旅）第20号,2018-09-07,
10,簡易宿所,ホステル大通イースト,北海道札幌市中央区大通東１１丁目２２－３２,,,合同会社リバティア,代表社員,松本拓也,札保環許可（旅）第18号,2018-07-27,
11,旅館・ホテル,東急ステイ札幌,北海道札幌市中央区南１条西１丁目１３－４,,011-222-0109,東急ステイサービス株式会社,代表取締役,小先文三,札保環許可（旅）第1号,2018-04-03,
12,旅館・ホテル,ホテルオークラ札幌,北海道札幌市中央区南１条西５丁目,,011-221-2333,株式会社ホテルオークラ札幌,代表取締役,宮崎誠,札保環許可（旅）第5号,2003-06-13,
13,旅館・ホテル,中殿ホテル,北海道札幌市中央区南１条西７丁目１４番地,,011-231-4717,有限会社中殿旅館,代表取締役,中ノ殿恭子,札中保衛許可（旅）第4号,1985-03-16,
14,旅館・ホテル,札幌クラッセホテル,北海道札幌市中央区南１条西７丁目１番地２,,011-281-3800,株式会社アンビックス,代表取締役,前川二郎,札保環許可（旅）第3号,2001-04-24,
15,簡易宿所,オオドオリバックパッカーズ,北海道札幌市中央区南１条西８丁目６－２,ＳＩＴＹビル　２Ｆ,,ＳＩＴＹビル株式会社,代表取締役,小川義明,札保環許可（旅）第13号,2017-06-27,
16,旅館・ホテル,アパホテル　＜札幌大通公園＞,北海道札幌市中央区南１条西９丁目,,011-261-8111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第11号,2001-07-31,
17,旅館・ホテル,ホテル　ハミルトン　札幌,北海道札幌市中央区南１条西１５丁目１番地２３８,,011-632-0080,株式会社アセント,代表取締役,小林保廣,札保環許可（旅）第9号,2009-02-17,
18,旅館・ホテル,博友会館,北海道札幌市中央区南１条東５丁目１番２４,,011-522-9710,株式会社博友会,代表取締役,藤崎博己,札保環許可（旅）第23号,2011-01-27,
19,旅館・ホテル,ホテルＷＢＦ札幌中央,北海道札幌市中央区南２条西１丁目２番地,,011-290-3000,ＷＢＦリゾート株式会社,代表取締役,近藤康生,札保環許可（旅）第2号,2014-07-09,
20,旅館・ホテル,リッチモンドホテル札幌大通,北海道札幌市中央区南２条西４丁目４－１,,011-208-0055,アールエヌティーホテルズ株式会社,代表取締役,福村正道,札保環許可（旅）第5号,2001-05-25,
21,旅館・ホテル,ネストホテル札幌大通,北海道札幌市中央区南２条西５丁目２６－１,,011-242-1122,ネストホテルジャパン株式会社,代表取締役,河内中,札保環許可（旅）第12号,2013-12-04,
22,旅館・ホテル,ラ・ジェント・ステイ札幌大通,北海道札幌市中央区南２条西５丁目２６－５,,011-200-5507,ＡＢアコモ株式会社,代表取締役,阿部裕二,札保環許可（旅）第9号,2016-07-11,
23,旅館・ホテル,ホテルサンルートニュー札幌,北海道札幌市中央区南２条西６丁目１番地１,,011-251-2511,株式会社相鉄ホテルマネジメント,代表取締役,吉田修,札保環許可（旅）第14号,2000-11-30,
24,旅館・ホテル,ドーミーインＰＲＥＭＩＵＭ札幌,北海道札幌市中央区南２条西６丁目４－１,,011-232-0011,株式会社共立メンテナンス,代表取締役,佐藤充孝,札保環許可（旅）第14号,2002-01-22,
