都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,0000000001,東京都,町田市,ローソン町田成瀬街道店,,,西成瀬6-6-14,,,35.538163,139.48026,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000002,東京都,町田市,株式会社村山工業所,,,西成瀬1-49-23,,,35.54331389,139.4641479,,,,,,,,,,,,無,,無,08:00,19:00,日曜日定休日,,,
132098,0000000003,東京都,町田市,能ヶ谷神社,,,能ヶ谷6-20-1,,,35.588371,139.482714,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000004,東京都,町田市,セブン-イレブン原町田３丁目店,,,原町田3-3-28,,,35.5412889,139.4500607,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000005,東京都,町田市,簗田寺,,,忠生2-5-33,,,35.57784171,139.4259282,,,,,,,,,,,,無,,無,09:00,17:00,,,,
132098,0000000006,東京都,町田市,ファミリーマート秀栄町田小川店,,,小川5-10-20,,,35.523032,139.469483,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000007,東京都,町田市,カインズホーム町田多摩境店,,,小山ヶ丘3-6-6,,,35.601385,139.374897,,,,,,,,,,,,有,,無,09:00,20:30,1月1日定休日,,,
132098,0000000008,東京都,町田市,トイザらス・ベビーザらス町田多摩境店,,,小山ヶ丘1-7-2,,,35.598585,139.381619,,,,,,,,,,,,有,,無,10:00,20:00,,,,
132098,0000000009,東京都,町田市,ローソン町田根岸町店,,,根岸町1009-8,,,35.579207,139.407004,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000010,東京都,町田市,ローソン町田図師町店,,,図師町612-1,,,35.581201,139.417207,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000011,東京都,町田市,ローソン小山田桜台店,,,下小山田町3352-5,,,35.58942513,139.4075309,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000012,東京都,町田市,ローソン町田木曽東三丁目店,,,木曽東3-33-1,,,35.563818,139.425953,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000013,東京都,町田市,セブンｰイレブン町田野津田町店,,,野津田町37-1,,,35.585145,139.433426,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000014,東京都,町田市,セブンｰイレブン町田相原駅南店,,,相原町1226-5,,,35.60518149,139.3321823,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000015,東京都,町田市,ファミリーマート秀栄相原町店,,,相原町3621-1,,,35.609801,139.298898,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000016,東京都,町田市,ローソン町田法政大学前店,,,相原町4303-3,,,35.610937,139.295936,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000017,東京都,町田市,ファミリーマートトゥモロー小山町店,,,小山町4405-1,,,35.603174,139.347174,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000018,東京都,町田市,ファミリーマート町田多摩境店,,,小山ヶ丘5-1-4,,,35.602798,139.364987,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000019,東京都,町田市,祐照庵(大戸観音堂）,,,相原町4643,,,35.61349811,139.2889279,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000020,東京都,町田市,セブン-イレブン法政大学多摩キャンパス店,,,相原町4342-13,,,35.61387031,139.2965142,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000021,東京都,町田市,セブン-イレブン町田相原店,,,相原町2177-1,,,35.60611695,139.3171764,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000022,東京都,町田市,ローソン＋スリーエフ町田相原駅前店,,,相原町1158-4,,,35.60651811,139.33193,,,,,,,,,,,,無,,無,00:00,23:59,,,,
132098,0000000023,東京都,町田市,セブン-イレブン町田小山ヶ丘４丁目店,,,小山ヶ丘4-9-2,,,35.60689959,139.3523935,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000024,東京都,町田市,セブン-イレブン町田堺店,,,小山町828-1,,,35.59224731,139.3810358,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000025,東京都,町田市,セブン-イレブン町田常盤店,,,常盤町3163-4,,,35.5864954,139.3933311,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000026,東京都,町田市,セブン-イレブン町田忠生公園入口店,,,木曽西3-25-5,,,35.5722343,139.4199914,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000027,東京都,町田市,とんかつ　とん久,,,木曽東4-27-19,,,35.56731486,139.4257312,,,,,,,,,,,,無,,無,11:00,21:00,14:00～16:30利用不可。火曜日定休日,,,
132098,0000000028,東京都,町田市,セブン-イレブン町田市木曽町店,,,木曽東4-2-2,,,35.56235242,139.4282997,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000029,東京都,町田市,セブン-イレブン本町田店,,,本町田3239,,,35.57299175,139.443339,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000030,東京都,町田市,セブン-イレブン町田山崎新道店,,,山崎町1936-1,,,35.57101469,139.4286709,,,,,,,,,,,,有,,無,00:00,23:59,,,,
132098,0000000031,東京都,町田市,セブン-イレブン町田山崎町西店,,,山崎町130-1,,,35.57672775,139.4277876,,,,,,,,,,,,有,,無,00:00,23:59,,,,
