»ÜÀßÌ¾,½êºßÃÏ,»ØÄê¶ÛµÞÈòÆñ¾ì½ê¤Î»ØÄê¤ÎÍ­Ìµ(¹¿¿åºÒ³²),»ØÄê¶ÛµÞÈòÆñ¾ì½ê¤Î»ØÄê¤ÎÍ­Ìµ(ÅÚº½ºÒ³²),»ØÄê¶ÛµÞÈòÆñ¾ì½ê¤Î»ØÄê¤ÎÍ­Ìµ(ÃÏ¿ÌºÒ³²),»ØÄê¶ÛµÞÈòÆñ¾ì½ê¤Î»ØÄê¤ÎÍ­Ìµ(Âçµ¬ÌÏ¤Ê²Ð»ö)
·¬±à¾®³Ø¹»,ËÌ8¾òÀ¾17ÃúÌÜ,¡Ý,¡Ý,¡û,¡û
Æü¿·¾®³Ø¹»,ËÌ8¾òÀ¾25ÃúÌÜ2-1,¡Ý,¡Ý,¡û,¡û
Ãæ±ûÃæ³Ø¹»,ËÌ4¾òÅì3ÃúÌÜ,¡û,¡Ý,¡û,¡û
Ãæ±ûÂÎ°é´Û,ÂçÄÌÅì5ÃúÌÜ12-13,¡û,¡Ý,¡ß,¡ß
Ãæ±û¾®³Ø¹»,ÂçÄÌÅì6ÃúÌÜ12,¡û,¡Ý,¡û,¡û
Æó¾ò¾®³Ø¹»,Æî2¾òÀ¾15ÃúÌÜ,¡Ý,¡Ý,¡û,¡û
»ñÀ¸´Û¾®³Ø¹»,Æî3¾òÀ¾7ÃúÌÜ1-1,¡û,¡Ý,¡û,¡û
·¼ÌÀÃæ³Ø¹»,Æî9¾òÀ¾22ÃúÌÜ2-1,¡Ý,¡û,¡û,¡û
ËÚÀ¾¾®³Ø¹»,Æî10¾òÀ¾17ÃúÌÜ1-1,¡Ý,¡û,¡û,¡û
ÎÐµÖ¾®³Ø¹»,Æî10¾òÀ¾22ÃúÌÜ3-1,¡Ý,¡û,¡û,¡û
±ß»³¾®³Ø¹»,ËÌ1¾òÀ¾25ÃúÌÜ1-8,¡Ý,¡û,¡û,¡ß
¸þÎÍÃæ³Ø¹»,ËÌ4¾òÀ¾28ÃúÌÜ1-30,¡Ý,¡û,¡û,¡û
ÃæÅçÃæ³Ø¹»,Æî12¾òÀ¾7ÃúÌÜ2-1,¡û,¡Ý,¡û,¡ß
»³É¡¾®³Ø¹»,Æî14¾òÀ¾10ÃúÌÜ1-1,¡û,¡û,¡û,¡û
Éú¸«Ãæ³Ø¹»,Æî16¾òÀ¾17ÃúÌÜ1-35,¡Ý,¡û,¡û,¡û
Éú¸«¾®³Ø¹»,Æî18¾òÀ¾15ÃúÌÜ1-1,¡û,¡û,¡û,¡û
ËÚÆî¾®³Ø¹»,Æî21¾òÀ¾5ÃúÌÜ1-1,¡û,¡û,¡û,¡û
ÇðÃæ³Ø¹»,Æî21¾òÀ¾5ÃúÌÜ1-2,¡û,¡û,¡û,¡ß
»³É¡Ãæ³Ø¹»,Æî23¾òÀ¾13ÃúÌÜ1-1,¡û,¡û,¡û,¡û
»³É¡Æî¾®³Ø¹»,Æî29¾òÀ¾12ÃúÌÜ1-1,¡û,¡ß,¡û,¡û
È×·Ì¾®³Ø¹»,È×·Ì226ÈÖÃÏ,¡Ý,¡ß,¡û,¡û
µÜ¤Î¿¹Ãæ³Ø¹»,µÜ¤Î¿¹1¾ò16ÃúÌÜ5-1,¡Ý,¡û,¡û,¡û
ÂçÁÒ»³¾®³Ø¹»,µÜ¤Î¿¹3¾ò13ÃúÌÜ6-20,¡Ý,¡û,¡û,¡û
µÜ¤Î¿¹¾®³Ø¹»,µÜ¤Î¿¹4¾ò6ÃúÌÜ1-1,¡Ý,¡û,¡û,¡û
»°³Ñ»³¾®³Ø¹»,µÜ¤Î¿¹4¾ò11ÃúÌÜ4-1,¡Ý,¡û,¡û,¡û
