許可番号,営業の種類,営業者氏名,営業所所在地,営業所方書,営業所電話番号,営業所名称_カナ,営業所名称_1,営業所名称_2,許可年月日,許可満了日
第032-000089号,飲食店営業（その他）,__　恵子,指宿市山川小川３３３３,,,カラオケキッサ　エガオ,カラオケ喫茶　笑顔,,明治43年2月2日,令和7年10月31日
第032-000090号,食肉販売業,株式会社水迫牧場,指宿市東方２２５１−３,,0993-25-6076  ,ミズサコボクジョウ,株式会社水迫牧場,,明治43年2月3日,令和8年10月31日
第032-000091号,飲食店営業（その他）,株式会社intuition,指宿市十町４８８ロ,,0993-22-6268  ,クツロギドコロ　ナンツァナラン,くつろぎ処　なんつぁならん,,明治43年2月4日,令和8年10月31日
第032-000092号,飲食店営業（その他）,株式会社てぞの精肉店,指宿市大牟礼３−６−６,,0993-23-4129  ,テゾノセイニクテン,てぞの精肉店,,大正9年3月5日,令和8年10月31日
第032-000093号,乳類販売業,株式会社てぞの精肉店,指宿市大牟礼３−６−６,,0993-23-4129  ,テゾノセイニクテン,てぞの精肉店,,大正9年3月6日,令和8年10月31日
第032-000094号,食肉販売業,株式会社てぞの精肉店,指宿市大牟礼３−６−６,,0993-23-4129  ,テゾノセイニクテン,てぞの精肉店,,大正9年3月7日,令和8年10月31日
第032-000095号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,田原迫　睦美,指宿市山川成川６２９８,,,アソビバ　ウナギ,あそびば　うなぎ,,昭和5年5月5日,令和7年10月31日
第032-000189号,飲食店営業（その他）,俵積田　ナヨ,枕崎市鹿篭麓町２２,,0993-78-3961  ,カラオケ　キクヨシ,カラオケ　きくよし,,昭和5年5月6日,令和8年10月31日
第032-000190号,飲食店営業（その他）,株式会社後藤正義,南九州市知覧町郡１７８６３,,0993-83-2410  ,ガスコーヒー,ＧＡＳ　ＣＯＦＦＥＥ,,昭和5年5月7日,令和8年10月31日
第032-000191号,そうざい製造業,株式会社コワダヤ,南さつま市加世田内山田８０,,0993-53-2661  ,コワダヤ,株式会社コワダヤ,,平成2年10月5日,令和8年10月31日
第032-000193号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,有限会社　ヒル・フィールドカンパニー,南九州市川辺町平山６８４６,,0993-56-1522  ,アバウト,和洋居酒屋　アバウト,,平成2年10月6日,令和8年10月31日
第032-000194号,菓子製造業,尾場瀬　涼二,南さつま市坊津町久志４３４４−２,,0993-68-0221  ,カシュウテイオバセ,菓秀亭　おばせ,,平成2年10月7日,令和8年10月31日
第032-000195号,飲食店営業（その他）,大木　伸弘,南さつま市大浦町１９２３,,0993-62-3730  ,スーパーオーキ,スーパーオーキ,,令和2年9月23日,令和7年10月31日
第032-000196号,乳類販売業,大木　伸弘,南さつま市大浦町１９２３,,0993-62-3730  ,スーパーオーキ,スーパーオーキ,,令和2年9月23日,令和8年10月31日
第032-000197号,食肉販売業,大木　伸弘,南さつま市大浦町１９２３,,0993-62-3730  ,スーパーオーキ,スーパーオーキ,,令和2年9月23日,令和7年10月31日
第032-000198号,魚介類販売業,大木　伸弘,南さつま市大浦町１９２３,,0993-62-3730  ,スーパーオーキ,スーパーオーキ,,令和2年9月23日,令和7年10月31日
第032-000199号,乳類販売業,ワタミ株式会社,枕崎市立神本町３１２,,,ワタミカブシキカイシャ　カゴシマクラザキエイギョウショ,ワタミ株式会社　鹿児島枕崎営業所,,令和2年9月24日,令和8年10月31日
第032-000200号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社　枕崎お魚センター,枕崎市松之尾町３３−１,,0993-73-2311  ,ミナトショクドウ,枕崎お魚センター　麺処みなと食堂,,令和2年9月30日,令和8年10月31日
第032-000201号,飲食店営業（その他）,株式会社　枕崎お魚センター,枕崎市松之尾町３３−１,,0993-73-2311  ,マクチャサボウ,枕崎お魚センター　THE MAKU-CHA SABO,,令和2年9月30日,令和8年10月31日
第032-000202号,飲食店営業（その他）,株式会社　枕崎お魚センター,枕崎市松之尾町３３−１,,0993-73-2311  ,オサカナセンターセンギョブ,枕崎お魚センター　鮮魚部,,令和2年9月30日,令和8年10月31日
第032-000203号,魚肉練り製品製造業,株式会社　枕崎お魚センター,枕崎市松之尾町３３−１,,0993-73-2311  ,オサカナセンターセンギョブ,枕崎お魚センター　鮮魚部,,令和2年9月30日,令和8年10月31日
第032-000197号,飲食店営業（その他）,東峯　洋,日置市東市来町湯田５７００−３,,,ヒガシミネノウエン,東峯農園,,令和2年9月2日,令和8年10月31日
第032-000198号,食肉販売業,門松　純平,日置市伊集院町下谷口２０１４−１,,,シロクマヤ,白熊家,,令和2年9月7日,令和8年10月31日
第032-000199号,食肉販売業,有限会社コロン,いちき串木野市湊町１丁目１０１,,,フキアゲハマフィールドホテル,吹上浜フィールドホテル,,令和2年9月9日,令和8年10月31日
第032-000200号,飲食店営業（その他）,末永　錦,いちき串木野市湊町１−１０１,,,ファーサイド,Ｐｈａｒ　ｃｙｄｅ,,令和2年9月11日,令和8年10月31日
第032-000201号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社むかえの木,日置市伊集院町下谷口１９８６−６,,099-272-2630  ,オショクジドコロムカエ,お食事処むかえ,,令和2年9月11日,令和8年10月31日
第032-000202号,飲食店営業（その他）,井上　益紀,日置市伊集院町下谷口２１２９,,,プラスティ,ＰＬＵＳ　Ｔ（プラスティ）,,令和2年9月15日,令和8年10月31日
第032-000203号,乳類販売業,ワタミ株式会社,日置市伊集院町郡７５−１,,,ワタミカブシキカイシャカゴシマヒオキエイギョウショ,ワタミ株式会社鹿児島日置営業所,,令和2年9月24日,令和8年10月31日
第032-000285号,飲食店営業（その他）,東　和代,薩摩川内市東開聞町１２−１１,,,カラオケ　キ,カラオケ　き,,令和2年9月2日,令和7年10月31日
第032-000288号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社Ｏ’ｓ　ｃｏｍｐａｎｙ,薩摩川内市神田町２−３,,,センダイ　スパイス,Ｓｅｎｄａｉ　Ｓｐｉｃｅ,,令和2年9月9日,令和8年10月31日
第032-000290号,飲食店営業（仕出し屋・弁当屋）,徳田　みどり,薩摩川内市樋脇町市比野９９２,,,ミドリ,みどり,,令和2年9月15日,令和7年10月31日
第032-000291号,そうざい製造業,徳田　みどり,薩摩川内市樋脇町市比野９９２,,,ミドリ,みどり,,令和2年9月15日,令和7年10月31日
第032-000292号,飲食店営業（仕出し屋・弁当屋）,宮原　郁,薩摩川内市入来町浦之名１１６−１,,0996-44-4150  ,ブケサボウ　モンジョ,武家茶房　Ｍｏｎｊｏ,,令和2年9月17日,令和7年10月31日
第032-000293号,菓子製造業,宮原　郁,薩摩川内市入来町浦之名１１６−１,,0996-44-4150  ,ブケサボウ　モンジョ,武家茶房　Ｍｏｎｊｏ,,令和2年9月17日,令和7年10月31日
第032-000294号,そうざい製造業,宮原　郁,薩摩川内市入来町浦之名１１６−１,,0996-44-4150  ,ブケサボウ　モンジョ,武家茶房　Ｍｏｎｊｏ,,令和2年9月17日,令和7年10月31日
