都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,説明,電話番号
402052,福岡県,飯塚市,旧伊藤伝右衛門邸,キュウイトウデンエモンテイ,飯塚市幸袋300,33.66185,130.68661,筑豊の炭鉱王と呼ばれた伊藤伝右衛門と歌人柳原白蓮が過ごした邸宅。,0948-22-9700
402052,福岡県,飯塚市,嘉穂劇場,カホゲキジョウ,飯塚市飯塚5-23,33.63662,130.68716,江戸情緒あふれる歌舞伎様式の芝居小屋。,0948-22-0266
402052,福岡県,飯塚市,飯塚市歴史資料館,イイヅカシレキシシリョウカン,飯塚市柏の森959-1,33.64305,130.69702,国の重要文化財に指定されている立岩遺跡の出土品をはじめ縄文、弥生、古墳時代の出土品や中国西安市から寄贈された秦始皇帝兵馬俑などが展示されている。,0948-25-2930
402052,福岡県,飯塚市,旧松喜醤油屋,キュウマツキショウユヤ,飯塚市勢田730-1,33.68692,130.72426,"旧松喜醤油屋は幕末から明治初期に建てられた家屋。
飯塚市指定文化財。醸造蔵などは既に無く、「舟底天井」や「月見台」「箱階段」などに豊かな商家の面影が見られる。「大黒柱」に筑前竹槍一揆のきずあとがある。 ",0948-25-2930
402052,福岡県,飯塚市,日本の独楽資料館,ニッポンノコマシリョウカン,飯塚市立岩1122-1,33.64712,130.69824,楽しい、珍しい、嬉しい、夢いっぱいの独楽５千点日本全国から収集された独楽の展示資料館。,0948-23-5300
402052,福岡県,飯塚市,大分廃寺塔跡,ダイブハイジトウアト,飯塚市大分718,33.58446,130.62473,奈良時代の寺院の塔跡。国指定史跡。,0948-25-2930
402052,福岡県,飯塚市,カラクリ時計,カラクリドケイ,飯塚市本町8-28,33.63961,130.68495,長崎街道飯塚宿の街道を大名行列が通っていく様子を再現している。,0948-22-6965
402052,福岡県,飯塚市,忠隈のボタ山,タダクマノボタヤマ,飯塚市忠隈,33.62199,130.68729,炭鉱町として発展した飯塚にその時代の面影を残す。,0948-25-2930
402052,福岡県,飯塚市,三菱飯塚炭鉱巻き上げ機台座,ミツビシイイヅカタンコウマキアゲキダイザ,飯塚市平恒460-8,33.60558,130.69154,筑豊地方でも最大級の巻き上げ機台座で、大正時代に作られ蒸気の力で稼動した。,0948-25-2930
402052,福岡県,飯塚市,明星寺の菩提樹,ミョウジョウジノボダイジュ,飯塚市明星寺826,33.62484,130.63559,伝説では、鎮西(聖光）上人がたてた杖が成長して菩提樹になったという。,0948-25-2930
402052,福岡県,飯塚市,菰池のヒメコウホネ,コモイケノヒメコウホネ,飯塚市大門61,33.65771,130.73183,菰池に自生するヒメコウホネはスイレン科コウホネ属の植物で浅い沼や池に生えるコウホネの一種。６月から９月にかけて、水上に突き出た花柄（茎）に黄色い小さな花を付ける。絶滅の危機に晒されている貴重な植物。,0948-25-2930
402052,福岡県,飯塚市,鎮西村のカツラ,チンゼイムラノカツラ,飯塚市建花寺1580-1,33.6623,130.63397,"カツラの木としては、国内ではじめて昭和９年に国指定天然記念物に指定された樹齢約1,000年の名木。",0948-25-2930
402052,福岡県,飯塚市,内野の大イチョウ,ウチノノオオイチョウ,飯塚市内野3367,33.53307,130.63768,樹齢約401年の大イチョウは谷から吹き降ろされる風を受け傾いた形になり大変珍しい樹形をしている。,0948-72-5581
402052,福岡県,飯塚市,曩祖八幡宮,ノウソハチマングウ,飯塚市宮町2-3,33.64066,130.68303,飯塚鎮守の氏神様。古の時代より飯塚の人々の生活を見守って下さる神様。イイヅカの由来でもある「いつかの里」の氏神で、良縁、復縁、健康等の祈願者が多く来られる。,0948-22-0511
402052,福岡県,飯塚市,大分八幡宮,ダイブハチマングウ,飯塚市大分1272,33.58518,130.62675,筥崎宮の元宮で、神功皇后が三韓征伐群を解隊した地。,0948-72-0621
402052,福岡県,飯塚市,綱分八幡宮,ツナワキハチマングウ,飯塚市綱分866-1,33.63614,130.73196,宇美町の宇美八幡、福岡市の筥崎宮、旧筑穂町の大分八幡、大分県宇佐市の宇佐神宮と並ぶ由緒深い神社の一つ。,0948-82-2069
402052,福岡県,飯塚市,撃皷神社,ゲキコジンジャ,飯塚市中1368-2,33.66769,130.67433,古い伝えによると上宮は白旗山中腹にあり下宮が山裾にあって古くは上宮を鼓打権現・下宮を笛吹権現と呼んでいた。この両権現は神功皇后が三韓出兵の際の神楽奉納。,0948-22-7335
402052,福岡県,飯塚市,大根地神社,オオネチジンジャ,飯塚市内野2507-3,33.53307,130.63768,大根地神社は大根地山の山頂近くにある神社で、神功皇后が羽白熊鷲を征伐する際に登山し、天神七代、地神五代の神々を祭って勝利を祈ったのが始まりと言われている。,0948-72-0171
402052,福岡県,飯塚市,冷水峠,ヒヤミズトウゲ,飯塚市内野,33.53307,130.63768,長崎街道内野宿と山家宿の中間にあり、九州の箱根と言われるほどの難所。,0948-72-5581
402052,福岡県,飯塚市,長崎街道内野宿,ナガサキガイドウウチノシュク,飯塚市内野3313,33.53307,130.63768,内野宿は国道200号線から外れているため、江戸時代そのままに道が残り、宿場の面影をとどめている。,0948-72-5581
402052,福岡県,飯塚市,飯の山,,飯塚市片島1,33.64421,130.68079,飯塚の名前の由来が残る伝説がある。,0948-25-2930
402052,福岡県,飯塚市,立岩遺跡,タテイワイセキ,飯塚市立岩1760-15,33.65042,130.69246,弥生時代の甕棺墓43基、貯造穴26基などが見つかっている。甕棺からは、前漢鏡をはじめとする当時の貴重な品々が副葬品として出土した。,0948-25-2930
402052,福岡県,飯塚市,鹿毛馬神籠石,カケノウマコウゴイシ,飯塚市鹿毛馬1088,33.67102,130.73296,古代（7世紀）頃の山城ではないかと考えられている。,09496-2-0553
402052,福岡県,飯塚市,貝原益軒の碑,カイバラエキケンノヒ,飯塚市八木山2251,33.63371,130.6021,貝原益軒は福岡藩士、儒学博物学者で8才から11才までの幼年時代をこの地で過ごした。,0948-22-5500
402052,福岡県,飯塚市,川島古墳公園,カワシマコフンコウエン,飯塚市川島407-2,33.66081,130.69174,飯塚市内では唯一の装飾古墳,0948-25-2930
402052,福岡県,飯塚市,小正西古墳公園,オバサニシコフンコウエン,飯塚市小正780-2,33.62357,130.65886,１つの墳丘に２基の横穴式石室を構築するなど全国的にも大変珍しく学術的価値が非常に高い古墳,0948-25-2930
402052,福岡県,飯塚市,大将陣公園,タイショウジンコウエン,飯塚市楽市1-14,33.6034,130.68057,"園内にはおよそ2,500本のソメイヨシノが植えられており、毎年桜まつりが開催され多くの花見客で賑わう。",0948-22-5500
402052,福岡県,飯塚市,勝盛公園,カツモリコウエン,飯塚市片島1-607-1,33.64421,130.68079,飯塚市中心部にある公園で、桜やツツジの名所として市民に広く親しまれている。,0948-22-5500
402052,福岡県,飯塚市,八木山展望公園,ヤキヤマテンボウコウエン,飯塚市大日寺1583-1,33.64176,130.62698, 国道201号線の八木山峠に位置し飯塚市を一望できます。春には640本の桜が山の斜面に咲き、多くの花見客で賑わう。,0948-22-5500
402052,福岡県,飯塚市,八木山展望台,ヤキヤマテンボウダイ,飯塚市大日寺1574-2,33.64057,130.63057,福岡市から飯塚市を結ぶ国道201号線の八木山峠より飯塚市側にある八木山展望台からは飯塚市を一望できる。小さい展望台には双眼鏡が設置されていて、 広い駐車場と自動販売機、ハート形をした巨大な鐘のモニュメント「しあわせの鐘」や八木山展望台カフェQueenCookCafeがある。,0948-22-5500
402052,福岡県,飯塚市,筑豊緑地,チクホウリョクチ,飯塚市仁保8-25,33.65371,130.73737,筑豊地区のほぼ中央にある丘陵地に展開する広大なスポーツ公園,0948-82-1023
402052,福岡県,飯塚市,八木山花木園,ヤキヤマカボクエン,飯塚市八木山1310-46,33.63371,130.6021,"八木山花木園では花木10,230本が植栽されており、四季を通して楽しめる。",0948-22-5500
402052,福岡県,飯塚市,農楽園八木山,ノウラクエンヤキヤマ,飯塚市八木山259,33.63371,130.6021,農産物直売所、自然食バイキング、焼き立て石窯パン、ブルーベリー園、そば工房などが併設。,0948-25-3353
402052,福岡県,飯塚市,こうの湯温泉,コウノユオンセン,飯塚市伊川82-33,33.64705,130.64537, 数千年の歳月を経てラドンの岩盤で濾過され自然の力で磨かれた神秘の水。,0948-28-4126
402052,福岡県,飯塚市,サンビレッジ茜,サンビレッジアカネ,飯塚市山口845-38,33.5532554,130.5983444,１年中滑れる本格的な人工芝ゲレンデにリストが設置されている総合レジャーパーク,0948-72-3331
402052,福岡県,飯塚市,ふれあい動物園 ピクニカ共和国,フレアイドウブツエンピクニックキョウワコク,飯塚市八木山2288,33.63372929,130.6090937,八木山高原の森の中にあるふれあい動物園「ピクニカ共和国」では、50種300頭羽のかわいい動物とふれあえます。,0948-26-4822
