都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,POIコード,住所,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,URL
434281,0000000001,熊本県,高森町,南阿蘇ビジターセンター,ミナミアソビジタ—センタ—,0205,熊本県阿蘇郡高森町大字高森3219,32.843968,131.145479,月火木金土日,09:00,17:00,水曜日が祝日の場合、翌日が休館日。,無料,無料,南阿蘇ビジターセンターは阿蘇くじゅう国立公園阿蘇地域の魅力をジオラマやパネル映像などを使って分かりやすく紹介し、自然との触れ合いを楽しむきっかけを提供する施設。,自家用車にて益城熊本空港ＩＣから俵山トンネルを高森町方面へ、国道265号線を経由し約1時間,駐車場8台、身障者用駐車場2台、その他隣接の休暇村南阿蘇駐車場を利用可能,多目的トイレ有り、スロープ有り、車いす有り,南阿蘇ビジターセンター,0967-62-0911,,www.minamiaso-vc.go.jp
434281,0000000002,熊本県,高森町,高森町観光交流センター,タカモリマチカンコウコウリュウセンター,1001,熊本県阿蘇郡高森町大字高森1614番地3,32.818495,131.125922,月火水木金土日,08:30,17:30,"12/28〜1/3まで年末年始休館。
悪天候によりバスが運行できない場合も休館",無料,無料,施設内にはバス待合所のほか、セミナーや講演会等に使用できる「交流ホール」、町の観光情報を発信する「情報発信コーナー」、さまざまなイベントに活用できる「ステージテラス」等が備えてある。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ約50分,駐車スペース20台・身障者駐車場1台,多目的トイレ有り、スロープ有り,高森町観光交流センター,0967-62-2233,,aso-takamori.jp
434281,0000000003,熊本県,高森町,鍋の平キャンプ場,ナベノタイラキャンプジョウ,1152,熊本県阿蘇郡高森町大字上色見1-12,32.869901,131.137538,月火水木金土日,10:00,,水道凍結のため11月下旬から3月中旬ごろまで休園,1泊大人500円、子ども200円,"テント持込料500円(１張り)、タープ持込料500円(1張り)、貸テント2,000円",根子岳のふもと標高680ｍに広がるキャンプ場。フリーサイトや常設テントサイト、管理棟、炊飯棟、トイレなどを完備。,自家用車にて益城熊本空港ＩＣから俵山トンネルを高森町方面へ、国道265号線を経由し約1時間,駐車スペース50台,,鍋の平キャンプ場,0967-62-0850,,
434281,0000000004,熊本県,高森町,湧水館,ユウスイカン,1099,熊本県阿蘇郡高森町大字高森1034番地2,32.813474,131.122829,火水木金土日,09:00,16:00,"毎週月曜休館
(月曜が祝日の場合翌日が休館)",無料,無料,湧水館は水や湧水に関する資料館。館内には高森トンネルの歴史や当時の出水事故の新聞記事、建設途中の坑内の写真資料等を展示。その他にも地球環境に関するパネルの展示を行っている。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ約50分,駐車スペース325台(高森湧水トンネル公園と共用),多目的トイレ有り、スロープ有り,湧水館,0967-62-3331,,http://www.town.takamori.kumamoto.jp/
434281,0000000005,熊本県,高森町,高森湧水トンネル公園,タカモリユウスイトンネルコウエン,1099,熊本県阿蘇郡高森町大字高森1034番地2,32.814035,131.121085,月火水木金土日,09:00,18:00,"4月〜10月は18：00まで
11月〜3月までは17：00まで",300円,"小学生未満：無料、小学生：100円,中学生以上：300円",昭和48年に国鉄にて高森・高千穂間を結ぶべく掘削が開始されたが、大量の出水により計画は中断。現在は周囲を親水公園として整備し、一般公開している。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ約50分,駐車スペース325台,多目的トイレ有り、スロープ有り,高森湧水トンネル公園,0967-62-2913,157,http://www.town.takamori.kumamoto.jp/
434281,0000000006,熊本県,高森町,南阿蘇鉄道高森駅,ミナミアソテツドウタカモリエキ,3719,熊本県阿蘇郡高森町大字高森1537番地2,32.81951,131.122644,月火水木金土日,,,"土日・祝日、夏休み期間
トロッコ4便、普通列車1便
平日
普通列車3便","往復1,400円","現在高森駅ー中松駅間の部分運行
こども運賃は往復810円。",トロッコ列車では開放感たっぷりの車内から雄大な阿蘇の山々を眺めることができる。水源などをゆっくり進み、沿線のガイドを行いながら走る人気の列車。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ約50分,駐車スペース50台、身障者用駐車場1台,多目的トイレ有り,南阿鉄道高森駅,0967-62-0058,,www.mt-torokko.com
434281,0000000007,熊本県,高森町,木郷滝自然つりセンター,キゴウタキシゼンツリセンター,1023,熊本県阿蘇郡高森町大字草部750番地,32.805402,131.195702,月火水木金土日,07:00,17:00,"休日は元日のみ(荒天時は要問合せ)
現在コロナウイルスの影響により短縮営業。通常は日没まで
食事は9：00〜17：00(通常18：00)","遊漁券　500円(券返却時に返金)
エサ釣り
大人3,900円(4時間、竿代込)
小学生2,800円(4時間竿代込)
フライルアー
大人3,900円(5時間)
小学生2,800円(5時間)","遊漁券　500円(券返却時に返金)
エサ釣り
大人3,900円(4時間、竿代込)
小学生2,800円(4時間竿代込)
フライルアー
大人3,900円(5時間)
小学生2,800円(5時間)",自然の渓流を生かした釣り場で遊泳する魚はヤマメ・イワナ・ニジマスなど。必要な道具一式はレンタルできる。料金は時間制で釣った魚は持ち帰るか、併設のレストランで調理可能。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ、高森峠(国道２６５号線)を高千穂町方面へ進む。約1時間30分,駐車スペース40台,,木郷滝自然つりセンター,0967-64-0440,,http://www.kigo.co.jp
434281,0000000008,熊本県,高森町,上色見熊野座神社,カミシキミクマノザジンジャ,0701,熊本県阿蘇郡高森町大字大字上色見2619番地,32.854499,131.158698,月火水木金土日,,,参拝自由,無料,無料,伊邪那岐命、伊邪那美命、石君大将軍を祭る神社。鳥居から境内まで100基近くの灯篭が並び、神秘的な雰囲気が漂う。境内後方にあるぽっかりと穴が開いた穿戸岩は触れば合格や必勝に後利益があるといわれている。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ約60分,駐車スペース50台,,高森町役場政策推進課商工観光係,0967-62-2913,157,
434281,0000000009,熊本県,高森町,奥阿蘇物産館,オクアソブッサンカン,2613,熊本県阿蘇郡高森町大字草部1170番地2,32.793045,131.211277,月火水木金土日,09:00,17:30,"第一水曜のみ休館
4月〜11月は8：30から18：00まで営業",,,"新鮮な高冷地野菜と、手作りのソーセージが評判。素朴な甘さのかりんとうもファンに愛される名物。
館内に食堂スペースあり。",自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ、高森峠(国道２６５号線)を山都町方面へ進む。約1時間20分,駐車スペース50台,多目的トイレ有り,奥阿蘇物産館,0967-64-0134,,
434281,0000000010,熊本県,高森町,奥阿蘇キャンプ場,オクアソキャンプジョウ,1152,熊本県阿蘇郡高森町大字草部1009番地,32.793892,131.208047,月火水木金土日,15:00,10:00,"12/30〜1/3までの正月休み以外、通年営業。
バンガロー利用の場合は15：00入場、翌10：00退場
テントサイト、オートキャンプを利用の場合は入退場時間の指定なし、入退場時に担当者へ要連絡。",500円,"入場料
1泊500円(小学生以上)
デイキャンプ　300円
テントサイト
1人用1,500円、2人用し2,500円、ファミリー用4,000円
オートキャンプ
一区画4,000円
バンガロー
平屋(大人5人まで)17,500円
ロフト付き(大人8人まで)21,500円
道具のレンタル無し。",高森町から高千穂方面へ向かう途中にある広々としたキャンプ場。施設はオートキャンプサイトや2階建てバンガローなど。東に祖母山、南に高千穂の峰々、北は久住連山、西に阿蘇根子岳を望む真ん中にあり、大自然を満喫できる。,自家用車にて益城熊本空港から俵山トンネルを経由し高森町方面へ、高森峠(国道２６５号線)を山都町方面へ進む。約1時間20分,駐車スペース30台程度,,奥阿蘇キャンプ場,0967-64-0138,,okuaso.net
