都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
462250,0000000001,鹿児島県,姶良市,龍門司坂,タツモンジザカ,,,姶良市加治木町木田5088-1,,,,,,,,,,旧大口筋の一部で、木田の高井田から毛上に通ずる石畳の坂です。,,,,,,,,,,,
462250,0000000002,鹿児島県,姶良市,掛橋坂,カケハシザカ,,,姶良市蒲生町北1006,,,,,,,,,,蒲生町北と西浦を結ぶ峠に見つかった石畳道。,,,,,,,,,,,
462250,0000000003,鹿児島県,姶良市,精矛神社,クワシホコジンジャ,,,姶良市加治木町日木山308-1,,,,,,,,,,明治2年に現在の鹿児島県立加治木高等学校、柁城小学校の敷地に当たる場所（ここは祭神でもある島津義弘が亡くなるまで過ごしていた加治木館の場所である）に造営され、神号の精矛厳健雄命から精矛神社と命名された。のち、大正7年（1918年）に、没後300年にあたって、現在地にあらたに造営遷座された。宮司は加治木島津家第13代当主でもある島津義秀が務めている。 ,,,,,,,,,,,
462250,0000000004,鹿児島県,姶良市,重富海水浴場,シゲトミカイスイヨクジョウ,,,姶良市平松7703-4,,,,,,,,,,白砂青松が数百メートルに及び、干潟をとおして桜島を正面に望む雄大な景観が楽しめる海水浴場です。脱衣所、シャワーなども整備されています。 ,,,,,,,,,,,
462250,0000000005,鹿児島県,姶良市,れんげの里,レンゲノサト,,,姶良市北山2712,,,,,,,,,,４月下旬から５月初旬まで、集落内の田んぼにれんげの花が咲き乱れます。  昔懐かしい風景は見ごたえ十分です。 ,,,,,,,,,,,
462250,0000000006,鹿児島県,姶良市,黒川岬,クロカワミサキ,,,姶良市加治木町反土黒川,,,,,,,,,,市の中で最も湾奥に位置する岬。錦江湾の波の向こうに浮かぶ桜島を大パノラマで眺めることができ、その雄大な景色は加治木八景にも選ばれています。,,,,,,,,,,,
462250,0000000007,鹿児島県,姶良市,芝桜園「花の森 かもんしらお」,シバザクラエン ハナノモリ カモンシラオ,,,姶良市姶良市蒲生町白男1504 ,くすの湯川向かい,,,,,,,,,所有者ご夫婦が2株植えたことが始まりの芝桜。毎年少しずつ株分けをして手入れを続け今では、2万株まで増えました。  近年、花の名所として多くの方が訪れるようになりました。,,,,,,,,,,,
462250,0000000008,鹿児島県,姶良市,金山橋,キンザンバシ,,,姶良市加治木町小山田34-1,,,,,,,,,,龍門滝の上流にある、網掛川にかかる橋。  島津家が金山経営のため、明治12年ころ架設される。  金鉱石や物資を加治木港に運搬する金山道路に架けられた橋。,,,,,,,,,,,
462250,0000000009,鹿児島県,姶良市,板井手の滝,イタイデノタキ,,,姶良市加治木町小山田34-1,,,,,,,,,,龍門滝の上流にある滝。  金山橋のすぐ上流にある高さ8ｍの滝です。,,,,,,,,,,,
462250,0000000010,鹿児島県,姶良市,陶夢ランド 屋内競技場,トムランドオクナイキュウギジョウ,,,姶良市加治木町小山田1583-1,,,,,,,,,,陶芸体験を中心にテニスやゲートボールのできる屋内競技場や、多目的広場、龍門滝と網掛川をモチーフにした遊水施設、木製遊具を設置したこども広場があり、親子で楽しめる施設です。,,,,,,,,,,,
462250,0000000011,鹿児島県,姶良市,姶良市総合運動公園,アイラシソウゴウウンドウコウエン,,,姶良市平松2392,,,,,,,,,,【総合体育館】・バレーボール：４面　・バスケットボール：３面　・ハンドボール：１面　・バドミントン：16面　・卓球：16面 【野球場】 ・両翼95メートル、センター120メートル　バッティングゲージ１基　室内投球練習場４人 【テニスコート】・６面（オムニコート） 【陸上競技場】・400メートル×８レーン　・サッカー１面（芝） 【多目的広場】・サッカー１面 ※総合体育館は平成17年に完成したばかりで、設備も充実しています。,,,,,,,,,,,
462250,0000000012,鹿児島県,姶良市,姶良市蒲生体育館,アイラシカモウタイイクカン(オオクスアリーナ),,,姶良市蒲生町北24-1,,,,,,,,,,・バレーボール：４面　・バスケットボール：３面　・ハンドボール：１面　・バドミントン：12面　・フットサル：１面　・卓球：６面 ※平成17年３月に完成。日本一の巨樹「蒲生の大クス」が近くにあることから「おおくすアリーナ」として親しまれています。 ,,,,,,,,,,,
462250,0000000013,鹿児島県,姶良市,八幡公園 ,ハチマンコウエン,,,姶良市蒲生町上久徳2267-1,,,,,,,,,,日本一の大クス、遊歩道、桜公園 ,,,,,,,,,,,
462250,0000000014,鹿児島県,姶良市,船津公園,フナツコウエン,,,姶良市船津1523,,,,,,,,,,子ども広場、多目的広場、テニスコート,,,,,,,,,,,
462250,0000000015,鹿児島県,姶良市,サボーランドパーク姶良,サボーランドパークアイラ,,,姶良市平松195-3,,,,,,,,,,姶良ニュータウン内にあり、集中豪雨の被害地を整備して平成９年に開園しました。砂防事業でできた６ヘクタールを利用した公園です。 遊歩道やジョギングコース、水遊びの池、野鳥の森のほか、砂防について学べるミニチュアのダムなどが楽しめるスポットがいっぱいです。,,,,,,,,,,,
462250,0000000016,鹿児島県,姶良市,北山野外研修センター,キタヤマヤガイケンシュウセンター ,,,姶良市北山852番地1,,,,,,,,,,北山中学校（昭和63年３月閉校）の跡地を利用してつくられたもので、平成３年７月10日にオープンしました。このセンターと同じように、学校跡を活用してつくられた社会教育宿泊施設は、全国におよそ30ほどあります。これらの施設の特色は、利用団体の自主的活動を中心に運営されることです。 このセンターは、子供たちが豊かな自然の中で宿泊学習・野外活動を通して、自然や仲間とのふれあい、心身ともに健全に育つことを目的としています。 ,,,,,,,,,,,
