都道府県コード又は市区町村コード,No,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL
422118,1,長崎県,五島市,堂崎天主堂,ドウザキテンシュドウ,Dozaki Church,,長崎県五島市奥浦町2019,,32.75614,128.83727,年中無休,09:00,17:00,・12/30～1/3のみ休館　・11月11日～3月20日　9:00～16:00　・3月21日～10月10日　9:00～17:00(夏休み期間は18:00まで),大人300（250）円・中高生150（100）円・小人100（50）円〔（）内は20名以上の団体料金〕,【障碍者割引】大人150円、中高生100円、小人50円（※障碍者手帳の提示が必要）,禁教令が解かれたあと、五島キリシタン復興の任を帯びて、フランス人宣教師フレノー、マルマン両神父が五島を訪れ布教にあたり、1879年にマルマン神父によって、五島における最初の天主堂（木造）が建てられました。その後着任した、ペルー神父によって1908年に、現在のレンガ造りの教会堂が完成しました。建築の際には資材の一部がイタリアから運ばれ、内部は木造で色ガラス窓、コーモリ天井などの教会堂建築となっています。現在は、弾圧の歴史や資料を展示する資料館として、一般公開されています。1974年に、県の有形文化財（建造物）の指定を受けました。,"Soon after the ban on Christianity was lifted by the Meiji government, two French missionaries, fathers Fraineau and Marmand, were sent to Goto in order to take part to the revival of the local Christian community. Father Marmand established a first wooden church in Goto, in 1879.Dozaki Church was rebuilt in red bricks in 1908 under the guidance of Father Pélu, a missionary who succeeded Marmand and Fraineau. Some of the materials were brought all the way from Italy. The inside of the church is made of wood, with typical stained glass and ribbed vault ceiling. Today, various documents and objects showing us the history of the Christians’ persecution are displayed in Dozaki.The building has been registered as prefectural tangible heritage in 1974.",福江港より車で約20分、天主堂入口停留所から徒歩3分,有,,堂崎教会キリシタン資料館,0959-73-0705,,,,https://goto.nagasaki-tabinet.com/junrei/332/
422118,2,長崎県,五島市,鐙瀬ビジターセンター,アブンゼビジターセンター,Abunze Visitor Centre,,長崎県五島市野々切町1333−3,,32.64204,128.84775,年中無休,09:00,17:00,・12/29～1/3のみ休館　・7月、8月は9:00～18:00まで,無料,無料,五島列島の成り立ちや動植物、西海国立公園や福江島の美しい景色を映像で見ることができるほか、年間を通して各種の自然体験講座も開催しています。島内で最も温暖な場所に位置しており、亜熱帯系の植物に囲まれた施設周辺の景観も見どころのひとつ。特にビジターセンターのすぐそばにある展望台からは、珍しい溶岩海岸を見ることができます。また、遊歩道も整備されており、自然とふれあいながら、くつろいだひとときを過ごせます。晴れた日は展望台から鬼岳や周囲の島々を見渡すことができます。,"In Abunze Visitor Centre you can learn more about Goto's fauna and flora, its Geology and Fukue Island's  marvelous natural landscapes, which are part of Saikai National Park. The Visitor Centre is located at the warmest and sunniest spot in Fukue, surrounded by a luxuriant subtropical vegetation. A viewing deck located a few metres away from the Centre offers a great view on Abunze's lava rock coastline. When the weather is nice you can see Mount Onidake and the surrounding islands.",福江港より車で約20分、福江空港から車で10分,有,多目的トイレ有り、スロープ有り,鐙瀬ビジターセンター,0959-73-6955,,,,https://goto.nagasaki-tabinet.com/spot/334/
422118,3,長崎県,五島市,鬼岳四季の里,オニダケシキノサト,Onidake shikinosato,,長崎県五島市上大津町2873-1,,32.66262,128.85207,年中無休,09:00,18:00,12/29～1/3のみ休館,無料,無料,お土産品の販売や、喫茶店を行っており、名物の五島うどんも召し上がれます。地元特産品である水イカ(アオリイカ)やサザエ、魚、五島うどんなどの食品の他、椿製品、小物、バッグなど多数取り扱っております。,"Onidake Shikinosato is a cafe where you can buy local souvenirs and try the famous Goto Udon. Apart from souvenirs you can also buy local seafood delicacies, such as Bigfin reef squid and Turban Shell, as well as a variety of camellia products.  ",福江港より車で約15分,有,,鬼岳四季の里,0959-74-5469,,,,
422118,4,長崎県,五島市,福江武家屋敷通りふるさと館,フクエブケヤシキドオリフルサトカン,Cultural centre Bukeyashiki Furusatokan ,,長崎県五島市武家屋敷2-1-20,,32.69053,128.84626,火～日,08:30,17:00,・12/29～1/3休館 ・7月～10月は無休 ・7月～8月 8:30～18:00,無料,無料,武家屋敷通りを中心とした城下町の写真パネル等の展示、また郷土民芸の実演、五島家庭園と同じ様式の林泉式庭園を眺めることができる和室や喫茶コーナーなどがあります。喫茶コーナーでは五島名物の「五島うどん」や「かんころもち」も食べることができます。,"Learn more about Goto's past and local handicrafts in this cultural centre, located in a beautiful former samurai house. You can try to make your own camellia oil lacquered chopsticks, or paint traditional baramon kites. You can also have a taste of Goto's famous udon noodles and kankoro mochi in the cafe-restaurant corner. ",福江港より車で約5分,有,,福江武家屋敷通りふるさと館,0959-72-2083,,,,https://goto.nagasaki-tabinet.com/spot/344/
422118,5,長崎県,五島市,五島観光歴史資料館,ゴトウカンコウレキシシリョウカン,Goto Tourism and Historical Materials Museum,,長崎県五島市池田町1-4,,32.69405,128.84691,1～4月及び12月の月曜を除く日,09:00,17:00,・12/29～1/3休館 ・7月～9月は9:00～18:00,一般300（240円）・小中高100（80）円〔（）内は20名以上の団体料金〕,・山本二三美術館との共通観覧券　一般500円（展示会や企画展示への入館は除く）,五島観光歴史資料館は、旧福江市制施行35周年を記念して建設されたものです。昭和62年から着工され、平成元年11月12日石田城跡に開館しました。館内は、五島の観光振興と郷土の歴史、文化遺産などに対する市民の理解と認識を深めるために、五島の生い立ちから現在までの姿を各種の資料で展示しています。,"The Goto Tourism and Historical Materials Museum was built to commemorate the 35 years of Fukue City's founding. Construction works started in 1987, and the Museum opened on the 12th November 1989, within the precincts of  the  remains of former Ishida Castle. The museum introduces Goto's cultural heritage, history and touristic development.",福江港より車で約5分,有,,五島観光歴史資料館,0959-74-2300,,,,https://goto.nagasaki-tabinet.com/spot/331/
422118,6,長崎県,五島市,道の駅　遣唐使ふるさと館,ミチノエキ　ケントウシフルサトカン,Michinoeki Kentoshi Furusatokan ,,長崎県五島市三井楽町濱ノ畔3150番地1,,32.73843,128.69031,年中無休,09:00,18:00,12/29～1/3休館,無料,【入館料】無料【万葉シアター】大人310円、子人210円、団体（15名以上各50円引き）,【万葉シアター】遣唐使と万葉をテーマとした映像を上映。【展示コーナー】遣唐使や万葉に関連した資料の展示。【インフォメーション】9面マルチ映像による五島三井楽町の紹介。【物産販売コーナー】五島市の特産品や万葉グッズ、が購入できます。【レストラン】収容人員80名（団体客の利用も可能）ランチ・ディナーもお楽しみいただけます。ふるさとバイキング（金・土・日・祝のランチタイム）もご用意しています。 ,"【Man'yo Theatre showings】Showings of films about japanese envoys in Tang China (Kentoshi) and Man'yo Theatre.【Exhibition Corner】Various documents about Kentoshi envoys and Man'yo Theatre are displayed.【Informations】An introduction to the history of Miiraku Town on big screens.【Souvenir shop】Buy a few Goto and souvenirs and Man'yo theatre related souvenirs in this souvenir shop !【Restaurant】A restaurant with a maximum capacity of 80 people, open for lunch and dinner. All-you-can-eat buffets available at lunchtime on Fridays, weekends and national holidays. ",福江港より車で約30分,有,,道の駅　遣唐使ふるさと館,0959-84-3555 ,,,,https://kentoushi-furusatokan.com/
422118,7,長崎県,五島市,さんさん富江キャンプ村,サンサントミエキャンプムラ,Camping Village Sansan Tomie ,,長崎県五島市富江町土取1333番,,32.61209,128.78022,年中無休,09:00,17:00,,"貸自転車1台2時間200円。バーベキュー台410円。貸テント（8人用）1,030円外。バンガロー5人用10,480円～",,バンガローは、冷暖房完備、風呂トイレ付。富江湾を見渡す景色は最高。キャンプシーズンは、キャンプ用品の貸し出しも可能です。,Enjoy a great view on Tomie bay and a small beach nearby ! All bungalows are equipped with heating and air conditioning. Camping gear rental available.,福江港より車で約35分,有,,五島さんごの町富江観光協会,0959-86-2920,,,,http://www.sansan-tomie.jp/index.html
422118,8,長崎県,五島市,五島カントリークラブ,ゴトウカントリークラブ,Goto Country Club ,,長崎県五島市下大津町1985番地,,32.61209,128.78019,年中無休,08:00,17:00,12/31.1/1,"6,880円～",,五島列島福江島のシンボル「鬼岳」。全山野芝におおわれた鬼岳の中腹に位置し、自然の景観とスロープをいかしてレイアウトされた丘陵コースである。比較的フラットな地形を基調したフェアウェイは自然のアンジュレーションには手造りの味がある。コース内に残された豊富な大木を随所に配置し、風の向きの変化と合わせて戦略的に楽しいものにしている。また、レストランでは、ジューシーな五島牛や細麺で腰のある五島うどんも楽しめる。,"A rolling golf course located on mount Onidake, one of the most iconic spots of Goto, surrounded by stunning nature. The course's majestic trees can also be used strategically during your game.After a few rounds you can come and try our Goto beef and Goto Udon in our restaurant !",福江港より車で約15分,有,,五島カントリークラブ,0959-72-4526,,,,https://www.fctv-net.jp/~goto-cc/
422118,9,長崎県,五島市,旧五輪教会堂,キュウゴリンキョウカイドウ,Former Gorin Church,,長崎県五島市蕨町993-11,,32.8024,128.90376,火～日,08:30,16:30,・8:30～12:00/13:00～16:30 教会守駐在(左記以外は、自由見学),無料,,1881年建立の旧浜脇教会が1931年の建替えのとき、五輪地区に移築されました。この旧教会が老朽化で解体される寸前、島内の仏教徒の助言によって価値が再確認され、五島市に移譲される事になり文化財として保存されました。この地区は久賀島の中でいまだに直接車で行くことができない陸の孤島。世界文化遺産「長崎と天草地方の潜伏キリシタン関連遺産」の構成資産「久賀島の集落」に建つ教会です。,"Originally built in 1881, the former Hamawaki Church was dismantled in 1931 and reconstructed in the Gorin district of Hisaka Island.  Left deteriorated and on the verge of destruction, the edifice was saved with the help of the  local Buddhist community. Property of the church was transferred over to Goto City, in order to preserve it as a significant cultural property.  Gorin district is remote and cannot be accessed directly by car from central Hisaka.  The church is a registered UNESCO World Heritage Site, as part of the “Villages on Hisaka Island” belonging to the “Hidden Christian Sites in the Nagasaki Region”.",田ノ浦港から車で約40分、その後徒歩で約15分,有,,長崎と天草地方の潜伏キリシタン関連遺産インフォメーションセンター,095-823-7650,,,,http://kyoukaigun.jp/visit/detail.php?id=14
422118,10,長崎県,五島市,江上天主堂,エガミテンシュドウ,Egami Church,,長崎県五島市奈留町大串1131,,32.85541,128.90406,火～日,09:00,15:30,・9:00～12:00/13:00～15:30 教会守駐在(月曜が祝日の場合は翌日休館),無料,,1881（明治14）年、西彼杵郡などより移住した4家族が洗礼を受けたことにはじまりました。現教会は、1918年、40～50戸あまりの信徒が共同し、キビナゴの地引網で得た資金で建てられました。日本における教会建築の父・鉄川与助に依頼し、設計施工。クリーム色の外壁や水色の窓枠がアクセントの、今では少ない木造建築の素朴な教会です。コウモリが羽を広げたような天井は賛美歌の声を美しく響かせるためのもので、柱に描かれた文様や光を巧みに操る技法など、文化財としても価値の高い建築様式です。また、手描きの木目の柱や花の絵の窓ガラスに、信徒の苦労の結晶を見ることができます。　2018年登録となった、世界文化遺産「長崎と天草地方の潜伏キリシタン関連遺産」の構成資産です。,"The history of Egami Church starts back in 1881, when four families from Nishisonogi in Nagasaki Prefecture moved to Egami and were baptised as Catholics. The current church was built in 1918, thanks to the dedication of local kibinago fishermen and their families who gathered their savings to fund the church.   They asked the “father of Japanese churches’ architecture”, Yosuke Tetsukawa, to design and build the edifice.   It’s a simple but beautiful church, with its characteristic wooden architecture, its soft cream colour walls and charming blue shutters. The ribbed vault ceiling is designed to enhance the acoustics of the place. The hand-drawn wood grain on the pillars and hand-made flower-shaped stained glass are the fruits of the dedication of the local believers.  Egami is registered as UNESCO World Heritage as part of the “Hidden Christian Sites in the Nagasaki Region” since 2018.",奈留港から車で約15分,有,,長崎と天草地方の潜伏キリシタン関連遺産インフォメーションセンター,095-823-7650,,,,http://kyoukaigun.jp/visit/detail.php?id=15
422118,11,長崎県,五島市,山本二三美術館,ヤマモトニゾウビジュツカン,Yamamoto Nizo Museum,,長崎県五島市武家屋敷2-2-7,,32.85539,128.90403,火～日,09:00,18:00,12/29～1/3休館,一般 400円（団体 320円）小中高校生　200円（団体 160円） ※団体は5人以上,,長崎県五島市出身のアニメーション映画・美術家　山本二三氏。『天空の城ラピュタ』『火垂るの墓』『もののけ姫』『時をかける少女』等、画業約40年の間、数々の名作アニメーションで美術監督を務めてきました。当館は山本二三氏の描いたアニメーションの背景画や、五島を描いたオリジナルの絵画を展示する美術館です。建物は1863年（江戸時代）に建てられた武家屋敷「松園邸」を改修。五島の雄大な自然を見て育った山本二三氏の絵と、五島の歴史を感じられる美術館です。,"Nizo Yamamoto (born on the Goto Islands of Nagasaki) was the animation art director for many renowned Studio Ghibli films such as “Castle in the Sky”, “Grave of Fireflies”, “Princess Mononoke,” and “The Girl Who Leapt Through Time”.This museum is located on the Goto Islands, and uniquely, it is housed in a renovated old samurai residence that was originally built in 1863 during the Edo period.The museum has a variety of his animation artwork on display, although most are replicas, there are a few originals as well. One of his most recent art projects, the “Goto Hyakkei,” or the “100 Sceneries of Goto”, are also on display in the museum. Wondering through the traditional samurai residence while perusing modern animation sketches inspired by Goto’s majestic nature would offer a nostalgic and memorable experience to all visitors.",福江港より車で約5分,有,,山本二三美術館,0959-76-3923,,,,https://www.goto-yamamoto-nizo-museum.com/
422118,12,長崎県,五島市,久賀島観光交流拠点センター,ヒサカジマカンコウコウリュウキョテンセンター,Hisaka Island Tourist Information Center,,長崎県五島市久賀町103番地・104番地,,32.79779686,128.8717044,火～日,09:00,17:00,月曜日が祝日の場合は翌日が休館日。12/29～1/3(7～10月は休館日なしで会館。),無料,,重要文化的景観や世界遺産の情報発信拠点並びに観光を中心とした地域振興の交流拠点施設。,Information center on important cultural landscapes and world cultural heritage.,田ノ浦港から車で10分,あり(複数台駐車可）,,久賀島観光交流拠点センター,0959-77-2115,,,,
