都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,郵便番号,料金要否,駐車場_有無,利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像_詳細,最終確認日
131083,1,東京都,江東区,都立清澄庭園,トリツキヨスミテイエン,Kiyosumi Garden,0611a,東京都江東区清澄3-3-9 ,,35.680737,139.797794,,,,,,,,,,,,,(03)3641-5892,,,,https://www.tokyo-park.or.jp/teien/contents/index033.html,,135-0024,,,,,,,,2019:11:25
131083,2,東京都,江東区,深川江戸資料館,フカガワエドシリョウカン,Fukagawa Edo Museum,0803a,東京都江東区白河1-3-28,,35.681389,139.800675,,,,,,,,,,,,,(03)3630-8625,,,,https://www.kcf.or.jp/fukagawa/,,135-0021,,,,,,,,2019:11:25
131083,3,東京都,江東区,芭蕉記念館,バショウキネンカン,Basho Memorial Museum,0803a,東京都江東区常盤1-6-3,,35.686165,139.794043,,,,,,,,,,,,,(03)3631-1448,,,,https://www.kcf.or.jp/basho/,,135-0006,,,,,,,,2019:11:25
131083,4,東京都,江東区,東京都現代美術館,トウキョウトゲンダイビジュツカン,Museum Of Contemporary Art Tokyo,0802a,東京都江東区三好4-1-1,,35.679782,139.808192,,,,,,,,,,,,,(03)5245-4111,,,,https://www.mot-art-museum.jp/,,135-0022,,,,,,,,2019:11:25
131083,5,東京都,江東区,中川船番所資料館,ナカガワフナバンショシリョウカン,Nakagawa Shipping Guard House Museum,0803a,東京都江東区大島9-1-15,,35.687747,139.846306,,,,,,,,,,,,,(03)3636-9091,,,,https://www.kcf.or.jp/nakagawa/,,136-0072,,,,,,,,2019:11:25
131083,6,東京都,江東区,日本科学未来館,ニホンカガクミライカン,National Museum Of Emerging Science And Innovation,0801a,東京都江東区青海2-3-6,,35.619379,139.7764,,,,,,,,,,,,,(03)3570-9253,,,,https://www.miraikan.jst.go.jp/,,135-0064,,,,,,,,2019:11:25
131083,7,東京都,江東区,深川東京モダン館,フカガワトウキョウモダンカン,Fukagawa Tokyo modern house,1001a,東京都江東区門前仲町1-19-15,,35.674092,139.794906,,,,,,,,,,,,,(03)5639-1776,,,,http://fukagawatokyo.com/,,135-0048,,,,,,,,2019:11:25
131083,8,東京都,江東区,亀戸梅屋敷,カメイドウメヤシキ,Kameido Umeyashiki,1001a,東京都江東区亀戸4-18-8,,35.70148,139.825667,,,,,,,,,,,,,(03)6802-9550,,,,https://www.kameume.com/,,136-0071,,,,,,,,2019:11:25
131083,9,東京都,江東区,豊洲市場,トヨスシジョウ,Toyosu Market,4007a,東京都江東区豊洲6-6-1,,35.644168,139.784298,,,,,,,,,,,,,(03)3520-8205,,,,http://www.toyosu-market.or.jp/,,135-0061,,,,,,,,2019:11:25
131083,10,東京都,江東区,明治丸,メイジマル,Meiji-maru,0610a,東京都江東区越中島2-1-6,,35.667394,139.790269,,,,,,,,,,,,,(03)5245-7300,,,,https://www.kaiyodai.ac.jp/overview/facilities/meijimaru.html,,135-0044,,,,,,,,2019:12:12
131083,11,東京都,江東区,夢の島熱帯博物館,ユメノシマネッタイショクブツエン,Yumenoshima Tropical Greenhouse Dome,0801a,東京都江東区夢の島2-1-2,,35.651335,139.829369,,,,,,,,,,,,,(03)3522-0281,,,,http://www.yumenoshima.jp/index.html,,136-0081,,,,,,,,2019:12:12
131083,12,東京都,江東区,東京都虹の下水道館,トウキョウトニジノゲスイドウカン,Tokyo Sewerage Museum “Rainbow”,0803a,東京都江東区有明2-3-5,,35.63345,139.784254,,,,,,,,,,,,,(03)5564-2458,,,,https://www.nijinogesuidoukan.jp/,,135-0063,,,,,,,,2019:12:12
131083,13,東京都,江東区,東京都立第五福竜丸展示館,トウキョウトリツダイゴフクリュウマルテンジカン,Daigo Fukuryu Maru exhibition hall,0803a,東京都江東区夢の島2-1-1,,35.651048,139.826301,,,,,,,,,,,,,(03)3521-8494,,,,http://d5f.org/,,136-0081,,,,,,,,2019:12:12
131083,14,東京都,江東区,東京都水の科学館,トウキョウトミズノハクブツカン,Tokyo Water Science Museum,0803a,東京都江東区有明3-1-8,,35.63079,139.785567,,,,,,,,,,,,,(03)3528-2366,,,,http://www.mizunokagaku.jp/,,135-0063,,,,,,,,2019:12:12
131083,15,東京都,江東区,東京臨海部広報展示室 TOKYO ミナトリエ,トウキョウリンカイブコウホウテンジシツTOKYOミナトリエ,"Exhibition Rroom Of The Tokyo Waterfront Area""MINATORIE""",0803a,東京都江東区青海2-4-24,青海フロンテイアビル20階,35.617724,139.778557,,,,,,,,,,,,,(03)5500-2587,,,,http://www.tokyoport.or.jp/minatorie/index.html,,135-0064,,,,,,,,2019:12:12
131083,16,東京都,江東区,東京ビッグサイト,トウキョウビッグサイト,Tokyo Big Sight,1017a,東京都江東区有明3-10-1,,35.629905,139.794238,,,,,,,,,,,,,(03)5530-1111,,,,http://www.bigsight.jp/,,135-0063,,,,,,,,2019:12:12
