都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
232149,0000000001,愛知県,蒲郡市,竹島,タケシマ,,0124,蒲郡市竹島町3-15,,34.811447,137.231662,日月火水木金土,,,,無料,,長さ387メートルの橋で陸地と結ばれて、国の天然記念物に指定されている蒲郡のシンボル「竹島」。島の中央部には、日本七弁財天のひとつである「八百富神社」があります。,,JR「名古屋」駅から、JR「蒲郡」駅下車。東へ徒歩で15分。または「竹島遊園」バス停前下車、5分,水族館前駐車場　約４０台（無料）竹島園地駐車場　約２００台（平日無料）※土、日、祝日、および４月２７日から５月８日までは有料（４月、５月は５００円それ以外の月は３００円）大型バス駐車場　１４台（無料）※普通車の駐車はできません,,蒲郡市観光協会,(0533)68-2526,,,,http://gamagori.jp/look/detail_4_0_1_0_0.html,
232149,0000000002,愛知県,蒲郡市,ラグーナテンボス,ラグーナテンボス,,1009,蒲郡市海陽町2丁目,,34.808346,137.270737,日月火水木金土,,,施設によって異なる,施設により異なる,ラグナシア（有料）ラグーナ フェスティバルマーケット（無料）タルゴ ラグーナ（有料）ラグーナの湯（有料）変なホテル（無料）ホテル ラグーナヒル（無料）,美しい蒲郡の海の魅力を存分に楽しめる複合型リゾート。テーマパーク「ラグナシア」、グルメ＆ショッピングマーケット「ラグーナ　フェスティバルマーケット」、日本最大級のタラソテラピー施設「タルゴ　ラグーナ」、日帰り温泉「ラグーナの湯」、ロボットホテル「変なホテル」など、先進のリゾートが満載。,,(1)【公共交通機関利用】JR蒲郡駅から無料シャトルバスで約15分 (2)【車利用】東名高速道路音羽蒲郡ICよりオレンジロード・247号中央バイパスを経由し、音羽蒲郡IC ～ラグーナテンボスで約20分（約12km） ,"乗用車：約2,230台（有料）バス：約35台（無料）二輪：280台（無料）",,ラグーナテンボスインフォメーションセンター,(0570)097117,,,,https://www.lagunatenbosch.co.jp/index.html,
232149,0000000003,愛知県,蒲郡市,竹島ファンタジー館,タケシマファンタジーカン,,0801,蒲郡市竹島町28-14,,34.814715,137.238861,日月火木金土,09:00,17:00,3月～6月、9月～10月は、9:00～17:007月～8月は、9:00～17:3011月～2月は、9:00～16:30,"1,000円","大人1,000円　小人（小・中学生）500円  幼児(3歳以上)300円　シニア割引(60歳以上)800円 障害者割引　割引対象となる方 本人及び介護者　年齢に関係なく一律200円引※障害者手帳をお持ちの方はご提示ください。 【団体】10名様以上1割引,30名様以上用相談※大人料金のみ割引対象となります",世界110カ所から集めた、大小5500万個の貝で創られたテーマパークです。同館キャラクター、ミシェルとガマゴと一緒に4カ所のミニシアターを見ながら海底冒険をする「歩く映画館」です。 最新のＬＥＤイルミネーションが放つ美しい光と音・映像から創り出す、新お伽噺は貝の国ならではのファンタジックな世界です。,,JR・名鉄「蒲郡」駅下車、徒歩約20分,100台,,竹島ファンタジー館,(0533)66-3888,,,,http://www.fantasykan.jp/,
232149,0000000004,愛知県,蒲郡市,蒲郡オレンジパーク,ガマゴオリオレンジパーク,,0304,蒲郡市清田町小栗見1-93,,34.854678,137.240782,日月火水木金土,09:00,17:00,年中無休,時期により異なる,時期により異なる,1月?5月初旬はいちご狩り、6月?9月はメロン狩り、6月中旬?9月中旬はぶどう狩り、10月?12月下旬はみかん狩りと１年中季節の様々なフルーツ狩りが楽しめます。団体が利用できる大型のレストランや三河名産品の土産販売もしております。,,JR・名鉄「蒲郡」駅からタクシー(73号線)で約10分,・一般：約100台・大型バス：約15台,多目的トイレ有り,蒲郡オレンジパーク,0533-68-2321,,,,http://www.orepa.jp/,
232149,0000000005,愛知県,蒲郡市,蒲郡市観光交流センター（ナビテラス）,ガマゴオリシカンコウコウリュウセンター,,1001,蒲郡市元町1-3,,34.823045,137.226115,日月火水木金土,09:00,19:00,1月1日から同月3日まで及び12月31日は利用不可。,無料,,蒲郡の魅力を市内外に伝え、多くの人たちが交流する蒲郡市の観光交流拠点で、誰でもぶらりと自由に立ち寄り、気軽に訪れ、楽しく利用できる。観光情報や、市内のイベント情報、お得な情報などを発信している。,,JR蒲郡駅構内,蒲郡駅北口に公共駐車場あり（有料）,多目的トイレ有り,蒲郡市観光協会,(0533)68-2526,,,,https://www.city.gamagori.lg.jp/unit/kankoshoko/naviterrace.html,
232149,0000000006,愛知県,蒲郡市,蒲郡市竹島水族館,ガマゴオリシタケシマスイゾクカン,,0807,蒲郡市竹島町1-6,,34.817232,137.231990,日月水木金土,09:00,17:00,毎週火曜日(国民の祝日が火曜日に当たるときは、その翌日)及び12月29日から同月31日までは利用不可。,500円,"大人（高校生以上）1人1回につき500円。小人（小・中学生）1人1回につき200円。【年間入館料】大人（高校生以上）1,250円。小人（小・中学生）500円。",約500種の魚を展示しています。館内の展示の高さが低く、お子様連れにとても優しい水族館です。最近話題の深海の生き物は全国一の展示種数です（当館調べ）。全国で竹島水族館でしか見られない生き物もいます。また、館内の展示や生き物の解説プレートはほとんど担当飼育員が手作りで作成しています。,,（車で）東名高速道路「音羽蒲郡インター」よりオレンジロード（無料）経由、道なりにまっすぐ南へ約15分＜名古屋方面より＞２３号線バイパス終点蒲郡インターより南へ道なりにまっすぐ約１０分（電車で）ＪＲ東海道本線または名鉄蒲郡線　蒲郡駅南口より徒歩約15分蒲郡駅南口よりバスで約5分「竹島遊園」で下車。,水族館前駐車場　約４０台（無料）竹島園地駐車場　約２００台（平日無料）※土、日、祝日、および４月２７日から５月８日までは有料（４月、５月は５００円それ以外の月は３００円）大型バス駐車場　１４台（無料）※普通車の駐車はできません,車椅子貸し出し ・ ベビーカー ・ バリアフリートイレ ・ オムツ換えシートあり,竹島水族館,(0533)68-2059,,,,https://www.city.gamagori.lg.jp/site/takesui/,
232149,0000000007,愛知県,蒲郡市,蒲郡市文学記念館（海辺の文学記念館）,ガマゴオリシブンガクキネンカン,,0803,蒲郡市竹島町15-62,,34.814968,137.234918,日月火水木金土,09:00,17:00,年中無休,無料,,ノーベル文学賞を受賞した「川端康成氏」をはじめ、蒲郡市出身の直木賞受賞作家 「宮城谷昌光氏」や芥川賞受賞作家「平野啓一郎氏」の作品なども展示してあります。 大正・昭和初期の日本の文人達に愛された、旅館「常磐館」の趣を再現した竹島近くの文学歴史記念館です。館内で、5年後?10年後の未来に手紙を投函することもできます。,,JR「名古屋」駅から、JR「蒲郡」駅下車。東へ徒歩で15分、または「竹島遊園」バス停前下車、10分,竹島周辺市営駐車場を利用,,海辺の文学記念館,0533-67-0070,,,,https://www.city.gamagori.lg.jp/unit/kankoshoko/bungakukan.html,
232149,0000000008,愛知県,蒲郡市,竹島レストハウス,タケシマレストハウス,,1099,蒲郡市竹島町25-1,,34.815992,137.232649,日月木金土,10:00,16:30,火、水曜定休・年末年始休業・臨時休業有,無料,,竹島園地俊成苑内にあり、現在は竹島クラフトセンター（手織り教室及び三河木綿製品販売）として営業中。穏やかで美しい竹島海岸を散策後、竹島クラフトセンターで三河木綿の手織体験でゆったり充実したひとときを過ごすことができる。専門スタッフの指導も受けることができる。,,JR「名古屋」駅から、JR「蒲郡」駅下車。東へ徒歩で15分、または「竹島遊園」バス停前下車、5分,水族館前駐車場　約４０台（無料）竹島園地駐車場　約２００台（平日無料）※土、日、祝日、および４月２７日から５月８日までは有料（４月、５月は５００円それ以外の月は３００円）大型バス駐車場　１４台（無料）※普通車の駐車はできません,,竹島クラフトセンター,090-5100-8109,,,,http://www.gamagori.jp/play/detail_87_0_8_0_0.html,
232149,0000000009,愛知県,蒲郡市,西浦レストハウス,ニシウラレストハウス,,1099,愛知県蒲郡市西浦町大山25,,34.768951,137.174510,日月火水木金土,,,,無料,,西浦温泉旅館組合の建物の下にある西浦温泉バス停待合室を兼ねた建物。,,蒲郡駅より名鉄バス乗車、バス停「西浦温泉前」下車,,,蒲郡市観光商工課,(0533)66-1120,,,,,
232149,0000000010,愛知県,蒲郡市,西浦園地,ニシウラエンチ,,1002,蒲郡市西浦町大山地内,,34.768387,137.170165,日月火水木金土,,,,無料,,夕日が彩る丘があり、三河湾の絶景を見渡すことができる。例年、３月末から４月はじめに西浦観光協会の主催で桜まつりが開催されている。,,蒲郡駅より名鉄バス乗車、バス停「西浦温泉前」下車後、徒歩約5分,西浦園地前駐車場に23台駐車可能,,蒲郡市観光商工課,(0533)66-1120,,,,http://www.gamagori.jp/look/detail_70_1_12_0_0.html,
