名称,住所,緯度,経度
伊佐ノ浦公園,西海市西海町中浦南郷1133-48,33.0144945,129.6828924
七ツ釜鍾乳洞公園,西海市西海町中浦北郷2774-1,33.0244748,129.6585838
道の駅「さいかい」,西海市西海町木場郷488-1,33.0436239,129.693684
石原岳森林公園,西海市西海町横瀬郷,33.0874861,129.6846252
横瀬浦公園,西海市西海町横瀬郷2933-12,33.0818041,129.7010761
虚空蔵山公園,西海市西海町太田和郷4600-40,33.047829,129.688524
四本堂公園,西海市西彼町白崎郷637,33.0211286,129.7621979
八人ヶ岳公園,西海市西彼町平山郷字八人ヶ平一帯,32.9975531,129.7191207
"福島地区総合交流促進施設
（尻久砂里海浜公園）",西海市大瀬戸町瀬戸福島郷258,32.924785,129.6398084
雪浦海浜公園,西海市大瀬戸町雪浦,32.9190379,129.6582194
大瀬戸やすらぎ交流拠点施設（音浴博物館）,西海市大瀬戸町雪浦河通郷342-80,32.9263995,129.7088989
つがね落としの滝,西海市大瀬戸町雪浦河通郷小野390,32.9149988,129.6969752
大島崎戸観光案内所,西海市大島町1367-1,33.0371426,129.6332079
大島大橋公園,西海市大島町1376-2,33.0360794,129.6352996
大島大釜海岸ふれあいの浜広場,西海市大島町2598,33.0307702,129.6077607
崎戸さんさん元気らんど,西海市崎戸町蠣浦郷1012,33.0157686,129.5726798
崎戸エントランス広場,西海市崎戸町蠣浦郷467-9他,33.027022,129.577937
崎戸33度線展望台,西海市崎戸町本郷335-1,33.0039558,129.5411234
長崎バイオパーク,西海市西彼町中山郷2291-1,32.988408,129.7810003
長崎オランダ村,西海市西彼町喰場郷1683-4,32.9949756,129.7544967
日本一小さな公園,西海市大瀬戸町松島,32.9288506,129.594409
崎戸海浜公園,西海市崎戸町蠣浦郷83-3,33.022673,129.563305
柳の浜海浜公園,西海市大瀬戸町多以良外郷2394-4,32.991508,129.644361
