市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,POIコード,住所,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,バリアフリー情報,連絡先名称,連絡先電話番号,備考
022063,0000000001,青森県,十和田市,十和田市馬事公苑『駒っこランド』,トワダシバジコウエン「コマッコランド」,1009,青森県十和田市大字深持字梅山1番地1,40.614413,141.130273,火水木金土日,08:30,18:00,"毎週月曜日（その日が祝日の場合は翌日）及び12/29,30,31,1/1,2,3は休苑日",観覧料：一般310円、高校・大学生105円,"団体（20人以上）割引有り
その他利用料金有り",全国でも珍しい、馬の文化資料館「称徳館」では数多くの資料を展示しているほか、東北有数の巨大ローラー滑り台をはじめとした遊具が満載で、こどもからお年寄りまで楽しめます。,"Many documents and materials about a horse are exhibited in a horse museum, Shotoku-kan.This kind of museum is rare in the whole country.  In the playground, there are also lots of playground equipment included a huge roller slide is one of the largest in Tohoku region.","十和田市中央バス停から車で約15分
ＪＲ東北新幹線七戸十和田駅から車で約25分",多目的トイレ有り;車椅子貸出有り,十和田市馬事公苑称徳館,0176-26-2100,
022063,0000000002,青森県,十和田市,十和田市現代美術館,トワダシゲンダイビジュツカン,0802,青森県十和田市西二番町10番9号,40.6140946,141.209135,火水木金土日,09:00,17:00,"毎週月曜日（その日が祝日の場合は翌日）及び12/29,30,31,1/1は休館日。
年３回、計10日のメンテナンス休館日あり。",常設展示観覧料：大人　520円、高校生以下　無料,"常設展示観覧料：団体(20人以上)　大人　410円
企画展示観覧料：都度設定",作品ごとに１つの部屋を与え、ガラスの通路でつなぐユニークな外観。作品は、館内・館外あわせて33組のアーティストによる38点の常設展、国内外の様々なアーティストによる企画展を開催しています。,"The various sized exhibition rooms are jointed by glass a glass hallway.  In this unique style of an art museum,  38 works created by 33 individuals and units are exhibited  inside and  in spaces outdoors which resemble the whole of Kanchogai Street being in one art museum permanently . Works of modern artist active on the world stage are also exhibited temporary.","・三沢空港から車で40分
・青森空港から車で1時間30分
・東京駅から七戸十和田駅まで新幹線で3時間10分。七戸十和田駅からバスで40分。",多目的トイレ有り;車椅子貸出有り,十和田市現代美術館,0176-20-1127,
022063,0000000003,青森県,十和田市,道の駅とわだ　とわだぴあ,ミチノエキトワダ,1510,青森県十和田市大字伝法寺字平窪37番地2,40.574645,141.264612,月火水木金土日,09:00,20:00,"通年開館。
11月から３月は09：00〜19：00開館","入場無料。休憩コーナーあり。
24時間利用可能なトイレ整備。",産直品・物産品の販売・レストラン・軽食コーナーあり。,「特産品販売コーナー」では、十和田市や青森県のお土産、加工品を豊富に揃えており、「農産物直売コーナー」では、地元農家による季節ごとの新鮮な野菜を提供しています。,"There is a ""tokusanhin corner"" where various  kind of local souvenirs are on sale. There are also a ""sanchoku corner"" where local fresh agricultural products every season are on sale along with processed goods.","・JR七戸十和田駅から車で30分。
・第2みちのく有料道路下田I.Cから国道45号線を十和田市方面に車で30分。
・JR八戸駅から車で35分
・三沢空港から車で40分","多目的トイレ有り;車椅子貸出有り;
身障者用駐車場あり",道の駅とわだ　とわだぴあ,0176-28-3790,
022063,0000000004,青森県,十和田市,道の駅とわだ　匠工房,ミチノエキトワダ　タクミコウボウ,1010,青森県十和田市大字伝法寺字平窪37番地2,40.575162,141.264172,火水木金土日,10:00,16:00,"毎週月曜日（その日が祝日の場合は翌日）及び12/29,30,31,1/1,2,3は休館日",入場無料。,"農産物加工体験　1000円〜
工芸品制作体験　1630円〜
農アイス販売あり",裂いた木綿の布を織り込み、古布を再生する「南部裂織」の見学・体験や、十和田産の大豆と米を使用し、旬の農産物のソースをかけた「農アイス」が楽しめます。,"Visitors can try weaving , sakiori that is a handcraft born of the ingenuity of women, in Takumikobo.Visitors can also enjoy eating a popular soft cream based made from local soy beans and rice with sauce topping made from vegetables or fruits of the  season.","・JR七戸十和田駅から車で30分。
・第2みちのく有料道路下田I.Cから国道45号線を十和田市方面に車で30分。
・JR八戸駅から車で35分
・三沢空港から車で40分",多目的トイレ有り;車椅子貸出有り,道の駅とわだ　とわだぴあと同じ,0176-28-3790,
022063,0000000005,青森県,十和田市,道の駅奥入瀬　四季彩館,ミチノエキオイラセ　シキサイカン,1510,青森県十和田市大字奥瀬字堰道39番地1,40.585523,141.117858,月火水木金土日,09:00,18:00,"12/31、1/1は休館日
4/27〜5/6,8/10〜8/17は9:00〜19:00開館",入場無料。産直品・物産品の販売・喫茶コーナーあり。,喫茶コーナーコーヒー　380円　など,木の温もりがあふれる東北最大級のカナディアン・ログハウスは、十和田・奥入瀬をはじめとした県内の名産品・特産品を取り扱う物産館です。,"Shikisai-kan, a Canadian log house which people feel the warmth of wood, is convenient for shopping because of a wide range of souvenirs and local products.",十和田市役所から車で15分,道の駅の敷地内に多目的トイレあり,（一財）十和田湖ふるさと活性化公社,0176-72-3201,
022063,0000000006,青森県,十和田市,道の駅奥入瀬　味蕾館,ミチノエキオイラセ　ミライカン,2401,青森県十和田市大字奥瀬字堰道39番地1,40.585161,141.117367,月火水木金土日,11:00,19:00,12月中上旬〜3月は休館。,地元産の和牛などを用いたステーキ・ハンバーグ等を提供。,"青森県産黒毛和牛リブロースステーキ150g　3240円
など",県産黒毛和牛を中心に、色々な肉料理が楽しめるレストラン。ウッディな造りの店内でゆっくりくつろぎながら食事を楽しむことができます。,"Japanese black beef is served as a main menu in a steak house, ""Mirai-kan"". Customers enjoy eating and relax with a good atmosphere of woody taste. ",十和田市役所から車で15分,スロープあり,道の駅奥入瀬　味蕾館,0176-72-3341,
022063,0000000007,青森県,十和田市,道の駅奥入瀬　奥入瀬麦酒館,ミチノエキオイラセ　オイラセビールカン,2401,青森県十和田市大字奥瀬字堰道39番地1,40.585173,141.116761,月火水木金土日,11:00,19:00,12/31、1/1は休館。,奥入瀬ビール、地元の農産物を用いた料理を提供。,"十和田ガーリックポークバラ焼きセット　1296円
奥入瀬ビール　各種486円　　など",奥入瀬の源流水で仕込んだこだわりの地ビールと、地元食材をふんだんに用いた料理を味わえるビアレストランです。,Oirase Beer is brewed with carefully selected molt and hops with  water from the water sauce of Oirase. Oirase Beer and dishes made using vegetables and products grown in local are served in this restaurant.,十和田市役所から車で15分,スロープあり,道の駅奥入瀬　奥入瀬麦酒館,0176-72-3231,
022063,0000000008,青森県,十和田市,道の駅奥入瀬　味楽工房,ミチノエキオイラセ　ミラクコウボウ,2720,青森県十和田市大字奥瀬字堰道39番地1,40.585206,141.116063,月火水木金土日,09:00,16:30,11月上旬〜4月下旬は休館,食品加工室：半日1290円　その他乳製品の販売あり。,奥入瀬飲むヨーグルト150ｍｌ　162円　など,地元で飼育・生産された生乳を使用し、乳製品を製造・販売。製造の様子をガラス越しに見学することができます。,Miraku-kobo produces dairy products that is made using milk of local production.  It is possible to view a producing process.,十和田市役所から車で15分,-,道の駅奥入瀬　味楽工房,0176-72-3101,
022063,0000000009,青森県,十和田市,奥入瀬渓流館,オイラセケイリュウカン,1001,青森県十和田市大字奥瀬字栃久保183番地,40.574723,140.978893,月火水木金土日,09:00,16:30,通年営業。臨時休業あり。,入場無料。物産品、苔玉制作体験および販売あり。,"こけソフト（ソフトクリーム）
苔玉制作体験　　　　　など",奥入瀬渓流の東口に位置する、奥入瀬観光の拠点施設。苔玉やキャンドルの制作体験も好評。,This is located  in a  east exit of Oirase Gorge. This tourist facility is used as a start point.Tourists can also try to make Moss ball and candles.,"JR東北新幹線七戸十和田駅からバスで1時間
十和田市役所から車で30分",-,奥入瀬渓流館,0176-74-1233,
022063,0000000010,青森県,十和田市,奥入瀬湧水館,オイラセユウスイカン,1001,青森県十和田市大字奥瀬字栃久保183番地,40.574723,140.978893,月火水木金土日,09:00,16:30,通年営業。臨時休業あり。,入場無料。喫茶コーナーあり。,-,奥入瀬源流水の製造施設。ボトル詰めの様子を見学することができます。カヌーツアーなどアクティビティの申込もこちら。,Yusui-kan is a sterilization and bottling factory of water from the water source of Oirase.It is available to view a bottling process.,"JR東北新幹線七戸十和田駅からバスで1時間
十和田市役所から車で30分",-,奥入瀬湧水館,0176-74-1212,
