都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,
322075,1,島根県,江津市,今井美術館,イマイビジュツカン,Imai Museum,0802a,島根県江津市桜江町川戸472−1,,34.9543,132.335,毎月第1土日、第3土日以外,10:00,16:00,休館日毎月第1土日、第3土日,500円,20名以上は400円、学生は無料,白壁の土蔵を模した美術館です。日本画、洋画、屏風画をはじめ、多くの展示品がある他、期間限定で個展等も企画します。,,浜田自動車道旭ICから車で20分,有,,今井美術館,0855-92-1839,,,,https://www.iwami-art.jp,,
322075,2,島根県,江津市,VOGA Watch Museum & Caf?,ヴォガウォッチミュージアムアンドカフェ,VOGA Watch Museum & Caf?,0801a,島根県江津市波子町イ1255−230,,34.9635,132.1468,月木金土日,10:00,17:00,毎週火曜日、水曜日　休館日,大人600円、中学生以下300円,カフェご利用のお客様　入館料大人500円、中学生以下無料,館内では希少とされる数々の名品を多数展示し、写真では決して感じられない質感、色合い、大きさなど心ゆくまで存分に観ることができます。,,JR波子駅から徒歩10分,有,,VOGA　Watch Museeum＆Caf?,0855-52-7565,,,,https://voga-museum.com/,,
322075,3,島根県,江津市,菰沢公園,コモサワコウエン,Komosawa Park,1003a,島根県浅利町,,35.0266,132.2791,4月下旬〜10月31日,0:00,23:59,11月〜4月中旬まで休業,"個別サイト　3,630円、3,300円（1泊）","日帰り1,760円、個別サイト10戸",菰沢公園を中心に大型遊具や芝生広場、スケートボードやバスケが楽しめる広場に加え、キャンプ体験が可能です。,,江津道路江津ICから車で10分,有,,菰沢公園オートキャンプ場,0855-55-1188,,,,https://gotsu-kanko.jp/kankou/camp/komosawacamp,,
322075,4,島根県,江津市,椿の里,ツバキノサト,Camellia Forest,0202a,島根県江津市島の星町122-1,,34.9873,132.2329,12月〜5月が花の見頃,0:00,23:59,,無料,,島の星山の中腹に位置し、世界各地の椿の花が植えられ、100種類700本の早咲きや遅咲きなど7カ月の間、花が楽しめます。,,JR江津駅から車で10分,有,,島の星椿の里会（江津商工会議所内）,0855-52-2268,,,,https://gotsu-kanko.jp/kankou/shizen/tsubakinosato,,
322075,5,島根県,江津市,小川庭園,オガワテイエン,Ogawa Garden,0611a,島根県江津市和木町165,,34.9975,132.1985,月火木金土日,9:00,17:00,定休日は水曜日。事前に電話予約が必要。,500円,,1460年に招かれた雪舟が築いたと言われ、中国の仙人が住むという深山幽谷をそのまま庭にうつした庭園となっております。,,JR江津駅から車で8分,有,,小川家　雪舟庭園,0855-53-1213,,,,https://gotsu-kanko.jp/kankou/rekishi/ogawasesshiteoen,,
322075,6,島根県,江津市,岩瀧寺の滝,ガンリュウジノタキ,Ganryuji Temple Natural Forests,0113a,島根県江津市波積町本郷178-12,,35.0357,132.323,年中利用可能,0:00,23:59,,無料,,その昔、この地にたどりついた修行僧が開いたという、「古刹岩瀧寺」。幅18ｍ、延長約121ｍの四段の滝です。,,JR浅利駅から車で15分,有,,江津市観光協会,0855-52-0534,,,,https://gotsu-kanko.jp/kankou/shizen/ganryuji,,
322075,7,島根県,江津市,波子海水浴場,ハシカイスイヨクジョウ,Hashi Beach,1157a,島根県江津市波子町,,34.9657,132.1472,7月〜8月,0:00,23:59,監視期間7月中旬〜8月中旬,無料,駐車料金普通車1000円,国道9号線沿いに続く長い海岸は、腰高の遠浅で、心ゆくまで海の楽しさを味わえます。,,JR波子駅から徒歩10分,有,,石見海浜公園管理センター,0855-28-3600,,,,https://gotsu-kanko.jp/kankou/camp/hashikaisuiyokujo,,
322075,8,島根県,江津市,黒松海水浴場,クロマツカイスイヨクジョウ,Kuromatsu Beach,1157a,島根県江津市黒松町,,35.0577,132.311,7月〜8月,0:00,23:59,監視期間7月中旬〜8月中旬,無料,,国道9号線沿いに続く長い海岸は、腰高の遠浅で、心ゆくまで海の楽しさを味わえます。,,江津道路江津ICから車で15分,無,,江津市観光協会,0855-52-0534,,,,https://gotsu-kanko.jp/kankou/camp/kuromatsu,,
322075,9,島根県,江津市,浅利海水浴場,アサリカイスイヨクジョウ,Asari Beach,1157a,島根県江津市浅利町,,35.0381,132.2612,7月〜8月,0:00,23:59,監視期間7月中旬〜8月中旬,無料,,国道9号線沿いに続く長い海岸は、腰高の遠浅で、心ゆくまで海の楽しさを味わえます。,,江津道路江津ICから車で10分,無,,江津市観光協会,0855-52-0534,,,,https://gotsu-kanko.jp/kankou/camp/asarikaisuiyokujo,,
322075,10,島根県,江津市,今田水神の大ケヤキ,イマダスイジンノオオケヤキ,Big zelkova of Imada Suijin,0315a,島根県江津市桜江町今田231,,34.9415,132.3232,年中利用可能,0:00,23:59,,無料,,八戸川の清流に面して立つ樹齢400年〜500年の大ケヤキで、島根県指定の天然記念物です。,,浜田自動車道旭ICから車で25分,無,,江津市観光協会桜江支部,0855-92-1331,,,,https://www.sakurae-kanko.jp/,,
