市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,郵便番号,料金要否,駐車場_有無,利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像_詳細,最終確認日
132292,0000000001,東京都,西東京市,JA東京みらい 田無支店,ジェイエイトウキョウミライ　タナシシテン,,2614a,東京都西東京市田無町5-10-1,,35.731285,139.540245,月火木金,13:00,16:00,,,,農産物直売所,,田無駅北口徒歩3分,なし,なし,JA東京みらい 田無支店指導経済課,042-461-8047,,,,,,188-0011,0,0,0,,0,,,2019-02-21
132292,0000000002,東京都,西東京市,JA東京みらい 保谷支店,ジェイエイトウキョウミライ　ホウヤシテン,,2614a,東京都西東京市泉町3-1-1,,35.737637,139.553134,火金,09:00,12:00,,,,農産物直売所,,田無駅保谷駅間西武バス「保谷郵便局」下車,なし,なし,JA東京みらい 保谷支店指導経済課,042-421-6479,,,,,,202-0011,0,0,0,,0,,,2019-02-21
132292,0000000003,東京都,西東京市,東伏見ふれあいプラザ,ヒガシフシミフレアイプラザ,,2614a,東京都西東京市富士町4-33-15 飯田ビル1階,,35.72906,139.562586,金,09:00,12:00,,,,農産物直売所,,東伏見駅北口徒歩3分,なし,なし,東伏見ふれあいプラザ,042-466-1347,,,,,,202-0014,0,0,0,,0,,,2019-02-21
132292,0000000004,東京都,西東京市,東京大学大学院農学生命科学研究科附属演習林　田無演習林,トウキョウダイガクダイガクインノウガクセイメイカガクケンキュウカフゾクエンシュウリン　タナシエンシュウリン,,1506a,東京都西東京市緑町1-1-8,,35.7395,139.5377,月火水木金,09:00,16:30,祝日・年末年始を除く。荒天・強風時には予告 なく公開を中止することがあります。 ,無料,,東京大学の教育研究施設であり、学生の教育や研究のために管理運営されています。見学路は公開されており、自然観察ができます。,,"田無駅北口から徒歩15分
田無駅北口から西武バスひばりヶ丘行（境04）で六角地蔵尊前下車
ひばりヶ丘駅南口より西武バス武蔵境駅行（境04）で六角地蔵尊前下車
武蔵境駅北口より西武バスひばりヶ丘行（境04）で六角地蔵尊前下車",なし,なし,東京大学演習林田無演習林,042-461-1528,,,,http://www.uf.a.u-tokyo.ac.jp/tanashi/index.html,,188-0002,0,0,1,"10名未満の場合は庁舎玄関前の記帳簿に必要事項を記入して見学
10名以上の団体は利用日の前月15日までに見学利用申込書を提出して許可を受ける必要あり
見学路以外の立ち入り、動植物採集、身体上の理由又は団体利用による自動車の乗り入れ及び駐車は見学利用日の前月15日までに申し込みして許可を受ける必要あり",0,,,2019-03-07
132292,0000000005,東京都,西東京市,郷土資料室,キョウドシリョウシツ,,1599a,東京都西東京市西原町四丁目5番6号　,西原総合教育施設内,35.73667,139.52918,水木金土日,10:00,17:00,１月１日から４日、12月28日から31日は休室,,,郷土資料室は、市内の郷土資料（考古資料・歴史資料・民具・民俗資料）を収集・保管・保存・展示するための施設です。,,"西武池袋線「ひばりヶ丘」駅南口より　西武バス「【境07】武蔵境駅行」「【田44】田無駅行」乗車約20分　「西原グリーンハイツ」下車徒歩３分
西武新宿線「田無」駅北口より　西武バス「【田44/境07】ひばりヶ丘駅行」乗車約10分　「西原グリーンハイツ」下車徒歩３分",西原総合教育施設共有の駐車場のため、台数に限りがあります。10台程度。,なし,郷土資料室（西東京市教育委員会教育部社会教育課）,042-467-1183,,,,http://www.city.nishitokyo.lg.jp/sisetu/other/kyodo.html,,188-0004,0,1,0,,0,,,2019-02-27
132292,0000000006,東京都,西東京市,多摩六都科学館,タマロクトカガクカン,,1599a,東京都西東京市芝久保町五丁目10番64号,,35.734443,139.523546,火水木金土日,09:30,17:00,"休館日：月曜日（祝日及び振替休日は開館し、翌日休館）
祝日の翌日、年末年始等の休館日あり。
※春、夏、冬休み期間中は月曜日も開館","入館券
(大人500円、子ども200円)
観覧付入館券
(大人1,000円、子ども400円)","20名以上は団体割引
年間パスポートあり",「最も先進的」として世界一に認定されたプラネタリウムのある科学館,,"西武新宿線花小金井駅北口から「はなバス」で６分
中央線武蔵小金井駅北口からバスで20分徒歩15分","有り
普通車：入庫後30分無料、以降30分毎に100円(最大700円)
バス：1日2,000円(要予約・10台まで)",全館車椅子での観覧可能(各種障害者手帳ご提示で本人と介助の方1名まで料金免除あり),多摩六都科学館,042-469-6100,,,,http://www.tamarokuto.or.jp/,,188-0014,1,1,1,バスは要予約,0,,,2019-02-08
132292,0000000007,東京都,西東京市,保谷こもれびホール,ホウヤコモレビホール,,1016a,東京都西東京市中町一丁目5番1号,,35.741392,139.55824,月火水木金土日,09:00,22:00,休館日：５、８、11、２月の第２火曜日、年末年始（12月29日から１月３日まで）,,詳細はホームページをご覧いただくか、施設へお問い合わせください。,"メインホール　662席
小ホール　250席
リハーサル室　217平方メートル
音楽練習室　100平方メートル
会議室　定員14人
カフェラウンジはなみずき",,西武池袋線保谷駅南口から徒歩15分,なし,多目的トイレ有り;車椅子貸出有り;盲導犬・介助犬・聴導犬同伴可;スロープ有り;エレベーター有り;手すり有り;点字ブロック有り;施設使用者用の駐車場有り（来館者用の駐車場なし）,保谷こもれびホール,042-421-1919,,,,http://www.city.nishitokyo.lg.jp/sisetu/hall/komorebi.html,,202-0013,1,0,0,,0,,,2019-03-04
132292,0000000008,東京都,西東京市,スポーツセンター,スポーツセンター,,1199a,東京都西東京市中町1-5-1,,35.74228,139.558951,月火水木金土日,09:00,22:00,休館日：毎月第１火曜日（祝日の場合は翌日）、年末年始（12月29日から１月１日まで）,,"【貸切利用】
第１体育室（全面）7600円（３時間）
第１体育室（半面）3800円（３時間）
第２体育室2100円（３時間）
会議室1200円（３時間）
放送設備500円（３時間）
温水プール3000円（１コース２時間）

【個人利用】
第１体育室（開放）大人250円、子ども100円
トレーニング室（15歳以上）300円（２時間以内）、超過料金150円（１時間）
ランニング走路大人100円、子ども50円（２時間以内）、超過料金50円（１時間）
温水プール大人400円、子ども100円（２時間以内）、超過料金大人200円（１時間）、超過料金子ども50円（１時間）

",西東京市スポーツセンターは、近隣をはじめ、多くの小さなお子様からご年配の方々まで楽しく集える憩いの場として、皆様をサポートしていきます。また、西東京市唯一の温水プールがあり年中ご利用が可能です。楽しくみんなで汗をかけるエアロビクス等の教室もございます。,,"西武池袋線保谷駅から「吉祥寺」行き・「三鷹」行き・「田無駅」行きバスで「西東京市役所保谷庁舎」下車
西武池袋線ひばりヶ丘駅からはなばす第２ルートで「西東京市役所保谷庁舎」下車
西武新宿線田無駅から「保谷駅」・「天神山」行きバスで「西東京市役所保谷庁舎」下車
西武新宿線西武柳沢駅バス停「柳沢通り」から「保谷駅」・「天神山」行きバスで「西東京市役所保谷庁舎」下車
西武新宿線東伏見駅からはなばす第２ルートで「西東京市役所保谷庁舎」下車
JR中央線吉祥寺駅（東伏見経由）（柳沢駅通り経由）・三鷹駅（柳沢駅通り経由）から「保谷駅」・「天神山」行きバスで「西東京市役所保谷庁舎」下車",なし,多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;エレベーター有り;手すり有り;スロープ有り（正面入口）,スポーツセンター,042-425-0505,,http://www.city.nishitokyo.lg.jp/opendata/picture/sportscenter.png,,http://www.city.nishitokyo.lg.jp/sisetu/sports/sports.html,,202-0013,1,0,1,"貸切利用をするには団体登録（10人以上）が必要です。
スポーツセンター、総合体育館、きらっとの窓口で登録してください。",0,,,2019-02-25
132292,0000000009,東京都,西東京市,南町スポーツ・文化交流センター,ミナミチョウスポーツ・ブンカコウリュウセンター,,1199a,東京都西東京市南町5-6-5,,35.725602,139.537498,月火水木金土日,09:00,21:00,休館日：毎月第１火曜日（祝日の場合は翌日）、年末年始（12月29日から１月３日まで）,,"【貸切利用】
第１体育室5400円（３時間）
第２体育室1800円（３時間）
武道場2500円（３時間）
多目的ホール2400円（３時間）
会議室1200円（３時間）

【個人利用】
第１体育室（開放）大人250円、子ども100円
",南町スポーツ・文化交流センターきらっとは、卓球・バドミントン等様々なスポーツ種目で汗を流すことができます。また、きらっとでしか行っていない社交ダンスの開放日もございます。楽しくみんなで汗をかけるエアロビクス等の教室もございます。,,"西武新宿線田無駅南口から徒歩４分
西武池袋線ひばりヶ丘駅から「武蔵境駅」行き・「田無駅」行きバスで「田無駅」下車、南口へ出て徒歩４分",あり,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;盲導犬・介助犬・聴導犬同伴可;段差無し;エレベーター有り;手すり有り;点字ブロック有り,南町スポーツ・文化交流センター,042-451-0555,,http://www.city.nishitokyo.lg.jp/opendata/picture/kiratto.png,,http://www.city.nishitokyo.lg.jp/sisetu/sports/taiikukan.html,,188-0012,1,1,1,"貸切利用をするには団体登録（10人以上）が必要です。
スポーツセンター、総合体育館、きらっとの窓口で登録してください。",0,,,2019-02-25
132292,0000000010,東京都,西東京市,総合体育館,ソウゴウタイイクカン,,1199a,東京都西東京市向台町5-4-20,,35.72003,139.529959,月火水木金土日,09:00,22:00,休館日：毎月第１火曜日（祝日の場合は翌日）、年末年始（12月29日から１月３日まで）,,"【貸切利用】
第１体育室（全面）7600円（３時間）
第１体育室（半面）3800円（３時間）
第２体育室2100円（３時間）
第１会議室800円（３時間）
第２会議室400円（３時間）

【個人利用】
第１体育室（開放）大人250円、子ども100円
第２体育室（開放）大人250円、子ども100円
トレーニング室（15歳以上）300円（２時間以内）、超過料金150円（１時間）


",西東京市総合体育館は、卓球・バドミントン等様々なスポーツ種目で汗を流すことができます。また、全身をトレーニングすることができる最新マシンを設置しております。楽しくみんなで汗をかけるエアロビクス等の教室もございます。,,"西武新宿線田無駅から徒歩18分
西武新宿線田無駅からはなばす第３ルートで「市民公園前」下車
JR中央線武蔵境駅から関東バス「向台町５丁目」行きバスで「向台町５丁目」下車、徒歩４分
JR中央線武蔵境駅から関東バス「花小金井駅南口」行きバスで「上向台」下車、徒歩２分
JR中央線吉祥寺駅から関東バス「向台町５丁目」行き、「向台町５丁目」下車、徒歩４分
",あり,優先駐車場有り;多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;エレベーター有り;手すり有り;スロープ有り（正面入口）,総合体育館,042-467-3411,,http://www.city.nishitokyo.lg.jp/opendata/picture/sogotaiikukan.png,,http://www.city.nishitokyo.lg.jp/sisetu/sports/sogo.html,,188-0013,1,1,1,"貸切利用をするには団体登録（10人以上）が必要です。
スポーツセンター、総合体育館、きらっとの窓口で登録してください。",0,,,2019-02-25
