都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金.基本.,料金.詳細.,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
271004,,大阪府,大阪市,大阪市立浪速図書館,オオサカシリツナニワトショカン,,,浪速区敷津西1-5-23,,34.6585779,135.49596880000001,,,,,,,,,,,https://www.osaka-heartfulweb.jp/100501.html,大阪市立浪速図書館,06-6632-4946,,,,http://www.oml.city.osaka.jp/info/59naniwa/,文化・観光/図書館
271004,,大阪府,大阪市,大阪科学技術館,オオサカカガクギジュツカン,,,西区靱本町1-8-4,,34.6864329,135.4961891,,,,,,,,,,,https://www.osaka-heartfulweb.jp/060401.html,大阪科学技術館,06-6441-0915,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,住まいのミュージアム「大阪くらしの今昔館」,スマイノミュージアム「オオサカクラシノコンジャクカン」,,,北区天神橋6-4-20,,34.7102359,135.5116668,,,,,,,,,,,,住まいのミュージアム「大阪くらしの今昔館」,06-6242-1170,,,,http://konjyakukan.com/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立住之江図書館,オオサカシリツスミノエトショカン,,,住之江区南加賀屋3-1-20,,34.606406,135.4749253,,,,,,,,,,,,大阪市立住之江図書館,06-6683-2788,,,,http://www.oml.city.osaka.jp/info/69suminoe/index.html,文化・観光/図書館
271004,,大阪府,大阪市,国立国際美術館,コクリツコクサイビジュツカン,,,北区中之島4-2-55,,34.691764,135.4921581,,,,,,,,,,,https://www.osaka-heartfulweb.jp/010404.html,国立国際美術館,06-6447-4680,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立東淀川図書館,オオサカシリツヒガシヨドガワトショカン,,,東淀川区東淡路1-4-53,,34.7338612,135.5197557,,,,,,,,,,,,大阪市立東淀川図書館,06-6323-5476,,,,http://www.oml.city.osaka.jp/info/62higashiyodogawa/,文化・観光/図書館
271004,,大阪府,大阪市,府立中之島図書館,フリツナカノシマトショカン,,,北区中之島1-2-10,,34.6936888,135.5031528,,,,,,,,,,,,府立中之島図書館,06-6203-0474,,,,,文化・観光/図書館
271004,,大阪府,大阪市,市立大学学術情報総合センター,シリツダイガクガクジュツジョウホウソウゴウセンター,,,住吉区杉本3丁目3番138号,,34.5922109,135.5054691,,,,,,,,,,,,市立大学学術情報総合センター,06-6605-3240,,,,http://www.media.osaka-cu.ac.jp/,文化・観光/図書館
271004,,大阪府,大阪市,ピースおおさか：大阪国際平和センター,ピースオオサカ：オオサカコクサイヘイワセンター,,,中央区大阪城2-1,,34.6817669,135.5295862,,,,,,,,,,,https://www.osaka-heartfulweb.jp/050405.html,ピースおおさか：大阪国際平和センター,06-6947-7208,,,,http://www.peace-osaka.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,府立現代美術センター,フリツゲンダイビジュツセンター,,,中央区大手前3-1-43　大阪府新別館北館・南館,,34.683842,135.5182472,,,,,,,,,,,https://www.osaka-heartfulweb.jp/051403.html,府立現代美術センター,06-4790-8520,,,,http://www.osaka-art.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立島之内図書館,オオサカシリツシマノウチトショカン,,,中央区島之内2-12-31,,34.671475,135.5078919,,,,,,,,,,,https://www.osaka-heartfulweb.jp/050501.html,大阪市立島之内図書館,06-6211-3645,,,,http://www.oml.city.osaka.jp/info/55shimanouchi/index.html,文化・観光/図書館
271004,,大阪府,大阪市,大阪歴史博物館,オオサカレキシハクブツカン,,,中央区大手前4-1-32,,34.6825581,135.5207171,,,,,,,,,,,https://www.osaka-heartfulweb.jp/050404.html,大阪歴史博物館,06-6946-5728,,,,http://www.mus-his.city.osaka.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪城天守閣,オオサカジョウテンシュカク,,,中央区大阪城1-1,,34.687447,135.525822,,,,,,,,,,,https://www.osaka-heartfulweb.jp/050401.html,大阪城天守閣,06-6941-3044,,,,http://www.osakacastle.net/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,府立上方演芸資料館（ワッハ上方）,フリツカミガタエンゲイシリョウカン（ワッハカミガタ）,,,中央区難波千日前12-7　ＹＥＳ・ＮＡＭＢＡビル,,34.6646249,135.5030578,,,,,,,,,,,,府立上方演芸資料館（ワッハ上方）,06-6631-0884,,,,http://www.wahha.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,適塾,テキジュク,,,中央区北浜3-3-8,,34.6912078,135.5032438,,,,,,,,,,,,適塾,06-6231-1970,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,上方浮世絵館,カミガタウキヨエカン,,,中央区難波1-6-4,,34.6679531,135.5021921,,,,,,,,,,,,上方浮世絵館,06-6211-0303,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,国立文楽劇場,コクリツブンラクゲキジョウ,,,中央区日本橋1-12-10,,34.6673609,135.5084558,,,,,,,,,,,https://www.osaka-heartfulweb.jp/050406.html,国立文楽劇場,06-6212-2531,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,湯木美術館,ユキビジュツカン,,,中央区平野町3-3-9,,34.6875168,135.5022467,,,,,,,,,,,,湯木美術館,06-6203-0188,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立旭図書館,オオサカシリツアサヒトショカン,,,旭区中宮1-11-14,,34.720828,135.5424418,,,,,,,,,,,https://www.osaka-heartfulweb.jp/160501.html,大阪市立旭図書館,06-6955-0307,,,,http://www.oml.city.osaka.jp/info/65asahi/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立此花図書館,オオサカシリツコノハナトショカン,,,此花区四貫島1-1-18,,34.6859331,135.4569527,,,,,,,,,,,https://www.osaka-heartfulweb.jp/040501.html,大阪市立此花図書館,6463-3463,,,,http://www.oml.city.osaka.jp/info/54konohana/index.html,文化・観光/図書館
271004,,大阪府,大阪市,アジア・太平洋人権情報センター（ヒューライツ大阪）,アジアタイヘイヨウジンケンジョウホウセンター（ヒューライツオオサカ）,,,西区西本町1-7-7 CE西本町ビル8階,,34.6831845,135.4967478,,,,,,,国際的な人権情報の収集・提供,,,,,アジア・太平洋人権情報センター（ヒューライツ大阪）,06-6543-7003,,,,http://www.hurights.or.jp/index_j.html,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立港図書館,オオサカシリツミナトトショカン,,,港区弁天2-1-5,,34.6677469,135.4585717,,,,,,,,,,,,大阪市立港図書館,06-6576-2346,,,,http://www.oml.city.osaka.jp/info/56minato/,文化・観光/図書館
271004,,大阪府,大阪市,下水道科学館,ゲスイドウカガクカン,,,此花区高見1-2-53,,34.6935249,135.462478,,,,,,,,,,,https://www.osaka-heartfulweb.jp/040401.html,下水道科学館,6466-3170,,,,http://www.city-osaka-sewerage-museum.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,ユニバーサル・スタジオ・ジャパン,ユニバーサル・スタジオ・ジャパン,,,此花区桜島2-1-33,,34.6660081,135.4316418,,,,,,,,,,,,ユニバーサル・スタジオ・ジャパン,6465-3000,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,ビジターズインフォメーションセンター梅田,ビジターズインフォメーションセンター・ウメダ,,,北区梅田3-1-2　JR大阪駅御堂筋口前,,34.7025641,135.4977192,,,,,,,観光案内所,,,,,ビジターズインフォメーションセンター梅田,06-6345-2189,,,,,文化・観光/その他施設
271004,,大阪府,大阪市,大阪市立住吉図書館,オオサカシリツスミヨシトショカン,,,住吉区南住吉3丁目15番57号,,34.6048389,135.5004357,,,,,,,,,,,https://www.osaka-heartfulweb.jp/210501.html,大阪市立住吉図書館,06-6606-4946,,,,http://www.oml.city.osaka.jp/info/70sumiyoshi/index.html,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立阿倍野図書館,オオサカシリツアベノトショカン,,,阿倍野区阿倍野筋4-19-118,,34.641069,135.5105532,,,,,,,,,,,,大阪市立阿倍野図書館,06-6656-1009,,,,http://www.oml.city.osaka.jp/info/68abeno/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立北図書館,オオサカシリツキタトショカン,,,北区本庄東3-8-2,,34.7156859,135.508567,,,,,,,,,,,https://www.osaka-heartfulweb.jp/010501.html,大阪市立北図書館,06-6375-0410,,,,http://www.oml.city.osaka.jp/info/51kita/,文化・観光/図書館
271004,,大阪府,大阪市,東洋陶磁美術館,トウヨウトウジビジュツカン,,,北区中之島1-1-26,,34.693475,135.5053223,,,,,,,,,,,https://www.osaka-heartfulweb.jp/010402.html,東洋陶磁美術館,06-6223-0055,,,,http://www.moco.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立科学館,オオサカシリツカガクカン,,,北区中之島4-2-1,,34.6912721,135.491506,,,,,,,,,,,https://www.osaka-heartfulweb.jp/010401.html,大阪市立科学館,06-6444-5656,,,,http://www.sci-museum.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,キッズプラザ大阪,キッズプラザオオサカ,,,北区扇町2-1-7,,34.7048421,135.5102224,,,,,,,,,,,https://www.osaka-heartfulweb.jp/011202.html,キッズプラザ大阪,06-6311-6601,,,,http://www.kidsplaza.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,造幣博物館,ゾウヘイハクブツカン,,,北区天満1-1-79,,34.6959002,135.5216813,,,,,,,,,,,,造幣博物館,06-6351-8509,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,海遊館,カイユウカン,,,港区海岸通1-1-10,,34.654564,135.4288107,,,,,,,,,,,https://www.osaka-heartfulweb.jp/070401.html,海遊館,06-6576-5501,,,,http://www.kaiyukan.com/index.html,文化・観光/美術館・博物館
271004,,大阪府,大阪市,海岸通ギャラリーCASO,カイガンドオリギャラリーカソ,,,港区海岸通2-7-23,,34.651072,135.4379998,,,,,,,,,,,,海岸通ギャラリーCASO,06-6576-3633,,,,http://www.cwo.zaq.ne.jp/caso/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,日本ライトハウス情報文化センター,ニッポンライトハウスジョウホウブンカセンター,,,西区江戸堀1-13-2,,34.6919749,135.4960139,,,,,,,,,,,,日本ライトハウス情報文化センター,06-6441-0015,,,,,文化・観光/図書館
271004,,大阪府,大阪市,大阪市公文書館,オオサカシコウブンショカン,,,西区北堀江4-3-14,,34.6736001,135.4858203,,,,,,,,,,,,大阪市公文書館,06-6534-1662,,,,http://www.city.osaka.lg.jp/somu/page/0000003759.html,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立中央図書館,オオサカシリツチュウオウトショカン,,,西区北堀江4-3-2,,34.673961,135.4859692,,,,,,,,,,,https://www.osaka-heartfulweb.jp/060501.html,大阪市立中央図書館,06-6539-3300,,,,http://www.oml.city.osaka.jp/info/10chuo/index.html,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立平野図書館,オオサカシリツヒラノトショカン,,,平野区平野東1-8-2,,34.6244109,135.5593,,,,,,,,,,,https://www.osaka-heartfulweb.jp/230501.html,大阪市立平野図書館,06-6793-0881,,,,http://www.oml.city.osaka.jp/info/72hirano/,文化・観光/図書館
271004,,大阪府,大阪市,クラフトパーク,クラフトパーク,,,平野区長吉六反1-8-44,,34.610156,135.5792689,,,,,,,,,,,https://www.osaka-heartfulweb.jp/230401.html,クラフトパーク,06-4302-9210,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立淀川図書館,オオサカシリツヨドガワトショカン,,,淀川区新北野1-10-14,,34.7160972,135.4811527,,,,,,,,,,,https://www.osaka-heartfulweb.jp/120501.html,大阪市立淀川図書館,06-6305-2346,,,,http://www.oml.city.osaka.jp/riyou/61yodogawa.html,文化・観光/図書館
271004,,大阪府,大阪市,日本工芸館,ニホンコウゲイカン,,,浪速区難波中3-7-6,,34.661133,135.4986078,,,,,,,,,,,,日本工芸館,06-6641-6309,,,,http://www.nihon-kogeikan.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪人権博物館（リバティおおさか）,オオサカジンケンハクブツカン（リバティオオサカ）,,,浪速区浪速西3-6-36,,34.6545219,135.4864502,,,,,,,,,,,,大阪人権博物館（リバティおおさか）,06-6561-5891,,,,http://www.liberty.or.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,藤田美術館,フジタビジュツカン,,,都島区網島町10-32,,34.6950471,135.5250392,,,,,,,,,,,,藤田美術館,06-6351-0852,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,自然史博物館,シゼンシハクブツカン,,,東住吉区長居公園内,,34.610264,135.5223247,,,,,,,,,,,,自然史博物館,06-6697-6221,,,,http://www.mus-nh.city.osaka.jp/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,長居植物園,ナガイショクブツエン,,,東住吉区長居公園内,,34.6110029,135.5218423,,,,,,,,,,,,長居植物園,06-6696-7117,,,,http://www.ocsga.or.jp/n-syoku/index.html,文化・観光/美術館・博物館
