#LINK<-- ファイルタイプの指定,http://ja.linkdata.org/upload,<-- このURLのページからこのファイルをアップロードしてください。,
#file_name<-- ファイルの名前,kouen,,
#lang<-- 言語指定,ja,,
#attribution_name<-- 作成者の名前,長岡京市,,
#property<-- プロパティの名前またはURI,種類,緯度,経度
#object_type_xsd<-- プロパティのデータ形式,string:ja,string:ja,string:ja
#property_context<-- プロパティのContext,assertion,assertion,assertion
観光情報センター（JR）,観る,34.922814,135.700067
観光案内所（阪急）,観る,34.926081,135.692693
長岡天満宮（八条が池）,観る,34.922738,135.686933
柳谷観音揚谷寺,観る,34.914186,135.652635
光明寺,観る,34.938936,135.675163
乙訓寺,観る,34.936287,135.689094
長法寺,観る,34.9334,135.675896
勝竜寺城公園,観る,34.918102,135.70011
中山修一記念館,観る,34.91101788,135.6993153
神足ふれあい町家,観る,34.919959,135.698399
埋蔵文化財調査センター,観る,34.924628,135.677909
七ツ塚古墳群,観る,34.935482,135.681426
今里大塚古墳公園,観る,34.930012,135.686482
西山公園（ジャブジャブ池、グリーンハウス）,観る,34.934655,135.676171
開田城土塁公園,観る,34.92618,135.691549
長岡公園,観る,34.922165,135.685441
ゲンジボタル（西代公園）,観る,34.922736,135.67084
長岡京ガラシャ祭,観る,34.918352,135.70103
観光情報センター（JR）,体験する,34.92286,135.700086
観光案内所（阪急）,体験する,34.926081,135.692693
サントリー　京都ビール工場,体験する,34.91075991,135.6971196
観光協会観光竹林,体験する,34.94231359,135.6850523
いも園,体験する,34.940753,135.68796
みかん狩り（みかん園）,体験する,34.922798,135.673656
カフェマンタル,食べる,34.923251,135.687498
小倉山荘　竹生の郷,食べる,34.939836,135.685199
poco a poco,食べる,34.926838,135.688324
神足ふれあい町家,食べる,34.919982,135.698447
オープンラウンジ カフェ エポカ,食べる,34.922564,135.699649
長岡公園（梅）,自然・季節の花,34.922222,135.686456
八条ヶ池（桜、きりしまつつじ、花菖蒲・アヤメ・カキツバタ、西湖紅蓮）,自然・季節の花,34.923788,135.688301
長岡天満宮（紅葉）,自然・季節の花,34.923084,135.687057
乙訓寺（ぼたん）,自然・季節の花,34.93584,135.689257
楊谷寺（アジサイ、紅葉,自然・季節の花,34.914722,135.652623
光明寺（紅葉）,自然・季節の花,34.93852,135.676884
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
