名称,住所,緯度,経度,電話番号,URL
白浜海水浴場・キャンプ場,俵ケ浦町3248,33.12259696,129.6611624,0956-28-6006,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/302.html
西海国立公園九十九島動植物園“森きらら”,船越町2172,33.15173998,129.6883429,0956-28-0011,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/052.html
九十九島パールシーリゾート,鹿子前町1008,33.1613065,129.6792169,0956-28-4187,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/053.html
競輪事務所,干尽町2-5,33.1555068,129.7302335,0956-31-4797,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/051.html
労働福祉センター,稲荷町2−28,33.15664572,129.7341792,0956-32-8929,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/241.html
三川内焼美術館（三川内焼伝統産業会館）,三川内本町343,33.15370242,129.8293604,0956-30-8080,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/060.html
えぼし岳高原リゾートスポーツの里,烏帽子町128,33.1847099,129.7637183,0956-24-6669,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/301.html
佐世保市冷水岳ふるさと物産館,小佐々町矢岳1618-12,33.23372788,129.5838201,0956-68-3255,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/298.html
山暖簾（やまのれん）,世知原町上野原316,33.23866988,129.7767006,0956-76-2900,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/058.html
佐世保市世知原活性化センター（国見の郷）,世知原町開作71-1,33.23926458,129.7788979,0956-73-3600,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/057.html
スゲ浜海水浴場,宇久町3687-3,33.26719953,129.1448588,0959-57-3111,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/275.html
城ヶ岳園地,宇久町平801,33.27291379,129.10767,0959-57-3111,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/273.html
大浜園地,宇久町平4905,33.27657306,129.1413745,0959-57-3111,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/276.html
させぼ四季彩館（物産館）,佐世保市三川内本町289-1（三川内支所隣）,33.15277231,129.8293999,,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/321.html
「道の駅」させぼっくす 99,佐世保市愛宕町11番地,33.2014939,129.6717992,0956-42-6077,http://www.city.sasebo.lg.jp/benrimap/shisetsu/kanko/542.html
