サイト名,データセット名,リソース名,サイトURL
BODIK ODCS,観光施設一覧,観光施設一覧(2019(令和元)年12月6日),/opendata/res_001.xls
BODIK ODCS,観光施設一覧,観光施設一覧(2019(令和元)年12月6日),/opendata/res_002.csv
山口県オープンデータカタログサイト,【和木町】観光施設一覧,観光施設一覧.csv,/opendata/res_003.csv
山口県オープンデータカタログサイト,【和木町】観光施設一覧,観光施設一覧.xlsx,/opendata/res_004.xlsx
BODIK ODCS,観光施設一覧,観光施設一覧.csv,/opendata/res_005.csv
BODIK ODCS,和歌山県紀の川市_観光施設一覧,観光施設一覧,/opendata/res_006.csv
BODIK ODCS,高森町の観光施設一覧,観光施設一覧,/opendata/res_007.xlsx
BODIK ODCS,高森町の観光施設一覧,観光施設一覧,/opendata/res_008.csv
BODIK ODCS,観光施設一覧,,/opendata/res_009.csv
山口県オープンデータカタログサイト,【防府市】観光施設一覧（令和３年４月１日時点）,観光施設一覧.xlsx,/opendata/res_010.xlsx
BODIK ODCS,観光施設一覧,観光施設一覧,/opendata/res_011.csv
BODIK ODCS,観光施設一覧,観光施設一覧,/opendata/res_012.csv
BODIK ODCS,観光施設一覧（五島市）,422118_tourism.csv,/opendata/res_013.csv
BODIK ODCS,観光施設一覧（時津町）,観光施設一覧（時津町）,/opendata/res_014.csv
BODIK ODCS,肝付町　観光施設一覧,観光施設一覧,/opendata/res_015.csv
BODIK ODCS,観光施設一覧（長与町）,観光施設一覧（長与町） ,/opendata/res_016.csv
東京都オープンデータカタログサイト,観光施設一覧,観光施設一覧,/opendata/res_017.csv
東三河オープンデータ,蒲郡市観光施設一覧,蒲郡市観光施設一覧,/opendata/res_018.csv
BODIK ODCS,観光施設一覧（東彼杵町）,観光施設一覧（東彼杵町）,/opendata/res_019.csv
BODIK ODCS,観光施設一覧（西海市）,観光施設一覧（西海市）,/opendata/res_020.csv
東京都オープンデータカタログサイト,観光施設一覧,観光施設一覧,/opendata/res_021.csv
BODIK ODCS,熊野市観光施設一覧,熊野市観光施設一覧,/opendata/res_022.csv
東三河オープンデータ,豊川市 観光施設一覧,豊®川市 観光施設一覧,/opendata/res_023.csv
山口県オープンデータカタログサイト,【周防大島町】観光施設一覧,【周防大島町】観光施設一覧,/opendata/res_024.csv
BODIK ODCS,玄海町　観光施設一覧,玄海町　観光施設一覧,/opendata/res_025.csv
BODIK ODCS,山都町観光施設一覧,山都町観光施設一覧,/opendata/res_026.xlsx
山口県オープンデータカタログサイト,【岩国市】観光施設一覧,【岩国市】観光施設一覧（CSV）（令和３年10月時点）,/opendata/res_027.csv
山口県オープンデータカタログサイト,【岩国市】観光施設一覧,【岩国市】観光施設一覧（XLSX）（令和３年10月時点）,/opendata/res_028.xlsx
BODIK ODCS,北九州市　観光施設一覧,観光施設一覧（H30.3.30現在）,/opendata/res_029.xlsx
BODIK ODCS,北九州市　観光施設一覧,観光施設一覧（H30.3.30現在）,/opendata/res_030.csv
ふじのくにオープンデータカタログ,御前崎市観光施設一覧,【2021.07.13】御前崎市観光施設一覧.csv,/opendata/res_031.csv
山口県オープンデータカタログサイト,【美祢市】観光施設一覧,【美祢市】観光施設一覧（令和3年10月1日時点）.xlsx,/opendata/res_032.xlsx
山口県オープンデータカタログサイト,【美祢市】観光施設一覧,【美祢市】観光施設一覧（令和3年10月1日時点）.csv,/opendata/res_033.csv
山口県オープンデータカタログサイト,観光施設一覧,05_観光施設一覧_353418_tourism.csv,/opendata/res_034.csv
山口県オープンデータカタログサイト,観光施設一覧,05_観光施設一覧_353418_tourism.xlsx,/opendata/res_035.xlsx
青い森オープンデータカタログ,観光施設一覧,観光施設一覧,/opendata/res_036.csv
天童市オープンデータ,観光施設一覧,観光施設一覧,/opendata/res_037.xlsx
天童市オープンデータ,観光施設一覧,観光施設一覧,/opendata/res_038.csv
BODIK ODCS,西都市の観光施設一覧,観光施設一覧.csv,/opendata/res_039.csv
BODIK ODCS,堺市 観光施設一覧,sakai_tourism.csv,/opendata/res_040.csv
BODIK ODCS,観光施設一覧,R1_観光施設一覧,/opendata/res_041.xlsx
山口県オープンデータカタログサイト,【阿武町】観光施設一覧,2_観光施設一覧.csv,/opendata/res_042.csv
BODIK ODCS,新上五島町観光施設一覧,kankoushisetsu,/opendata/res_043.csv
山口県オープンデータカタログサイト,【平生町】観光施設一覧,観光施設一覧.csv,/opendata/res_044.csv
島根県オープンデータサイト,【江津市】観光施設一覧,【江津市】観光施設一覧_20210824,/opendata/res_045.csv
島根県オープンデータサイト,【江津市】観光施設一覧,【江津市】観光施設一覧_20200324,/opendata/res_046.csv
山口県オープンデータカタログサイト,【山陽小野田市】観光施設一覧,【山陽小野田市】観光施設一覧,/opendata/res_047.csv
BODIK ODCS,【京都府】観光施設一覧,観光施設一覧（2021年9月2日現在）,/opendata/res_048.xlsx
